iter,a0.0_s0,a0.0_s1,a0.0_s2,a0.0_s3,a0.0_s4,a0.15_s0,a0.15_s1,a0.15_s2,a0.15_s3,a0.15_s4,a0.3_s0,a0.3_s1,a0.3_s2,a0.3_s3,a0.3_s4,a0.5_s0,a0.5_s1,a0.5_s2,a0.5_s3,a0.5_s4,a0.7_s0,a0.7_s1,a0.7_s2,a0.7_s3,a0.7_s4,a0.85_s0,a0.85_s1,a0.85_s2,a0.85_s3,a0.85_s4,a1.0_s0,a1.0_s1,a1.0_s2,a1.0_s3,a1.0_s4
0,-0.30303117579119854,-0.31449655506844004,-0.3143923744589221,-0.18578931692775363,-0.2578026298051899,-0.25849497055634946,-0.27519472816798574,-0.2613868706602459,-0.17337252995856833,-0.22723185637428697,-0.2181340345622674,-0.23957744753944904,-0.21335063284269565,-0.16211981676774417,-0.19952709295253115,-0.16985918954973783,-0.1969763863955129,-0.15589552486484132,-0.148660689225778,-0.16639002297748978,-0.12694821620526714,-0.15910877648979194,-0.10482431777341528,-0.1366970202995858,-0.13693484966634195,-0.09776875433102704,-0.1333588017539017,-0.07009589695124556,-0.12856172542977512,-0.1169053318147614,-0.07083386644711313,-0.10958959430538757,-0.0380388931153966,-0.1210522224730268,-0.09841654610561014
1,-0.24975808659001172,-0.22753407396463468,-0.08732386983549119,-0.16310224154701097,-0.04292064435271182,-0.12246586610017998,-0.20436006375911475,-0.2056415190285447,-0.13703988154560431,-0.0849365225795922,-0.11704068689536129,-0.12733669121018154,-0.15842279819491678,-0.12537027016471325,-0.08969655884453134,-0.1443176993996337,-0.10294889929394532,-0.1338853108507279,-0.0969348841342749,-0.09486629125638282,-0.15612350133294786,-0.09591688583504143,-0.0969355156240305,-0.08348877182550052,-0.10728781097706043,-0.13867041397580115,-0.09497343872174897,-0.11077938358217589,-0.059764489162418534,-0.13556273079603404,-0.11577463874153746,-0.06387551497859562,-0.0798041521443649,-0.04370385220594233,-0.08898122791935059
2,-0.2293957571827182,-0.33902217791413786,-0.30951168883113617,-0.22760350077636177,-0.24235945077331883,-0.08910894579734385,-0.23202385320999924,-0.17516682044321086,-0.090298226237949,-0.16104137025342644,-0.13161805025108206,-0.16465369306404576,-0.11671288263047658,-0.06998566294489049,-0.18275829379675507,-0.12579404227845384,-0.16758939237284928,-0.15726535140105716,-0.08873679752568088,-0.08782093616430603,-0.08174287509648111,-0.12081373868269804,-0.08791258853881416,-0.056952059046027605,-0.09012202916543388,-0.08845734184630728,-0.11695819175196316,-0.09515680227995561,-0.04553809596015832,-0.10950289040602189,-0.07698749430792587,-0.06638488142861795,-0.09253105620298624,-0.05760562322772139,-0.06106563211000739
3,-0.1410880647157737,-0.12581349377198817,-0.0874129198737699,-0.0005939122075834316,-0.10216731973892136,-0.020879283024884492,-0.08952157065862631,-0.1149724641531197,-0.10934845740472945,-0.14278548490449108,-0.061549648304414166,-0.128099028650616,-0.0895863631148146,0.020260964516120472,-0.06557519667315392,-0.09790496712263519,-0.0761248836578116,-0.08640657714919024,-0.10407934212185871,-0.08934725068949194,-0.10318248729694876,-0.13319539667345004,-0.09659207349080112,-0.13139949971891016,-0.07589249805126572,-0.10205907313635894,-0.12069831855001423,-0.05781190043934284,-0.045069171095261706,-0.0338238815593632,-0.05607881082200808,-0.07002637291119986,-0.041200602418237864,-0.053240059940008105,-0.055190592616355574
4,0.11341272804615382,0.02994761449597657,0.0035726065155826797,0.13647057670115448,-0.13018949904400565,-0.10472376115533044,-0.13947788639368633,-0.05752454993014011,0.025491351888874646,0.01264604233857995,-0.0525934080715094,-0.0494928200119732,0.05735626104740369,-0.056191699816859814,0.04612048261961536,-0.11088812670600384,-0.07931715589333162,-0.056480656257757056,-0.11581299122695757,0.021865022553339532,-0.06966439648206857,-0.1281778353772292,-0.08027120044804839,-0.12013867132043121,-0.025165358380957386,-0.08529116230518413,-0.0869889060615465,-0.032783529978447565,-0.03018253982169427,-0.06731791241732818,-0.018233530431702196,-0.01843020318603811,-0.03402694589643049,-0.0795607946278496,-0.018482166624307246
5,0.005646242670885088,0.05253577929040874,0.06383968711262505,0.20292770920641115,-0.005938441030556019,0.07412226993326276,0.010417005628134676,0.02500531208791972,0.1480536283406861,-0.007031779555959147,0.0312431260495417,-0.021791154640009594,0.05068272731818368,0.015481732995499866,-0.03881277654022623,-0.10433128995409027,-0.06739081544206743,-0.04131761643134676,-0.08124337839965452,-0.024234673741225954,-0.014725116720180505,-0.09955513111114056,-0.036830221716301154,-0.06771025672203254,-0.0006018834539965445,-0.03351795762548439,-0.08078744466266068,-0.05712138654748138,-0.029454017999898385,-0.07066225503734949,-0.02062346926640868,-0.03865291513291932,-0.025885109902943106,-0.03522678590238223,-0.024621610777764796
6,0.059611563492215594,0.1835719198864684,0.009650991699085856,0.41050850781008186,-0.040289592094263554,0.021520993920476513,0.09099154305392586,0.08232828602035475,0.23300536111363165,0.08515607091745296,0.02277960791850031,0.1388492422097544,0.07496747637577025,0.05919085696173113,0.051372139350498905,-0.05555037632553282,-0.012803157451588526,0.017785095555746203,0.000410527191666496,-0.022191439607840834,0.015433402608099493,-0.07651126929969529,-0.061865751925332634,-0.051473734072903815,0.013731219736587995,-0.019152187468056907,0.04367535743902781,-0.018542122900542534,0.012052658952831734,-0.0070324490128002935,-0.02773403539506251,0.019331303670304438,-0.03930630038147239,-0.013391517261359728,-0.017520842294720982
7,0.23805740142974569,0.2422833571280412,0.17137319284878766,0.44178882494783106,0.08659784517094526,0.219870448685012,0.10908979446566294,0.20654803344206207,0.2959028536023548,0.15770821328985868,0.08474661424719535,0.14641603183568686,0.16363820320949035,0.02391429113002564,0.016213634573037098,0.03703587714352717,0.008259401099129086,0.003245622597450492,0.03629454784005818,-0.005786463458126261,0.10909375098052693,-0.02271290175147979,-0.023229850737545587,-0.010483239534526035,0.03420280923845806,0.07417323689068253,-0.004648385877451377,0.05880857165219832,0.029478775777846265,0.022215718766076455,-0.003302896212295005,0.043082037133519206,0.008348100692617485,0.0891614294077134,0.03892912029636877
8,0.3151805980650886,0.2822369105566684,0.18660302924442285,0.4482142798095908,0.31673717582420824,0.13077346198216933,0.19652633748864728,0.2778870251884894,0.3761751966463587,0.2156430478216402,0.05665942010279739,0.19971065163272428,0.19673072376404802,0.13211065643123943,0.08745295090923899,-0.03894552139332595,0.05159500711527869,0.09720006928076383,0.10452922606180823,0.13904661171075933,0.0785939661528799,0.006349789324952821,0.015845757092626832,-0.00011837438733714595,0.027443144685418048,0.05130170588629833,0.053230286341865225,0.08245726442658724,0.024831027894683572,0.06691379033654368,0.047758800284858106,-0.00013493453717433428,0.04447761130330071,0.05279371367915074,0.06761795600076818
9,0.35140726175480286,0.44551320150881846,0.22226664691997136,0.41397499320798925,0.2456189451299401,0.30540386977904327,0.31614563825870645,0.3511708773746977,0.3166785346017815,0.2357627239927151,0.03387048358627968,0.21498641838260468,0.263393157634595,0.151618821677486,0.12669387799141169,0.07650619059990475,0.12051217653960106,0.13385215668387843,0.1441819734919367,0.1062884983623929,0.14848009046231647,0.06472092108070782,-0.010726915945109262,-0.0019828735491556355,0.017782948529271918,0.0758700941609931,0.08942328308861681,0.0797202721451919,0.04546925678650268,0.04787342406146994,0.07675541744973098,0.08941666804094993,0.06264065344948323,0.03536112349834266,0.04125209507204754
