policy,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_init,n_done_T,n_done_all,n_expire,spend,crh_T,crh_all
myopic,0,13923.329797510922,332.9579400399508,-12956.725018803998,6945.03701939772,596.3895986519918,4430.764201953679,-107.6504640571644,10771875.224226583,-11795.015358297971,-71339.14210434654,-6.545940864986114,45,16,33,12,36390.0,0.35555555555555557,0.7333333333333333
myopic,1,12330.812952243175,895.8904661112036,-11147.786473268705,5997.137424087687,1092.337060319857,4341.375205562174,320.2203955616833,9829210.017315414,-10905.798387586756,-61777.10232231074,-9.348872411897936,45,11,28,17,36390.0,0.24444444444444444,0.6222222222222222
myopic,2,15531.450141870519,652.516679998067,-14118.947991802488,7687.736646196061,1060.0250207250622,4544.993578259688,-165.02439900362253,12042986.313392375,-13281.471179522778,-71994.0887795833,-6.277128147553803,45,15,34,11,36390.0,0.3333333333333333,0.7555555555555555
myopic,3,10065.371802511321,921.7667145171829,-8754.02042542191,4869.658648821452,1089.4314128843132,3197.4673294402073,414.49990217545644,8183018.593063163,-9153.04818950382,-64357.78962988861,-6.827183251105823,45,14,32,13,36390.0,0.3111111111111111,0.7111111111111111
myopic,4,12287.692668725762,678.6814745758204,-11240.642913151716,6029.867420589768,936.0590399847545,4497.661080912993,216.87254867329494,9650284.291072309,-10659.39892360898,-54209.74676355218,-10.850092255288777,45,10,25,20,36390.0,0.2222222222222222,0.5555555555555556
greedy_crh,0,1755.2843387124394,332.9579400399508,-1598.9895484900053,810.2039927287012,203.2508811220661,643.5278430586602,420.9583995834134,1630974.0144897453,-1827.294085123534,-21631.96349534563,-3.987597847181639,15,9,9,6,7460.0,0.6,0.6
greedy_crh,1,3551.5757364529154,320.09637168583953,-3210.485470837175,1716.9060859441693,259.56154954605597,799.7402205887291,446.5759468521876,2966246.5726569206,-3292.4286239775474,-25363.1314650175,-3.5338623776933584,15,10,10,5,7460.0,0.6666666666666666,0.6666666666666666
greedy_crh,2,3419.978007814544,397.55061189005687,-3189.921909744915,1622.4639990976539,292.39705214327535,425.50940996980563,591.2791445558944,2930270.662447364,-3250.5908190992623,-23975.49968850028,-3.4621909183574204,15,10,10,5,7460.0,0.6666666666666666,0.6666666666666666
greedy_crh,3,1911.7082979799343,472.89924218373164,-1673.7592276398668,855.874683070226,311.763152580749,-218.1664783592097,619.7360943066988,1881841.2566125726,-2132.4885427178533,-19578.257760136694,-3.353764864490233,15,10,10,5,7460.0,0.6666666666666666,0.6666666666666666
greedy_crh,4,820.8171285157277,189.72226904186988,-675.8841938592436,365.9205247051866,119.89615149545101,358.87427941615704,312.31145943446165,791047.0628730138,-903.51981312128,-13950.01153134019,-5.492887102339841,15,7,7,8,7460.0,0.4666666666666667,0.4666666666666667
frontload,0,1755.2843387124394,332.9579400399508,-1598.9895484900053,810.2039927287012,203.2508811220661,643.5278430586602,420.9583995834134,1630974.0144897453,-1827.294085123534,-21631.96349534563,-3.987597847181639,15,9,9,6,7460.0,0.6,0.6
frontload,1,3551.5757364529154,320.09637168583953,-3210.485470837175,1716.9060859441693,259.56154954605597,799.7402205887291,446.5759468521876,2966246.5726569206,-3292.4286239775474,-25363.1314650175,-3.5338623776933584,15,10,10,5,7460.0,0.6666666666666666,0.6666666666666666
frontload,2,3419.978007814544,397.55061189005687,-3189.921909744915,1622.4639990976539,292.39705214327535,425.50940996980563,591.2791445558944,2930270.662447364,-3250.5908190992623,-23975.49968850028,-3.4621909183574204,15,10,10,5,7460.0,0.6666666666666666,0.6666666666666666
frontload,3,1911.7082979799343,472.89924218373164,-1673.7592276398668,855.874683070226,311.763152580749,-218.1664783592097,619.7360943066988,1881841.2566125726,-2132.4885427178533,-19578.257760136694,-3.353764864490233,15,10,10,5,7460.0,0.6666666666666666,0.6666666666666666
frontload,4,820.8171285157277,189.72226904186988,-675.8841938592436,365.9205247051866,119.89615149545101,358.87427941615704,312.31145943446165,791047.0628730138,-903.51981312128,-13950.01153134019,-5.492887102339841,15,7,7,8,7460.0,0.4666666666666667,0.4666666666666667
evenspread,0,1080.7843832951612,311.2602567937131,-780.9502252661123,472.09021510815774,212.30710474043985,129.76750383121106,518.2379596977257,1106404.4473350006,-1285.6326282068508,-18632.512667191833,-3.1924325982975965,15,4,9,6,7460.0,0.26666666666666666,0.6
evenspread,1,2291.7596739487576,233.24486227861385,-2208.4625797146664,1111.2863110999674,205.13020821733153,380.9264946582434,327.93472277742376,1949936.481278597,-2141.14815507496,-14300.367371530601,-3.3012360136734173,15,3,9,6,7460.0,0.2,0.6
evenspread,2,1307.8433007274155,365.4233642039856,-1077.4377673569848,565.6325111556934,214.83920935418342,107.71892209352944,490.05336716656944,1316744.8665350494,-1511.313979862494,-17227.141331820963,-3.087783425640002,15,4,9,6,7460.0,0.26666666666666666,0.6
evenspread,3,1769.7084988752863,261.835228269194,-1555.637415173643,842.5534225208177,200.06931642236643,644.01905432702,395.59240088136323,1585908.6567452804,-1775.0002278652196,-17909.154451806062,-3.202865654482915,15,4,9,6,7460.0,0.26666666666666666,0.6
evenspread,4,1238.6480857367314,278.6733869387954,-996.5908642957465,561.5849061778156,147.00951876118023,529.3435951722314,330.30703311857405,1194418.7220338448,-1364.9897476091046,-17312.56374767035,-4.310768739796107,15,3,7,8,7460.0,0.2,0.4666666666666667
backload,0,1050.9535724537475,199.3542179146357,-957.3741081370626,485.09905876509606,121.69381046052939,385.3038910676179,252.0433437132593,976524.3894129212,-1094.0684676152578,-12951.855612919579,-2.3875221299350824,15,0,9,6,7460.0,0.0,0.6
backload,1,2126.459585917109,191.65352184448992,-1922.236244278335,1027.9750948579567,155.40908771917628,478.8340118611216,267.3815155557597,1776001.3939389356,-1971.2986369811435,-15185.843702865193,-2.1158539437097805,15,0,10,5,7460.0,0.0,0.6666666666666666
backload,2,2047.6671646614477,238.02823655539726,-1909.9240806501139,971.4291288441889,175.06891604258928,254.76820174244992,354.020665246883,1754461.2875737508,-1946.2487977438664,-14355.01730020336,-2.072941593516233,15,0,10,5,7460.0,0.0,0.6666666666666666
backload,3,1144.610375049116,283.14224483323625,-1002.1414769790865,512.4437881130845,186.6641157435053,-130.62432949720915,371.05889224074,1126727.8741167162,-1276.7996630277978,-11722.226126924277,-2.008022909890098,15,0,10,5,7460.0,0.0,0.6666666666666666
backload,4,491.4535352019417,113.59373067148937,-404.67683351088243,219.0901349664849,71.78625477284729,214.87128762900852,186.99240731086064,473629.0972180976,-540.970687449467,-8352.387206614712,-3.2887944112369234,15,0,7,8,7460.0,0.0,0.4666666666666667
oracle,0,9486.059183736663,641.7305577166478,-8863.200017430841,4636.650920565992,661.8753144090632,2698.9663266957077,672.2000679067705,7732865.779175879,-8513.753490215091,-53453.432373539494,0.0,24,24,24,0,15270.0,1.0,1.0
