alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio,far_growth_eff,budget_eff,carry_eff,t_dec_eff,t_eval_eff,obs_lifecycle_eff,budget_mode_eff,stage_init_eff,quota_eff,tau_valid_eff,tau_ext_eff,hazard_eff,build_years_eff,gamma_eff,inst_tag_eff
0.0,0,-924.131635048291,11642.108048278538,0.0,-1576.8768692785648,11722.142086668424,1576.876869278565,-10068.467888804784,11006600.547564382,-12615.01495422852,0.0,-7.021302816955878,42.0,498.0,0.2,0.0,0.9837037037037037,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.0,1,-1088.2394960585693,11848.632396940595,0.0,-1629.032282306539,11930.699596872495,1629.032282306539,-9405.692569457835,11370645.330499643,-13032.258258452312,0.0,-6.056995763402,36.0,504.0,0.6,0.0,0.9955555555555555,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.0,2,-1179.2573389242266,11591.781025065533,0.0,-1610.5119128518973,11476.724237435588,1565.0752469657705,-8559.951201660753,11286960.731001168,-12940.253914990088,-2191.1336667843098,-5.5303057350864195,32.0,506.0,0.8666666666666667,0.0,0.9997530864197531,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.0,3,-1178.2939207123814,11505.220456919913,0.0,-1599.8211745339731,11480.987319754862,1578.8644648635727,-8671.960705542026,11166751.798247132,-12798.569396271783,-963.7675458048209,-5.334355514741519,31.0,506.0,0.9333333333333333,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.0,4,-1170.6207619530983,12268.191627551054,0.0,-1690.432437653398,12350.127595103788,1690.432437653398,-8904.308287242227,11799218.414820718,-13523.459501227184,0.0,-5.4655375226551985,37.0,506.0,0.5333333333333333,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.15,0,-1083.9425022037196,11139.643081515786,0.0,-1535.6793085643142,11065.105148194247,1498.798119133119,-8484.98164064064,10719041.573778912,-12285.434468514513,-1696.1104096732583,-5.323106010321853,30.0,472.0,0.8666666666666667,1.0,0.9323456790123457,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.15,1,-944.065927078228,12154.720404081065,0.0,-1645.7154395736725,12238.586225213312,1645.7154395736725,-10208.207709108221,11487093.768224236,-13165.723516589376,0.0,-7.216049754206502,44.0,505.0,0.06666666666666667,0.0,0.9975308641975309,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.15,2,-872.0905356289597,11423.375327167825,0.0,-1551.9392109019755,11502.14818038071,1551.9392109019755,-9487.02248201803,10832535.692095786,-12415.513687215802,0.0,-7.646463735433744,45.0,504.0,0.0,0.0,0.9955555555555555,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.15,3,-943.8330633024747,12222.124826788986,0.0,-1661.5129856176125,12306.88806409401,1661.5129856176122,-9741.08758109144,11597360.639610935,-13292.1038849409,0.0,-7.179250427792587,45.0,506.0,0.0,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.15,4,-955.6460711813352,11589.320607960719,0.0,-1570.9709274476681,11657.967568692813,1570.9709274476681,-9977.996709542207,11044264.935352061,-12614.892785033757,-527.7449507345368,-7.234462610869352,45.0,502.0,0.0,0.0,0.9901234567901235,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.3,0,-1010.3898964641988,12159.665040951684,0.0,-1646.4206625059567,12232.126726422948,1646.4206625059567,-10605.87378146578,11492016.224291578,-13171.365300047653,0.0,-6.327209334654537,42.0,506.0,0.2,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.3,1,-827.3449112360844,10969.621122041723,0.0,-1487.5456295243512,11044.892041806435,1487.5456295243514,-8908.651759651493,10383068.494079972,-11900.36503619481,0.0,-7.026485290580675,45.0,463.0,0.0,0.0,0.9145679012345679,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.3,2,-348.98150874968644,11457.653073056823,0.0,-1398.0358580196041,12454.412041152249,1399.268988463498,-9344.083455574608,11230023.503156949,-12997.291548291756,-298.86113173076353,-7.658906889172883,45.0,496.0,0.0,0.0,0.9879012345679012,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.3,3,-1052.8356637525244,11648.654155112052,0.0,-1593.8820103478195,11733.584318815047,1596.5211517679684,-8581.503595783695,11306470.165645799,-12924.154779692677,-1352.2807773019915,-6.648275877700954,41.0,506.0,0.26666666666666666,0.0,0.9985185185185185,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.3,4,-1234.9170486071919,11589.565252960372,0.0,-1625.85244518562,11476.852756812787,1582.4286007496185,-8433.984270839745,11539493.521742098,-13120.943488812598,-5614.938689140269,-6.472415077408739,39.0,509.0,0.4,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.5,0,7420.498416773456,5760.377351005294,0.0,1519.6570995523848,15446.417059767442,-1333.5809002048957,-3764.5857752898046,9844437.824769897,-13067.384753241415,-16477.736921638396,-6.758277062003648,43.0,446.0,0.13333333333333333,0.0,0.9962962962962963,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.5,1,7182.537551931835,5553.305402615703,0.0,1465.767342478839,15717.92897565226,-1345.4563322847066,-4105.572597842331,9566349.329663003,-12687.291482845996,-11789.136189416153,-6.741019767411549,45.0,441.0,0.0,0.0,0.9849382716049383,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.5,2,6825.492727169149,5168.52044790076,0.0,1381.767289506009,12636.953508831239,-1141.9685162038243,-2557.404202344839,9148370.360707322,-12112.993519074715,-23037.29872727696,-6.46673709425365,39.0,448.0,0.4,0.0,0.9992592592592593,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.5,3,374.5748547833622,11344.799297548681,0.0,-1149.1523711191974,12033.898039582553,1170.0670360512092,-7236.017405221386,11412699.51775847,-13377.30108763943,-3552.871389867899,-6.745883796409435,41.0,495.0,0.26666666666666666,0.0,0.9988888888888889,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.5,4,6415.498906087072,5063.969410836001,0.0,1316.4571003802844,13988.808856222007,-1190.7709284850418,-4000.0115516917926,8455384.907343715,-11234.79716764564,-12299.361862420523,-7.623715590010977,45.0,420.0,0.0,0.0,0.9397530864197531,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.7,0,15393.144250359594,0.0,-13233.501684329565,7779.1542365951145,636.9026797452484,4860.915888055451,-1438.6885380857914,11622002.61169397,-12852.670609650973,-64065.20304065004,-6.772466029899313,44.0,489.0,0.06666666666666667,0.0,0.9990123456790123,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
0.7,1,14809.396370912076,0.0,-11921.760175930272,7462.761557963636,495.1059335237179,4675.449684815685,-1255.3807583123191,11234289.413301941,-12509.608786765286,-71803.33945617994,-5.3460050135186075,32.0,487.0,0.6666666666666666,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26
