ep,year,unit,channel,target,n_cells,cost,budget_before,released,spent,stopped
0,0,509,5,10,6,480.0,2700.0,0.0,1440.0,0
0,0,603,5,10,6,480.0,2700.0,0.0,1440.0,0
0,0,518,5,10,6,480.0,2700.0,0.0,1440.0,0
0,1,430,5,10,9,720.0,3960.0,0.0,2160.0,0
0,1,515,5,10,9,720.0,3960.0,0.0,2160.0,0
0,1,567,5,10,9,720.0,3960.0,0.0,2160.0,0
0,2,586,5,10,9,720.0,4500.0,0.0,2240.0,0
0,2,542,5,10,9,720.0,4500.0,0.0,2240.0,0
0,2,535,5,10,10,800.0,4500.0,0.0,2240.0,0
0,3,555,5,10,10,800.0,4960.0,0.0,2400.0,0
0,3,473,5,10,10,800.0,4960.0,0.0,2400.0,0
0,3,543,5,10,10,800.0,4960.0,0.0,2400.0,0
0,4,525,5,10,11,880.0,5260.0,0.0,2640.0,0
0,4,592,5,10,10,800.0,5260.0,0.0,2640.0,0
0,4,465,5,10,12,960.0,5260.0,0.0,2640.0,0
0,5,489,5,10,13,1040.0,5320.0,0.0,3040.0,0
0,5,458,5,10,12,960.0,5320.0,0.0,3040.0,0
0,5,429,5,10,13,1040.0,5320.0,0.0,3040.0,0
0,6,531,5,10,11,880.0,4980.0,0.0,2320.0,0
0,6,539,5,10,9,720.0,4980.0,0.0,2320.0,0
0,6,602,5,10,9,720.0,4980.0,0.0,2320.0,0
0,7,495,5,10,15,1200.0,5360.0,0.0,3520.0,0
0,7,540,5,10,13,1040.0,5360.0,0.0,3520.0,0
0,7,451,5,10,16,1280.0,5360.0,0.0,3520.0,0
0,8,596,5,10,11,880.0,4540.0,0.0,2800.0,0
0,8,441,5,10,12,960.0,4540.0,0.0,2800.0,0
0,8,511,5,10,12,960.0,4540.0,0.0,2800.0,0
0,9,553,5,10,8,640.0,4440.0,0.0,2160.0,0
0,9,557,5,10,12,960.0,4440.0,0.0,2160.0,0
0,9,551,5,10,7,560.0,4440.0,0.0,2160.0,0
0,10,516,5,10,8,640.0,4980.0,0.0,2320.0,0
0,10,578,5,10,10,800.0,4980.0,0.0,2320.0,0
0,10,456,5,10,11,880.0,4980.0,0.0,2320.0,0
0,11,485,5,10,9,720.0,5360.0,0.0,1920.0,0
0,11,601,5,10,7,560.0,5360.0,0.0,1920.0,0
0,11,537,5,10,8,640.0,5360.0,0.0,1920.0,0
0,12,439,5,10,14,1120.0,6140.0,0.0,3040.0,0
0,12,587,5,10,13,1040.0,6140.0,0.0,3040.0,0
0,12,552,5,10,11,880.0,6140.0,0.0,3040.0,0
0,13,694,5,10,10,800.0,5800.0,0.0,2560.0,0
0,13,460,5,10,11,880.0,5800.0,0.0,2560.0,0
0,13,562,5,10,11,880.0,5800.0,0.0,2560.0,0
0,14,443,5,10,12,960.0,5940.0,0.0,2480.0,0
0,14,437,5,10,12,960.0,5940.0,0.0,2480.0,0
0,14,575,5,10,7,560.0,5940.0,0.0,2480.0,0
1,0,509,5,10,6,480.0,2700.0,0.0,1440.0,0
1,0,603,5,10,6,480.0,2700.0,0.0,1440.0,0
1,0,518,5,10,6,480.0,2700.0,0.0,1440.0,0
1,1,430,5,10,9,720.0,3960.0,0.0,2160.0,0
