ep,year,unit,channel,target,n_cells,cost,budget_before,released,spent,stopped
0,0,297,2,3,10,900.0,900.0,0.0,900.0,1
0,1,332,2,3,10,900.0,900.0,0.0,900.0,1
0,2,311,2,3,10,900.0,900.0,0.0,900.0,1
0,3,255,2,3,10,900.0,900.0,0.0,900.0,1
0,4,239,2,3,10,890.0,900.0,0.0,890.0,1
0,5,283,2,3,11,900.0,910.0,0.0,900.0,1
0,6,300,2,3,9,810.0,910.0,0.0,900.0,1
0,6,265,2,3,1,90.0,910.0,0.0,900.0,1
0,7,288,2,3,9,810.0,910.0,0.0,900.0,1
0,7,218,2,3,1,90.0,910.0,0.0,900.0,1
0,8,221,2,3,10,820.0,910.0,0.0,910.0,1
0,8,225,2,3,1,90.0,910.0,0.0,910.0,1
0,9,278,2,3,10,800.0,900.0,0.0,890.0,1
0,9,241,2,3,1,90.0,900.0,0.0,890.0,1
0,10,234,2,3,8,720.0,910.0,0.0,900.0,1
0,10,262,2,3,2,180.0,910.0,0.0,900.0,1
0,11,231,2,3,8,720.0,910.0,0.0,900.0,1
0,11,269,2,3,2,180.0,910.0,0.0,900.0,1
0,12,304,2,3,9,770.0,910.0,0.0,910.0,0
0,12,309,2,3,1,90.0,910.0,0.0,910.0,0
0,12,337,2,0,1,50.0,910.0,0.0,910.0,0
0,13,287,2,3,8,720.0,900.0,0.0,900.0,1
0,13,289,2,3,2,180.0,900.0,0.0,900.0,1
0,14,307,2,3,8,720.0,900.0,0.0,900.0,0
0,14,290,2,3,1,90.0,900.0,0.0,900.0,0
0,14,224,2,3,1,90.0,900.0,0.0,900.0,0
1,0,297,2,3,10,900.0,900.0,0.0,900.0,1
1,1,332,2,3,10,900.0,900.0,0.0,900.0,1
1,2,311,2,3,10,900.0,900.0,0.0,900.0,1
1,3,255,2,3,10,900.0,900.0,0.0,900.0,1
1,4,239,2,3,10,890.0,900.0,0.0,890.0,1
1,5,283,2,3,11,900.0,910.0,0.0,900.0,1
1,6,300,2,3,9,810.0,910.0,0.0,900.0,1
1,6,265,2,3,1,90.0,910.0,0.0,900.0,1
1,7,288,2,3,9,810.0,910.0,0.0,900.0,1
1,7,218,2,3,1,90.0,910.0,0.0,900.0,1
1,8,221,2,3,10,820.0,910.0,0.0,910.0,1
1,8,225,2,3,1,90.0,910.0,0.0,910.0,1
1,9,278,2,3,10,800.0,900.0,0.0,890.0,1
1,9,241,2,3,1,90.0,900.0,0.0,890.0,1
1,10,234,2,3,8,720.0,910.0,0.0,900.0,1
1,10,262,2,3,2,180.0,910.0,0.0,900.0,1
1,11,231,2,3,8,720.0,910.0,0.0,900.0,1
1,11,269,2,3,2,180.0,910.0,0.0,900.0,1
1,12,304,2,3,9,770.0,910.0,0.0,910.0,0
1,12,309,2,3,1,90.0,910.0,0.0,910.0,0
1,12,337,2,0,1,50.0,910.0,0.0,910.0,0
1,13,287,2,3,8,720.0,900.0,0.0,900.0,1
1,13,289,2,3,2,180.0,900.0,0.0,900.0,1
1,14,307,2,3,8,720.0,900.0,0.0,900.0,0
1,14,290,2,3,1,90.0,900.0,0.0,900.0,0
1,14,224,2,3,1,90.0,900.0,0.0,900.0,0
2,0,297,2,3,10,900.0,900.0,0.0,900.0,1
2,1,332,2,3,10,900.0,900.0,0.0,900.0,1
2,2,311,2,3,10,900.0,900.0,0.0,900.0,1
2,3,255,2,3,10,900.0,900.0,0.0,900.0,1
2,4,239,2,3,10,890.0,900.0,0.0,890.0,1
2,5,283,2,3,11,900.0,910.0,0.0,900.0,1
2,6,300,2,3,9,810.0,910.0,0.0,900.0,1
2,6,265,2,3,1,90.0,910.0,0.0,900.0,1
2,7,288,2,3,9,810.0,910.0,0.0,900.0,1
2,7,218,2,3,1,90.0,910.0,0.0,900.0,1
2,8,221,2,3,10,820.0,910.0,0.0,910.0,1
2,8,225,2,3,1,90.0,910.0,0.0,910.0,1
2,9,278,2,3,10,800.0,900.0,0.0,890.0,1
2,9,241,2,3,1,90.0,900.0,0.0,890.0,1
2,10,234,2,3,8,720.0,910.0,0.0,900.0,1
2,10,262,2,3,2,180.0,910.0,0.0,900.0,1
2,11,231,2,3,8,720.0,910.0,0.0,900.0,1
2,11,269,2,3,2,180.0,910.0,0.0,900.0,1
2,12,304,2,3,9,770.0,910.0,0.0,910.0,0
2,12,309,2,3,1,90.0,910.0,0.0,910.0,0
2,12,337,2,0,1,50.0,910.0,0.0,910.0,0
2,13,287,2,3,8,720.0,900.0,0.0,900.0,1
2,13,289,2,3,2,180.0,900.0,0.0,900.0,1
2,14,307,2,3,8,720.0,900.0,0.0,900.0,0
2,14,290,2,3,1,90.0,900.0,0.0,900.0,0
2,14,224,2,3,1,90.0,900.0,0.0,900.0,0
3,0,297,2,3,10,900.0,900.0,0.0,900.0,1
3,1,332,2,3,10,900.0,900.0,0.0,900.0,1
3,2,311,2,3,10,900.0,900.0,0.0,900.0,1
3,3,255,2,3,10,900.0,900.0,0.0,900.0,1
3,4,239,2,3,10,890.0,900.0,0.0,890.0,1
3,5,283,2,3,11,900.0,910.0,0.0,900.0,1
3,6,300,2,3,9,810.0,910.0,0.0,900.0,1
3,6,265,2,3,1,90.0,910.0,0.0,900.0,1
3,7,288,2,3,9,810.0,910.0,0.0,900.0,1
3,7,218,2,3,1,90.0,910.0,0.0,900.0,1
3,8,221,2,3,10,820.0,910.0,0.0,910.0,1
3,8,225,2,3,1,90.0,910.0,0.0,910.0,1
3,9,278,2,3,10,800.0,900.0,0.0,890.0,1
3,9,241,2,3,1,90.0,900.0,0.0,890.0,1
3,10,234,2,3,8,720.0,910.0,0.0,900.0,1
3,10,262,2,3,2,180.0,910.0,0.0,900.0,1
3,11,231,2,3,8,720.0,910.0,0.0,900.0,1
3,11,269,2,3,2,180.0,910.0,0.0,900.0,1
3,12,304,2,3,9,770.0,910.0,0.0,910.0,0
3,12,309,2,3,1,90.0,910.0,0.0,910.0,0
3,12,337,2,0,1,50.0,910.0,0.0,910.0,0
3,13,287,2,3,8,720.0,900.0,0.0,900.0,1
3,13,289,2,3,2,180.0,900.0,0.0,900.0,1
3,14,307,2,3,8,720.0,900.0,0.0,900.0,0
3,14,290,2,3,1,90.0,900.0,0.0,900.0,0
3,14,224,2,3,1,90.0,900.0,0.0,900.0,0
4,0,297,2,3,10,900.0,900.0,0.0,900.0,1
4,1,332,2,3,10,900.0,900.0,0.0,900.0,1
4,2,311,2,3,10,900.0,900.0,0.0,900.0,1
4,3,255,2,3,10,900.0,900.0,0.0,900.0,1
4,4,239,2,3,10,890.0,900.0,0.0,890.0,1
4,5,283,2,3,11,900.0,910.0,0.0,900.0,1
4,6,300,2,3,9,810.0,910.0,0.0,900.0,1
4,6,265,2,3,1,90.0,910.0,0.0,900.0,1
4,7,288,2,3,9,810.0,910.0,0.0,900.0,1
4,7,218,2,3,1,90.0,910.0,0.0,900.0,1
4,8,221,2,3,10,820.0,910.0,0.0,910.0,1
4,8,225,2,3,1,90.0,910.0,0.0,910.0,1
4,9,278,2,3,10,800.0,900.0,0.0,890.0,1
4,9,241,2,3,1,90.0,900.0,0.0,890.0,1
4,10,234,2,3,8,720.0,910.0,0.0,900.0,1
4,10,262,2,3,2,180.0,910.0,0.0,900.0,1
4,11,231,2,3,8,720.0,910.0,0.0,900.0,1
4,11,269,2,3,2,180.0,910.0,0.0,900.0,1
4,12,304,2,3,9,770.0,910.0,0.0,910.0,0
4,12,309,2,3,1,90.0,910.0,0.0,910.0,0
4,12,337,2,0,1,50.0,910.0,0.0,910.0,0
4,13,287,2,3,8,720.0,900.0,0.0,900.0,1
4,13,289,2,3,2,180.0,900.0,0.0,900.0,1
4,14,307,2,3,8,720.0,900.0,0.0,900.0,0
4,14,290,2,3,1,90.0,900.0,0.0,900.0,0
4,14,224,2,3,1,90.0,900.0,0.0,900.0,0
