alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio,far_growth_eff,budget_eff,carry_eff,t_dec_eff,t_eval_eff,obs_lifecycle_eff,budget_mode_eff,stage_init_eff,quota_eff,tau_valid_eff,tau_ext_eff,hazard_eff,build_years_eff,gamma_eff,inst_tag_eff
0.0,0,-1173.8623888987227,11684.306794904724,0.0,-1623.0054696122897,11637.605556098288,1592.29441558923,-9093.732073921627,11328578.177893784,-12984.043756898318,-1412.3551659776717,-4.6618458424958025,28.0,491.0,0.13333333333333333,0.0,0.9698765432098766,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,2.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q2
0.0,1,-1516.5937675007197,12137.557779819123,0.0,-1726.8325621580796,11128.792863722847,1444.2525402142721,-7542.296930141582,12053291.283863395,-13814.660497264636,-12094.711882744183,-4.560389376396463,30.0,506.0,0.0,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,2.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q2
0.0,2,-1131.3181066423908,11277.86650027354,0.0,-1568.7008910078755,11263.593256478089,1547.7441813374755,-8892.71712922087,10949532.21923497,-12549.607128063002,-963.7675458048209,-5.081510757855353,30.0,506.0,0.0,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,2.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q2
0.0,3,-1248.973739353835,11449.51122610761,0.0,-1613.3931665789878,11047.278534405337,1492.990717920905,-7705.465970887337,11261484.302721335,-12907.145332631902,-5751.904976156898,-5.113523143079536,30.0,506.0,0.0,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,2.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q2
0.0,4,-1164.0760553349178,11878.472591335736,0.0,-1644.5758180523421,11880.929404029377,1627.0457352783233,-8851.970775216565,11479139.210005349,-13156.606544418737,-806.1821306201724,-4.626544060964112,30.0,499.0,0.0,0.0,0.985679012345679,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,2.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q2
0.15,0,-1247.8119290277325,11452.559995267726,0.0,-1615.851139276914,11050.4635966486,1495.4486906188308,-7796.238606623401,11278640.952152858,-12926.80911421531,-5751.904976156898,-5.113523143079536,30.0,506.0,0.0,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,2.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q2
0.15,1,-1231.8659871834257,12135.689891366268,0.0,-1688.1068513618109,12028.140389552067,1646.165150361537,-8820.20543810468,11782985.82250544,-13504.854810894487,-1928.8357225756397,-4.548687841315813,30.0,506.0,0.0,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,2.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q2
0.15,2,-1098.2235470112223,11029.54521702514,0.0,-1538.8758245097656,10966.955599408526,1507.654286533196,-8461.142509037822,10741353.255078163,-12311.006596078125,-1435.8315549139431,-5.774352491450162,30.0,505.0,0.0,0.0,0.9975308641975309,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,2.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q2
0.15,3,-1248.973739353835,11449.51122610761,0.0,-1613.3931665789878,11047.278534405337,1492.990717920905,-7705.465970887337,11261484.302721335,-12907.145332631902,-5751.904976156898,-5.113523143079536,30.0,506.0,0.0,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,2.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q2
0.15,4,-1210.1861297353423,11293.426855617983,0.0,-1588.6255610543915,10964.080312067605,1488.635945099875,-7883.352403730096,11088606.41615965,-12709.004488435132,-5081.613721005146,-5.206752031400618,30.0,506.0,0.0,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,2.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q2
0.3,0,-1203.459611282926,12003.124972566424,0.0,-1669.3491309158508,11920.212970299477,1631.4201060011358,-8948.582854742068,11652056.933792638,-13354.793047326806,-1744.2987869634999,-4.637387453165372,30.0,506.0,0.0,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,2.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q2
0.3,1,-1215.5051082696666,12087.479797615162,0.0,-1676.5881741050405,11971.863812634221,1628.9625736623493,-9042.934512095318,11702585.455253184,-13412.705392840327,-2190.229705809428,-4.661574975505622,30.0,505.0,0.0,0.0,0.9975308641975309,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,2.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q2
0.3,2,-1081.5932591354026,11336.984860810875,0.0,-1555.2048396947168,11249.431660299557,1516.867494786135,-8361.000336806208,10855329.781069124,-12441.638717557731,-1763.0768091139726,-5.337155848928102,30.0,505.0,0.0,0.0,0.9975308641975309,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,2.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q2
0.3,3,-1509.325114365029,11883.985283423428,0.0,-1666.8737036736693,10675.873577079565,1372.3795161593584,-5850.207301396675,11634778.451642212,-13334.98962938935,-13651.940045933434,-4.582608690795887,30.0,506.0,0.0,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,2.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q2
