ep,year,unit,channel,target,n_cells,cost,budget_before,released,spent,stopped
0,0,245,2,3,24,2090.0,2700.0,0.0,2650.0,0
0,0,280,2,3,7,560.0,2700.0,0.0,2650.0,0
0,1,219,2,3,24,2060.0,2750.0,0.0,2750.0,0
0,1,252,2,3,8,690.0,2750.0,0.0,2750.0,0
0,2,238,2,3,22,1800.0,2700.0,0.0,2700.0,0
0,2,283,2,3,11,900.0,2700.0,0.0,2700.0,0
0,3,249,2,3,23,1970.0,2700.0,0.0,2690.0,0
0,3,284,2,3,9,720.0,2700.0,0.0,2690.0,0
0,4,247,2,3,22,1790.0,2710.0,0.0,2710.0,0
0,4,236,2,3,11,920.0,2710.0,0.0,2710.0,0
0,5,260,2,3,26,2180.0,2700.0,0.0,2670.0,0
0,5,259,2,3,6,490.0,2700.0,0.0,2670.0,0
0,6,248,2,3,24,1920.0,2730.0,0.0,2720.0,0
0,6,282,2,3,10,800.0,2730.0,0.0,2720.0,0
0,7,285,2,3,24,1920.0,2710.0,0.0,2640.0,0
0,7,272,2,3,9,720.0,2710.0,0.0,2640.0,0
0,8,312,2,3,23,1840.0,2770.0,0.0,2660.0,0
0,8,221,2,3,10,820.0,2770.0,0.0,2660.0,0
0,9,335,2,3,22,1980.0,2810.0,0.0,2780.0,0
0,9,278,2,3,10,800.0,2810.0,0.0,2780.0,0
0,10,275,2,3,21,1680.0,2730.0,0.0,2640.0,0
0,10,317,2,3,12,960.0,2730.0,0.0,2640.0,0
0,11,235,2,3,21,1850.0,2790.0,0.0,2750.0,0
0,11,255,2,3,10,900.0,2790.0,0.0,2750.0,0
0,12,268,2,3,18,1440.0,2740.0,0.0,2720.0,0
0,12,276,2,3,16,1280.0,2740.0,0.0,2720.0,0
0,13,267,2,3,18,1470.0,2720.0,0.0,2590.0,0
0,13,258,2,3,14,1120.0,2720.0,0.0,2590.0,0
0,14,321,2,3,18,1620.0,2830.0,0.0,2740.0,0
0,14,296,2,3,14,1120.0,2830.0,0.0,2740.0,0
1,0,245,2,3,24,2090.0,2700.0,0.0,2650.0,0
1,0,280,2,3,7,560.0,2700.0,0.0,2650.0,0
1,1,219,2,3,24,2060.0,2750.0,0.0,2750.0,0
1,1,252,2,3,8,690.0,2750.0,0.0,2750.0,0
1,2,238,2,3,22,1800.0,2700.0,0.0,2700.0,0
1,2,283,2,3,11,900.0,2700.0,0.0,2700.0,0
1,3,249,2,3,23,1970.0,2700.0,0.0,2690.0,0
1,3,284,2,3,9,720.0,2700.0,0.0,2690.0,0
1,4,247,2,3,22,1790.0,2710.0,0.0,2710.0,0
1,4,236,2,3,11,920.0,2710.0,0.0,2710.0,0
1,5,260,2,3,26,2180.0,2700.0,0.0,2670.0,0
1,5,259,2,3,6,490.0,2700.0,0.0,2670.0,0
1,6,248,2,3,24,1920.0,2730.0,0.0,2720.0,0
1,6,282,2,3,10,800.0,2730.0,0.0,2720.0,0
