iter,a0.0_s0,a0.0_s1,a0.0_s2,a0.0_s3,a0.0_s4,a0.15_s0,a0.15_s1,a0.15_s2,a0.15_s3,a0.15_s4,a0.3_s0,a0.3_s1,a0.3_s2,a0.3_s3,a0.3_s4,a0.5_s0,a0.5_s1,a0.5_s2,a0.5_s3,a0.5_s4,a0.7_s0,a0.7_s1,a0.7_s2,a0.7_s3,a0.7_s4,a0.85_s0,a0.85_s1,a0.85_s2,a0.85_s3,a0.85_s4,a1.0_s0,a1.0_s1,a1.0_s2,a1.0_s3,a1.0_s4
0,-0.27650331086899144,-0.3863066841814874,-0.270117625655636,-0.2868639414417517,-0.35658185145813864,-0.25029324953286736,-0.3272395024620602,-0.23984652772819717,-0.25531336103816193,-0.30607178292992515,-0.22654038144700495,-0.27370986902882927,-0.21241334523145577,-0.22672064754740875,-0.26029703332623166,-0.19813008824626752,-0.20968422904006284,-0.17960110734319645,-0.19252151964670391,-0.2055468426237747,-0.17287649429005641,-0.15277254905004825,-0.15043467366474364,-0.16212229484607735,-0.15688000644381295,-0.15570405039983287,-0.11407260665683831,-0.13060149876339577,-0.14145082198165132,-0.12378655784143897,-0.13985256373193425,-0.07834958290925992,-0.11229395270061311,-0.12236946241448882,-0.09323875913155527
1,-0.30800821285149355,-0.11469466750203645,-0.3212453803105673,-0.2775126954515532,-0.28479400047426384,-0.28812458298951515,-0.18358356606792559,-0.22135913032441729,-0.2502485898333121,-0.3020046073424019,-0.29266045821497844,-0.21592426290088443,-0.2862805850698769,-0.22959632168812694,-0.21975619373289074,-0.17325126081467424,-0.19226837233459265,-0.16936873925992835,-0.18994555009149527,-0.1306520984254078,-0.1516583585156671,-0.14822568376764317,-0.13461526539979163,-0.1313323859262804,-0.1164302866334374,-0.09409652719161418,-0.09010709075122036,-0.08337434998488497,-0.09086148366554417,-0.12659912064906795,-0.04059002326461768,-0.07203542200181963,-0.06729603641101277,-0.04721425110260301,-0.10217895585757554
2,-0.18069894690135863,-0.1691538540788923,-0.27017501872856287,-0.18180956366473502,-0.14601484169169507,-0.24604433029457895,-0.21318776202134898,-0.2537974555914928,-0.17509667700024273,-0.21754711703430862,-0.2090121691713362,-0.1964178920999427,-0.11791638894357165,-0.1841188324046183,-0.0737074497040347,-0.08401075088945807,-0.14222128498679024,-0.1177786623122819,-0.11434776107793977,-0.12110110759068408,-0.12832851362725162,-0.16725451628744065,-0.12674071594477632,-0.09243368917225214,-0.15960641557456862,-0.09772432094963121,-0.11296841764666214,-0.07337803159108164,-0.06492788901582802,-0.10318861531629236,-0.10070706835986634,-0.06120232187306801,-0.03067292810113033,-0.03277103239500347,-0.10091242746849519
3,-0.23615391288127424,-0.21094760361403248,-0.14246626667321782,-0.12265524049561824,-0.14538466584795953,-0.06142448772089507,-0.07340159209328628,-0.12698752389392332,-0.13340317861440124,-0.1757159909483613,-0.16961207815017762,-0.15766984164575965,-0.11936597486141126,-0.04499552691420623,-0.10052302023042543,-0.0941186022321053,-0.13428534685518767,-0.04064219402069053,0.008976266892361391,-0.1234060653438956,-0.09801139179067331,-0.13395166999156377,-0.1409639535849092,-0.042876846601793965,-0.101270937205752,-0.08880382204367451,-0.10899153743220819,-0.07134635144588213,-0.09264090666496597,-0.12188904217571835,-0.07126796818283009,-0.027561505950146316,-0.042821494331689455,-0.02426592511945082,-0.05848975477183872
4,-0.003736761988387873,-0.09882398522618305,-0.14219811457511516,-0.2597315362700851,-0.19464845782294235,-0.051734515480944016,-0.0369589361841428,-0.09911096075746172,-0.13544474388099617,-0.11771319448105855,-0.07195454000438067,-0.15130568147311416,0.12038283048629204,-0.03822936695932268,-0.005314181133028329,-0.03260025573662692,-0.07466209487004923,-0.014804023717263309,-0.03501897454859501,0.025366446827558547,-0.08726089195723657,-0.11102940400649422,-0.09544928713052378,-0.06508576132368116,-0.06509790334439874,-0.023784147925287748,-0.10065803245518119,-0.06872147869466923,-0.05139633711930394,-0.09745307521459365,-0.03742340106211774,-0.039402125234796206,-0.03394452771566778,-0.011564893681914682,-0.029878738714286833
5,0.087216790420806,0.1303207717515599,-0.00886023827314169,-0.1574687221300837,0.020810803259250818,0.13863541368243706,-0.05849697835467685,-0.0780602526015956,-0.1946564799817977,0.054399843636177114,-0.05466971659111788,-0.11943442328122067,0.07934700206990014,-0.09793965021608973,0.09788279394339044,-0.01754825717569083,-0.09113507167676205,-0.10121168934725709,0.03417861988556507,-0.003778072119502344,-0.056782077281599994,-0.15039133410563676,-0.06901195357715925,-0.0279809836713032,-0.010742012324704214,-0.06404426438232548,-0.07588974336082804,-0.040136300904328515,-0.03238495521427548,-0.05545343251035634,-0.026361707425302687,0.003743544902116886,0.004773721364034415,0.06014782495971324,-0.026805697567692858
6,0.06151151085693235,0.2022180960246609,0.08358831394837854,-0.0369901737646924,-0.06417969156613229,0.1142800259156514,0.04331417114983767,0.047072546637793033,-0.05620557238404135,0.027250199755686173,-0.08036919712169832,-0.1149878675432201,0.02233482473712375,0.010813206841344736,0.08329041457073695,-0.0006906323917922307,-0.04370338102697673,0.0025455853288080844,0.07937571694368173,0.08149130970603863,-0.04903551585948653,-0.12194615048988003,0.008863284268618977,0.042027128353712945,0.004511894873681087,-0.04887558836321161,-0.07294466149223416,-0.03321289824729165,0.0019300895330986948,-0.06803484170670157,-0.031453176752966605,0.012766150499360546,0.004890384771375459,0.10612208801874054,-0.025157238923093173
7,0.21646359272315585,0.23191525649449896,0.1929645937747992,0.01955843839728164,-0.09094100152103073,0.23588877452999335,-0.010792722512665102,0.07532398295197304,0.0730148881445262,0.12119075552453609,0.06185598506739363,-0.0949994723256046,0.14534222812265324,0.10253005082640615,0.12134777907715398,-0.06540975383056355,-0.02254090946163976,-0.0718401932586033,0.19813615961934283,0.05302234150687381,-0.0322764697860065,-0.1526058521388915,-0.005359533408380467,-0.0015416035512590687,0.02071367300608051,0.016709703479295672,-0.07914298486764226,-0.024593926105905335,0.02665953425959284,-0.06970749934038943,0.009006959885583855,0.00828420600583248,0.026333941829730968,0.11487364466329053,0.022282482468001706
8,0.14684929421205065,0.26863299631830245,0.22238000881054312,0.01886936943088005,-0.15565289098856808,0.19849542831085404,0.13410516440768544,0.1613432002797935,0.04060316340579834,0.2872628449644869,0.1104660349206712,-0.02918708099146729,0.10517437083033851,0.19153183593568024,0.1273599372551801,-0.05391180254796024,0.010630855604656726,-0.0032792276616408437,0.18162205432034942,0.057096559956109974,-0.006801538398807111,-0.15826839446633367,0.015505377731715193,0.022994004284767982,0.08663352005711047,-0.032063120792703466,-0.04552612891743204,-0.0030546332273250817,0.054799852842057434,-0.05803283640548872,0.026512685175110552,0.04933472113695841,0.028049323062106234,0.1585401366224224,0.04862529290483032
9,0.16520906170704214,0.302792219918514,0.27052207328861266,0.10511832631914349,-0.0253198328523931,0.34153673751513736,0.13870606561666116,0.1854471919489821,-0.03419832052932117,0.3776311977874693,0.16042622313666707,-0.026053611780263535,0.24588964973065058,0.23671236449565836,0.15680794307905868,0.017463698136211202,0.02498677311665624,0.01581199474674982,0.1681094662480076,0.1407852238620038,0.06157127678265725,-0.0974825527936945,0.07009832445849049,0.055403599358782654,0.057536741469362274,0.03884925304524764,-0.01753100218661644,0.003435388356499767,0.06536390235684028,0.03150096245524461,0.043702582179102084,0.09964053464344781,0.11178208943758808,0.1507280706868811,0.03138601183425038
