alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio,far_growth_eff,budget_eff,carry_eff,t_dec_eff,t_eval_eff,obs_lifecycle_eff,budget_mode_eff,stage_init_eff,quota_eff,tau_valid_eff,tau_ext_eff,hazard_eff,build_years_eff,gamma_eff,inst_tag_eff
0.0,0,-1139.3346955027268,11186.916442419006,0.0,-1549.999303367173,11108.207539973313,1514.9391378191353,-8126.98580152034,11131720.362609949,-12586.807584110073,-7899.443418488607,-7.37042840507962,45.0,510.0,1.0,0.0,0.9992592592592593,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
0.0,1,-854.9892491220332,11440.754931841695,0.0,-1545.5241031685293,11498.51916131676,1545.2314225875257,-9728.317971547085,11077715.784111032,-12607.667467411073,-2547.0646890531175,-10.788141143304378,61.2,507.0,0.9333333333333333,0.0,0.9990123456790123,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
0.0,2,-965.0556977441629,12253.77018313682,0.0,-1663.5355248578094,12294.925633908759,1656.7560813874654,-10128.412409116569,11842041.936034806,-13476.462125104508,-3821.6036313448,-10.824401551761213,67.0,509.0,0.8666666666666667,0.0,0.9997530864197531,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
0.0,3,-1036.8192429394696,11611.98003243317,0.0,-1583.467966408592,11687.440656747585,1583.1224306411148,-9168.827997059967,11517713.052357998,-13001.480459244905,-7313.673867922601,-8.75308138497488,54.0,511.0,1.0,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
0.0,4,-1002.39988632934,12085.253868622773,0.0,-1637.5157529258631,12117.317823232883,1630.3347768968983,-10253.62106926116,11429859.955422524,-13100.126023406905,-795.9829546405482,-7.7906474230043585,47.0,502.0,1.0,0.0,0.9916049382716049,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
0.15,0,-55.633378175661846,725.1390383997029,0.0,-97.9120042330376,729.7225274768376,97.9120042330376,-897.117673323178,683425.7895466024,-783.2960338643007,0.0,-1.3928056874999997,5.0,22.0,1.0,14.0,0.04345679012345679,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
0.15,1,-1223.5419081976459,11436.441262193835,0.0,-1589.5621730536163,11241.023487007047,1529.504823758513,-8572.589627232848,11095143.967914242,-12716.49738442893,-2761.9471304428344,-5.387410481432953,31.0,506.0,1.0,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
0.15,2,-86.01986296704312,11286.903036520322,0.0,-1263.2360873969224,11945.835978176063,1293.1776801036315,-7809.26655619258,11635305.150000075,-13479.51898977387,-4295.433582478332,-5.398829560504386,34.0,497.0,1.0,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
0.15,3,-1048.016890468434,11569.856795625328,0.0,-1593.049583261008,11639.744825959957,1593.0495832610081,-9217.56728412159,11273875.276163062,-12836.624375168847,-1353.2289004517002,-6.608807206962749,41.0,507.0,1.0,0.0,0.9985185185185185,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
0.15,4,-875.0392709980476,12483.427265217955,0.0,-1670.5692087776351,12608.666240464368,1672.1821599632124,-9938.92911976446,12159029.568644542,-13835.319530461173,-5574.125056237635,-10.52828565649197,71.0,509.0,0.9333333333333333,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
