ep,year,unit,channel,target,n_cells,cost,budget_before,released,spent,stopped
0,0,260,2,3,26,2180.0,2700.0,0.0,2660.0,1
0,0,313,2,3,2,160.0,2700.0,0.0,2660.0,1
0,0,243,2,3,4,320.0,2700.0,0.0,2660.0,1
0,1,248,2,3,24,1920.0,2740.0,0.0,2730.0,1
0,1,272,2,3,9,720.0,2740.0,0.0,2730.0,1
0,1,293,2,3,1,90.0,2740.0,0.0,2730.0,1
0,2,285,2,3,24,1920.0,2710.0,0.0,2690.0,1
0,2,281,2,3,9,720.0,2710.0,0.0,2690.0,1
0,2,385,3,3,1,50.0,2710.0,0.0,2690.0,1
0,3,312,2,3,23,1840.0,2720.0,0.0,2720.0,1
0,3,282,2,3,10,800.0,2720.0,0.0,2720.0,1
0,3,299,2,3,1,80.0,2720.0,0.0,2720.0,1
0,4,219,2,3,24,2060.0,2700.0,0.0,2700.0,1
0,4,336,2,3,7,560.0,2700.0,0.0,2700.0,1
0,4,217,2,3,1,80.0,2700.0,0.0,2700.0,1
0,5,249,2,3,23,1970.0,2700.0,0.0,2690.0,1
0,5,284,2,3,9,720.0,2700.0,0.0,2690.0,1
0,6,18,1,3,28,2520.0,2710.0,0.0,2680.0,1
0,6,291,2,3,2,160.0,2710.0,0.0,2680.0,1
0,7,245,2,3,24,2090.0,2730.0,0.0,2730.0,1
0,7,292,2,3,5,400.0,2730.0,0.0,2730.0,1
0,7,256,2,3,3,240.0,2730.0,0.0,2730.0,1
0,8,247,2,3,22,1790.0,2700.0,0.0,2690.0,1
0,8,288,2,3,9,810.0,2700.0,0.0,2690.0,1
0,8,224,2,3,1,90.0,2700.0,0.0,2690.0,1
0,9,83,1,3,29,2610.0,2710.0,0.0,2700.0,1
0,9,100,1,3,1,90.0,2710.0,0.0,2700.0,1
0,10,238,2,3,22,1800.0,2710.0,0.0,2710.0,1
0,10,274,2,3,9,730.0,2710.0,0.0,2710.0,1
0,10,197,1,3,2,180.0,2710.0,0.0,2710.0,1
0,11,275,2,3,21,1680.0,2700.0,0.0,2690.0,1
0,11,317,2,3,12,960.0,2700.0,0.0,2690.0,1
0,11,340,3,3,1,50.0,2700.0,0.0,2690.0,1
0,12,335,2,3,22,1980.0,2710.0,0.0,2710.0,1
0,12,259,2,3,6,490.0,2710.0,0.0,2710.0,1
0,12,240,2,3,3,240.0,2710.0,0.0,2710.0,1
0,13,115,1,3,26,2340.0,2700.0,0.0,2670.0,1
0,13,310,2,3,3,240.0,2700.0,0.0,2670.0,1
0,13,290,2,3,1,90.0,2700.0,0.0,2670.0,1
0,14,235,2,3,21,1850.0,2730.0,0.0,2710.0,1
0,14,191,1,3,9,810.0,2730.0,0.0,2710.0,1
0,14,396,3,3,1,50.0,2730.0,0.0,2710.0,1
1,0,260,2,3,26,2180.0,2700.0,0.0,2660.0,1
1,0,313,2,3,2,160.0,2700.0,0.0,2660.0,1
1,0,243,2,3,4,320.0,2700.0,0.0,2660.0,1
1,1,248,2,3,24,1920.0,2740.0,0.0,2730.0,1
1,1,272,2,3,9,720.0,2740.0,0.0,2730.0,1
1,1,293,2,3,1,90.0,2740.0,0.0,2730.0,1
1,2,285,2,3,24,1920.0,2710.0,0.0,2690.0,1
1,2,281,2,3,9,720.0,2710.0,0.0,2690.0,1
1,2,385,3,3,1,50.0,2710.0,0.0,2690.0,1
1,3,312,2,3,23,1840.0,2720.0,0.0,2720.0,1
1,3,282,2,3,10,800.0,2720.0,0.0,2720.0,1
1,3,299,2,3,1,80.0,2720.0,0.0,2720.0,1
1,4,219,2,3,24,2060.0,2700.0,0.0,2700.0,1
1,4,336,2,3,7,560.0,2700.0,0.0,2700.0,1
1,4,217,2,3,1,80.0,2700.0,0.0,2700.0,1
1,5,249,2,3,23,1970.0,2700.0,0.0,2690.0,1
1,5,284,2,3,9,720.0,2700.0,0.0,2690.0,1
1,6,18,1,3,28,2520.0,2710.0,0.0,2680.0,1
1,6,291,2,3,2,160.0,2710.0,0.0,2680.0,1
1,7,245,2,3,24,2090.0,2730.0,0.0,2730.0,1
1,7,292,2,3,5,400.0,2730.0,0.0,2730.0,1
1,7,256,2,3,3,240.0,2730.0,0.0,2730.0,1
1,8,247,2,3,22,1790.0,2700.0,0.0,2690.0,1
1,8,288,2,3,9,810.0,2700.0,0.0,2690.0,1
1,8,224,2,3,1,90.0,2700.0,0.0,2690.0,1
1,9,83,1,3,29,2610.0,2710.0,0.0,2700.0,1
1,9,100,1,3,1,90.0,2710.0,0.0,2700.0,1
1,10,238,2,3,22,1800.0,2710.0,0.0,2710.0,1
1,10,274,2,3,9,730.0,2710.0,0.0,2710.0,1
1,10,197,1,3,2,180.0,2710.0,0.0,2710.0,1
