ep,year,unit,channel,target,n_cells,cost,budget_before,released,spent,stopped
0,0,260,2,3,26,2180.0,2700.0,0.0,2660.0,1
0,0,313,2,3,2,160.0,2700.0,0.0,2660.0,1
0,0,243,2,3,4,320.0,2700.0,0.0,2660.0,1
0,1,248,2,3,24,1920.0,2740.0,0.0,2720.0,1
0,1,421,3,3,16,800.0,2740.0,0.0,2720.0,1
0,2,285,2,3,24,1920.0,2720.0,0.0,2690.0,1
0,2,272,2,3,9,720.0,2720.0,0.0,2690.0,1
0,2,385,3,3,1,50.0,2720.0,0.0,2690.0,1
0,3,312,2,3,23,1840.0,2730.0,0.0,2730.0,1
0,3,420,3,3,11,550.0,2730.0,0.0,2730.0,1
0,3,256,2,3,3,240.0,2730.0,0.0,2730.0,1
0,3,380,3,3,2,100.0,2730.0,0.0,2730.0,1
0,4,219,2,3,24,2060.0,2700.0,0.0,2700.0,1
0,4,336,2,3,7,560.0,2700.0,0.0,2700.0,1
0,4,299,2,3,1,80.0,2700.0,0.0,2700.0,1
0,5,247,2,3,22,1790.0,2700.0,0.0,2670.0,1
0,5,281,2,3,9,720.0,2700.0,0.0,2670.0,1
0,5,291,2,3,2,160.0,2700.0,0.0,2670.0,1
0,6,249,2,3,23,1970.0,2730.0,0.0,2690.0,1
0,6,284,2,3,9,720.0,2730.0,0.0,2690.0,1
0,7,275,2,3,21,1680.0,2740.0,0.0,2730.0,1
0,7,317,2,3,12,960.0,2740.0,0.0,2730.0,1
0,7,293,2,3,1,90.0,2740.0,0.0,2730.0,1
0,8,238,2,3,22,1800.0,2710.0,0.0,2690.0,1
0,8,282,2,3,10,800.0,2710.0,0.0,2690.0,1
0,8,224,2,3,1,90.0,2710.0,0.0,2690.0,1
0,9,245,2,3,24,2090.0,2720.0,0.0,2700.0,1
0,9,292,2,3,5,400.0,2720.0,0.0,2700.0,1
0,9,263,2,3,2,160.0,2720.0,0.0,2700.0,1
0,9,340,3,3,1,50.0,2720.0,0.0,2700.0,1
0,10,276,2,3,16,1280.0,2720.0,0.0,2720.0,1
0,10,268,2,3,18,1440.0,2720.0,0.0,2720.0,1
0,11,335,2,3,22,1980.0,2700.0,0.0,2700.0,1
0,11,240,2,3,3,240.0,2700.0,0.0,2700.0,1
0,11,310,2,3,3,240.0,2700.0,0.0,2700.0,1
0,11,261,2,3,3,240.0,2700.0,0.0,2700.0,1
0,12,235,2,3,21,1850.0,2700.0,0.0,2660.0,1
0,12,274,2,3,9,730.0,2700.0,0.0,2660.0,1
0,12,217,2,3,1,80.0,2700.0,0.0,2660.0,1
0,13,267,2,3,18,1470.0,2740.0,0.0,2720.0,1
0,13,258,2,3,14,1120.0,2740.0,0.0,2720.0,1
0,13,337,2,3,1,80.0,2740.0,0.0,2720.0,1
0,13,396,3,3,1,50.0,2740.0,0.0,2720.0,1
0,14,223,2,3,17,1530.0,2720.0,0.0,2720.0,1
0,14,279,2,3,12,960.0,2720.0,0.0,2720.0,1
0,14,289,2,3,2,180.0,2720.0,0.0,2720.0,1
0,14,342,3,3,1,50.0,2720.0,0.0,2720.0,1
1,0,260,2,3,26,2180.0,2700.0,0.0,2660.0,1
1,0,313,2,3,2,160.0,2700.0,0.0,2660.0,1
1,0,243,2,3,4,320.0,2700.0,0.0,2660.0,1
1,1,248,2,3,24,1920.0,2740.0,0.0,2720.0,1
1,1,421,3,3,16,800.0,2740.0,0.0,2720.0,1
1,2,285,2,3,24,1920.0,2720.0,0.0,2690.0,1
1,2,272,2,3,9,720.0,2720.0,0.0,2690.0,1
1,2,385,3,3,1,50.0,2720.0,0.0,2690.0,1
1,3,312,2,3,23,1840.0,2730.0,0.0,2730.0,1
1,3,420,3,3,11,550.0,2730.0,0.0,2730.0,1
1,3,256,2,3,3,240.0,2730.0,0.0,2730.0,1
1,3,380,3,3,2,100.0,2730.0,0.0,2730.0,1
1,4,219,2,3,24,2060.0,2700.0,0.0,2700.0,1
1,4,336,2,3,7,560.0,2700.0,0.0,2700.0,1
1,4,299,2,3,1,80.0,2700.0,0.0,2700.0,1
1,5,247,2,3,22,1790.0,2700.0,0.0,2670.0,1
1,5,281,2,3,9,720.0,2700.0,0.0,2670.0,1
1,5,291,2,3,2,160.0,2700.0,0.0,2670.0,1
1,6,249,2,3,23,1970.0,2730.0,0.0,2690.0,1
1,6,284,2,3,9,720.0,2730.0,0.0,2690.0,1
1,7,275,2,3,21,1680.0,2740.0,0.0,2730.0,1
1,7,317,2,3,12,960.0,2740.0,0.0,2730.0,1
1,7,293,2,3,1,90.0,2740.0,0.0,2730.0,1
1,8,238,2,3,22,1800.0,2710.0,0.0,2690.0,1
1,8,282,2,3,10,800.0,2710.0,0.0,2690.0,1
