policy,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_init,n_done_T,n_done_all,n_expire,spend,crh_T,crh_all
myopic,0,15546.451019672173,505.68812600354147,-14103.815150246899,7727.633793053508,860.469582446171,4905.806828553739,-106.0981136285358,12176923.418437246,-13356.899700185586,-75647.22840376197,-11.186922320399718,57,21,38,19,40495.0,0.3684210526315789,0.6666666666666666
myopic,1,10578.612977595298,1088.5306322278227,-9080.392735516158,5108.1851786268535,1200.97923802097,1944.7904178855958,106.90507737680635,8604552.14226339,-9598.528787182024,-57951.38653843816,-14.367563438262792,57,20,32,25,40495.0,0.3508771929824561,0.5614035087719298
myopic,2,14721.326867706939,1501.3338159766433,-12704.832887305714,7077.880565095787,1522.6868004448627,4493.829454923938,419.45436639113717,11991140.27948633,-13418.787940396174,-81219.07778604039,-9.725787634302035,57,26,40,17,40495.0,0.45614035087719296,0.7017543859649122
myopic,3,12826.297540249592,913.958486839532,-10927.120935674051,6242.626518984038,924.2181950163118,3321.259356456113,290.5803515050693,10284652.959600382,-11502.540419242478,-92148.17246812729,-10.004895871026992,57,23,40,17,40495.0,0.40350877192982454,0.7017543859649122
myopic,4,12659.129517195432,1067.344695368183,-11656.628277457014,6132.891540472315,1302.4916134864486,4632.077340652259,26.982305398507954,10155418.42000458,-11235.265537482082,-74756.05467570033,-13.851404120959689,57,19,34,23,40495.0,0.3333333333333333,0.5964912280701754
greedy_crh,0,6349.249241621186,347.94095130442383,-5890.91513233948,3121.1312090829215,412.9857662214642,1195.891103454764,349.5150756164899,5142590.776647159,-5634.825671455674,-34773.54913469937,-6.963259492693357,28,18,18,10,13470.0,0.6428571428571429,0.6428571428571429
greedy_crh,1,5925.976378923973,423.6046424187541,-5444.692764606339,2899.5402981337593,513.6032462845666,1271.7357796035783,415.1472288492841,4862657.936371622,-5368.315198334449,-31903.715678374796,-6.55538021601367,28,19,19,9,13470.0,0.6785714285714286,0.6785714285714286
greedy_crh,2,7217.22344733269,635.9215123507165,-6827.8156316686145,3496.066519150255,581.3424833697513,2343.2065062504516,656.0641713706109,6069829.708199329,-6662.959591566195,-43256.99466319478,-4.794361197142576,28,21,21,7,13470.0,0.75,0.75
greedy_crh,3,4987.309206858751,555.1613075901029,-4346.9695637105615,2373.940094040909,485.03578619470983,1182.4051899034484,662.7276152612752,4300689.401726914,-4796.921295107925,-43618.72763499641,-5.571914316712888,28,20,20,8,13470.0,0.7142857142857143,0.7142857142857143
greedy_crh,4,4585.525795226694,485.02087777211653,-4164.265430571703,2199.080510470012,433.6618988496287,330.4059292829841,613.6998386636432,3942324.6021689614,-4359.519386821275,-32739.46200990899,-7.67069838706445,28,17,17,11,13470.0,0.6071428571428571,0.6071428571428571
frontload,0,6349.249241621186,347.94095130442383,-5890.91513233948,3121.1312090829215,412.9857662214642,1195.891103454764,349.5150756164899,5142590.776647159,-5634.825671455674,-34773.54913469937,-6.963259492693357,28,18,18,10,13470.0,0.6428571428571429,0.6428571428571429
frontload,1,5925.976378923973,423.6046424187541,-5444.692764606339,2899.5402981337593,513.6032462845666,1271.7357796035783,415.1472288492841,4862657.936371622,-5368.315198334449,-31903.715678374796,-6.55538021601367,28,19,19,9,13470.0,0.6785714285714286,0.6785714285714286
frontload,2,7217.22344733269,635.9215123507165,-6827.8156316686145,3496.066519150255,581.3424833697513,2343.2065062504516,656.0641713706109,6069829.708199329,-6662.959591566195,-43256.99466319478,-4.794361197142576,28,21,21,7,13470.0,0.75,0.75
frontload,3,4987.309206858751,555.1613075901029,-4346.9695637105615,2373.940094040909,485.03578619470983,1182.4051899034484,662.7276152612752,4300689.401726914,-4796.921295107925,-43618.72763499641,-5.571914316712888,28,20,20,8,13470.0,0.7142857142857143,0.7142857142857143
frontload,4,4585.525795226694,485.02087777211653,-4164.265430571703,2199.080510470012,433.6618988496287,330.4059292829841,613.6998386636432,3942324.6021689614,-4359.519386821275,-32739.46200990899,-7.67069838706445,28,17,17,11,13470.0,0.6071428571428571,0.6071428571428571
evenspread,0,5043.0873958506345,368.34975991031627,-4742.1246953908585,2476.7105465239556,353.38732456268775,2477.311796708884,242.99053485943034,4153188.8372742464,-4565.868726727077,-36097.017857425664,-6.26651083169088,30,8,18,12,22670.0,0.26666666666666666,0.6
evenspread,1,7405.967362700012,416.8486366137671,-7002.473347346674,3637.9241146746817,483.7740432929153,2192.7236324504174,421.8059626101307,5960951.591801084,-6541.616974265334,-33797.021683049774,-6.125955053439562,30,7,19,11,22670.0,0.23333333333333334,0.6333333333333333
evenspread,2,7747.068523283234,581.8297330520954,-6744.1423440240715,3728.705606712297,703.1556286316023,2411.638283585869,363.0144393319714,6150637.195311223,-6884.432465980339,-47747.99861372224,-5.589222440746159,30,7,21,9,22670.0,0.23333333333333334,0.7
evenspread,3,6710.896170978893,472.95353738057054,-6182.18423331569,3272.039314209403,473.08942337537025,2968.9043476234765,372.98620360759514,5484339.771432993,-6057.916955436644,-42895.204139913454,-5.102013993699314,30,8,21,9,22670.0,0.26666666666666666,0.7
evenspread,4,5368.6885787446145,447.67497488678407,-4793.419212009659,2569.374040826878,575.6576345067161,2044.4072748641913,142.3617157393111,4232336.875773587,-4725.442689137267,-32100.291122626193,-7.84429821875268,30,6,17,13,22670.0,0.2,0.5666666666666667
backload,0,3646.9517902559032,448.45300252429035,-3127.100986089217,1732.9256789483825,484.0147337948305,1053.6683840614442,229.7643922822982,2990696.286227391,-3368.0393865642245,-26801.16227737392,-4.061216714720771,29,0,19,10,17270.0,0.0,0.6551724137931034
backload,1,4441.635818432123,544.6856466525135,-3888.050233441887,2117.0709101860098,654.3401908371203,1136.089468342134,283.18631312764995,3684858.9087527795,-4120.900427251983,-22056.750359277186,-3.4419092672345335,29,0,21,8,17270.0,0.0,0.7241379310344828
backload,2,5324.704707686899,363.3322781063967,-5084.758477565156,2603.672773140073,370.7457508617827,1870.201698983977,336.80165502113283,4369683.079217476,-4780.54976815708,-27501.690477264634,-2.0123141449094524,29,0,24,5,17270.0,0.0,0.8275862068965517
backload,3,4037.033759421383,309.5628772725652,-3654.945972625444,1961.0417601739186,289.1320149931025,1501.9871583462989,371.9671936007415,3348610.7938526915,-3697.180535104196,-26463.13323189795,-4.192212310048442,29,0,19,10,17270.0,0.0,0.6551724137931034
backload,4,4373.40783628503,499.0717233191534,-3951.960843853227,2099.2889749096753,580.1483982453901,1174.0544988573229,227.73269990332102,3602483.9239435736,-4000.068757671071,-24177.02121601656,-4.212073025971353,29,0,19,10,17270.0,0.0,0.6551724137931034
oracle,0,14103.358453805884,1132.4839169984812,-13027.476800795584,6847.779528887991,1360.5055863680188,3843.154906298691,582.7126814791008,11416704.679798376,-12601.635031769027,-78716.59632393786,0.0,38,38,38,0,21590.0,1.0,1.0
oracle,1,14103.358453805884,1132.4839169984812,-13027.476800795584,6847.779528887991,1360.5055863680188,3843.154906298691,582.7126814791008,11416704.679798376,-12601.635031769027,-78716.59632393786,0.0,38,38,38,0,21590.0,1.0,1.0
oracle,2,14103.358453805884,1132.4839169984812,-13027.476800795584,6847.779528887991,1360.5055863680188,3843.154906298691,582.7126814791008,11416704.679798376,-12601.635031769027,-78716.59632393786,0.0,38,38,38,0,21590.0,1.0,1.0
oracle,3,14103.358453805884,1132.4839169984812,-13027.476800795584,6847.779528887991,1360.5055863680188,3843.154906298691,582.7126814791008,11416704.679798376,-12601.635031769027,-78716.59632393786,0.0,38,38,38,0,21590.0,1.0,1.0
oracle,4,14103.358453805884,1132.4839169984812,-13027.476800795584,6847.779528887991,1360.5055863680188,3843.154906298691,582.7126814791008,11416704.679798376,-12601.635031769027,-78716.59632393786,0.0,38,38,38,0,21590.0,1.0,1.0
