alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio,far_growth_eff,budget_eff,carry_eff,t_dec_eff,t_eval_eff,obs_lifecycle_eff,budget_mode_eff,stage_init_eff,quota_eff,tau_valid_eff,tau_ext_eff,hazard_eff,build_years_eff,gamma_eff,inst_tag_eff
0.0,0,-971.2377064090284,12202.909269602422,0.0,-1661.320876549121,12228.716398809227,1653.353016356478,-9982.986090719316,11596019.718312865,-13290.567012392969,-891.7555561587294,-8.887019930496104,57.0,506.0,0.9333333333333333,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
0.0,1,-959.0622127882303,11583.585755783806,0.0,-1567.9249652669791,11636.123994424228,1564.2448619936163,-10505.545526055197,11407948.720836626,-12826.11157983762,-6931.483885432504,-9.809987174247226,61.0,513.0,1.0,0.0,0.9992592592592593,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
0.0,2,-922.705365494272,11972.742654047039,0.0,-1623.799064088474,12055.455424752068,1623.799064088474,-9959.481271153234,11334117.467337552,-12990.392512707793,0.0,-8.060202173540398,49.0,505.0,1.0,0.0,0.9975308641975309,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
0.0,3,-1131.0783135183833,11990.587880328498,0.0,-1650.4128551723147,12068.2235665096,1650.4128551723147,-9269.924432176369,11519881.729102757,-13203.302841378518,0.0,-5.507739362955145,37.0,506.0,1.0,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
0.0,4,-972.6424941216085,12450.844505716941,0.0,-1694.3822086588214,12537.370011977604,1694.3822086588214,-10044.108557246287,12160581.100733915,-13754.456285934453,-3734.9840709329924,-9.792590361809086,63.0,511.0,0.9333333333333333,0.0,0.9997530864197531,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
0.15,0,-470.25349369688485,10875.008211260816,-15.11003267415062,-1341.661620230017,11107.244740162892,1406.1374191302875,-10094.934908747273,10882802.58524641,-12462.562177077267,-11072.419364918493,-13.904723875339915,82.0,507.0,0.4666666666666667,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
0.15,1,-999.9928415330853,12126.838431735607,0.0,-1644.3798585008924,12186.354803409622,1641.4885598575383,-10921.707140741002,11477771.412336232,-13155.03886800714,-301.8881686798943,-7.23068197300541,44.0,503.0,1.0,0.0,0.9935802469135803,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
0.15,2,-942.3143674231387,12361.073117729398,0.0,-1671.8010622505055,12410.07027666623,1667.0251521596133,-9884.624459766488,12078834.118912507,-13667.706993845137,-7787.356776370027,-10.177690080991113,64.0,510.0,1.0,0.0,1.0,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
0.15,3,-979.0670228856903,12530.812410106617,0.0,-1706.0552810157176,12609.037291277891,1706.0552810157176,-10329.07510577653,11908265.86148971,-13648.44224812574,0.0,-8.207809689003861,54.0,506.0,1.0,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
0.15,4,-900.7959162810745,11580.532924643836,0.0,-1571.4787201974245,11628.8025862996,1566.8985606583672,-9523.859712888288,10968921.466978023,-12571.829761579396,-478.2266192687759,-8.333441002035638,50.0,506.0,1.0,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
0.3,0,-908.9376588150405,12122.311924097772,0.0,-1618.4227574450288,12199.399115237833,1626.740671725474,-10697.68929867088,11847203.328119246,-13436.75757646063,-6911.344664089299,-9.85650297260663,62.0,510.0,1.0,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
0.3,1,-939.8189010968617,12274.227580840328,0.0,-1666.8335899608035,12359.225069203283,1666.8335899608035,-10009.898538430138,11634498.457926411,-13334.668719686428,0.0,-7.100641236733324,46.0,500.0,1.0,0.0,0.9876543209876543,0.0,2700.0,3.0,15.0,26.0,False,upfront,0.2,6.0,3.0,2.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26Q6
