ep,year,unit,channel,target,n_cells,cost,budget_before,released,spent,stopped
0,0,509,5,10,6,480.0,2700.0,0.0,2640.0,1
0,0,603,5,10,6,480.0,2700.0,0.0,2640.0,1
0,0,518,5,10,6,480.0,2700.0,0.0,2640.0,1
0,0,430,5,10,9,720.0,2700.0,0.0,2640.0,1
0,0,645,5,10,6,480.0,2700.0,0.0,2640.0,1
0,1,515,5,10,9,720.0,2760.0,0.0,2720.0,1
0,1,567,5,10,9,720.0,2760.0,0.0,2720.0,1
0,1,586,5,10,9,720.0,2760.0,0.0,2720.0,1
0,1,551,5,10,7,560.0,2760.0,0.0,2720.0,1
0,2,542,5,10,9,720.0,2740.0,0.0,2640.0,1
0,2,535,5,10,10,800.0,2740.0,0.0,2640.0,1
0,2,555,5,10,10,800.0,2740.0,0.0,2640.0,1
0,2,459,5,10,3,240.0,2740.0,0.0,2640.0,1
0,2,703,5,10,1,80.0,2740.0,0.0,2640.0,1
0,3,473,5,10,10,800.0,2800.0,0.0,2720.0,1
0,3,543,5,10,10,800.0,2800.0,0.0,2720.0,1
0,3,525,5,10,11,880.0,2800.0,0.0,2720.0,1
0,3,665,5,10,3,240.0,2800.0,0.0,2720.0,1
0,4,592,5,10,10,800.0,2780.0,0.0,2720.0,1
0,4,465,5,10,12,960.0,2780.0,0.0,2720.0,1
0,4,458,5,10,12,960.0,2780.0,0.0,2720.0,1
0,5,489,5,10,13,1040.0,2760.0,0.0,2640.0,1
0,5,531,5,10,11,880.0,2760.0,0.0,2640.0,1
0,5,539,5,10,9,720.0,2760.0,0.0,2640.0,1
0,6,602,5,10,9,720.0,2820.0,0.0,2800.0,1
0,6,429,5,10,13,1040.0,2820.0,0.0,2800.0,1
0,6,596,5,10,11,880.0,2820.0,0.0,2800.0,1
0,6,616,5,10,2,160.0,2820.0,0.0,2800.0,1
0,7,540,5,10,13,1040.0,2720.0,0.0,2720.0,1
0,7,495,5,10,15,1200.0,2720.0,0.0,2720.0,1
0,7,424,5,10,6,480.0,2720.0,0.0,2720.0,1
0,8,553,5,10,8,640.0,2700.0,0.0,2560.0,1
0,8,441,5,10,12,960.0,2700.0,0.0,2560.0,1
0,8,511,5,10,12,960.0,2700.0,0.0,2560.0,1
0,9,451,5,10,16,1280.0,2840.0,0.0,2720.0,1
