iter,a0.0_s0,a0.0_s1,a0.0_s2,a0.0_s3,a0.0_s4,a0.15_s0,a0.15_s1,a0.15_s2,a0.15_s3,a0.15_s4,a0.3_s0,a0.3_s1,a0.3_s2,a0.3_s3,a0.3_s4,a0.5_s0,a0.5_s1,a0.5_s2,a0.5_s3,a0.5_s4,a0.7_s0,a0.7_s1,a0.7_s2,a0.7_s3,a0.7_s4,a0.85_s0,a0.85_s1,a0.85_s2,a0.85_s3,a0.85_s4,a1.0_s0,a1.0_s1,a1.0_s2,a1.0_s3,a1.0_s4
0,-0.3438691173343582,-0.29657341918497415,-0.1549805310206639,-0.23404433369541078,-0.296349739580127,-0.29180113918768186,-0.251248912803054,-0.1389042356390312,-0.20164854828524584,-0.25105219567148673,-0.24461453399225655,-0.2101735788944389,-0.1243350929494266,-0.1722898677572839,-0.2100012965042815,-0.18817565326831637,-0.1610442579449189,-0.10690925561480144,-0.13717458320423137,-0.16090120142193798,-0.13800775929148068,-0.11737375043423437,-0.09141962242846796,-0.10596099693485128,-0.11725667245985488,-0.10389359138723236,-0.08767780532696894,-0.0808866718617612,-0.08473575827167283,-0.08757839276563834,-0.07240359024484933,-0.06026616368949312,-0.07116394826172419,-0.06514323027489274,-0.060183057663284606
1,-0.15886830060051166,-0.13716668058552023,-0.22634722828447576,-0.17557478159651663,-0.13501815948274482,-0.13942131608693795,-0.1362157913191814,-0.202408639611674,-0.17096741367333576,-0.12071829253906405,-0.12838284460182992,-0.1372165569730714,-0.19381787995008803,-0.13967944704328053,-0.11674997729248128,-0.10518475259393888,-0.11619697278435999,-0.12668702364444595,-0.08617679834741934,-0.13082488233079476,-0.08726343315777682,-0.1061330127722321,-0.12675122871014505,-0.07175078609519132,-0.07888861063781137,-0.06570203509854432,-0.09211394093535163,-0.09578839022849622,-0.09713119902447426,-0.04504399862011059,-0.045101920124072284,-0.0937224821103663,-0.07944406163672238,-0.06158689781988058,-0.03323732605392668
2,-0.13039648848685415,-0.14508527396199228,-0.26197410305630636,-0.14119731003440936,-0.26282908094269586,-0.12490141472956937,-0.164973941469098,-0.22411232704073517,-0.15239712391283786,-0.24174890143387898,-0.09962530920341094,-0.15882111123126402,-0.20764999418654964,-0.13618320309835988,-0.19232527660280918,-0.10161029157725637,-0.0964991789871536,-0.12807281426788225,-0.1439802151604385,-0.13443955978265115,-0.08535194763849953,-0.09378305890415753,-0.10420762335521869,-0.12894767342710306,-0.09847112220901799,-0.06451755879527271,-0.05041204111980632,-0.06159775731643237,-0.03469846070631737,-0.06221728317728956,-0.03973655033450591,-0.025739895129564268,-0.0837195080153724,-0.011349830383761078,-0.039937817666189715
3,0.10379391942329069,0.03620485078293964,-0.17536371701496944,-0.17416670032457032,-0.10814785831462717,0.08576794892699617,0.028660939245922105,-0.1790932843207527,-0.15279825154997478,-0.07646156532154083,-0.0202771612289084,-0.07602844546386162,-0.11521215355307887,-0.09501699206220723,-0.05461701176508976,-0.05221821036466723,-0.0821282148019664,-0.1179492936168045,-0.09320972372658395,-0.08753869155823954,-0.013712431192633856,-0.08777675670850155,-0.09984864365346102,-0.10664312399492068,-0.04664003814051065,-0.09807959439976405,-0.038986751594108186,-0.06424964607776484,-0.055868557963869254,-0.043752130131142666,-0.04805024577861752,-0.003468685708537308,-0.07933766338391934,-0.03522911997263824,-0.020221154674292953
4,0.1377573212216721,0.012545776070289415,-0.21597000118574464,-0.10367993183256544,0.0943839881620786,0.07035886152235352,-0.03208356917373189,-0.10534972196487807,-0.027209752543220958,-0.056751490777566416,-0.01790810169179861,-0.012177576060136405,-0.10419916577234004,-0.10799678753256317,-0.0712131911539375,0.013759974139466915,-0.06125687183810857,-0.057399345956868526,-0.1327177530475175,-0.011582781800878423,-0.01085323048123191,-0.06154128261168892,-0.0798601101126214,-0.07052946765082542,-0.022982744863427558,-0.009767699309956137,-0.09809496478767585,-0.042000317597841036,-0.08683796003956873,-0.04266553238352528,-0.008230190704020849,0.061201948401662515,-0.06790694566543495,-0.048368542357466744,-0.003961904639936958
5,0.1654529105149023,0.12418208096103425,-0.041589578844745165,0.1308802280911502,0.06082839786217517,0.0885726172804161,0.04296948772178774,-0.10355447029867842,0.02391749575121168,-0.009698373456181266,0.12711310244266716,0.02209097403235436,-0.08582043305642972,-0.001615570107852694,-0.05019657362121178,0.09891382663580023,-0.0016857294603949205,-0.08018925013160545,0.005969610047292684,0.005162873074999684,-0.05081122615946146,-0.10206643507362874,-0.09941159831243221,-0.0299016541524149,-0.010725702759781804,-0.0036780275979387458,-0.0321848896212409,-0.0025447582979304766,-0.033955952538350015,-0.052694636012090186,0.08272538263717678,0.056821266755062744,-0.08582679738949729,0.03666134479589035,-0.05735736883484248
6,0.23083597366298134,0.1854029035020484,-0.09226335142346442,0.23906043796426701,0.07764213400220245,0.06484736992133644,0.017277056154121777,-0.0217751828229884,0.04610055332687509,0.029075646771808912,0.10366860876769418,0.02165586547831043,-0.0015201229083987161,0.08162534857863482,-0.025665773517842445,0.059179767623327634,0.034368000139459884,-0.04017347578419325,0.05566634054217362,0.02013513608800895,-0.018433450506193445,-0.07032122600279181,-0.0848696760451228,0.047509963204453984,-0.002849432439302339,0.013177472373101462,-0.019869902221706107,-0.017229892347854478,-0.009490262906384783,-0.06435408826475392,0.08825042248414669,0.017349377344679708,-0.0650163119826798,0.0711722797103883,-0.024441539785125248
7,0.4893300031223046,0.327346729381871,0.10871482292869342,0.259186392243483,0.10042997013821447,0.1709476756904747,0.21619481027443832,0.06321403570422564,0.1125026906622344,0.08203754639986381,0.18447885954069457,0.06587054580824778,0.049494117784110114,0.09858119008085234,0.049639395389530994,0.16503207637714792,0.05932092848134703,-0.0248295783812605,0.04930839411664568,0.06499612821688218,0.056421772344923786,-0.05376741401554785,-0.07337978533164508,0.0848418605723425,0.07492595330833235,0.05638038216811821,-0.03463686573248979,-0.016285144814829178,-0.010140343396177462,-0.04889266216140693,0.11464544452308137,0.11082170700459229,-0.03816797004511378,0.09265869461900829,-0.05471164445146414
8,0.5299838226615429,0.3168257305734785,-0.01435251831181577,0.4274369874895618,0.15366121757952322,0.17694388973540667,0.2046664471763832,0.2290694007038958,0.31807091470889537,0.22956313835468764,0.167760111648936,0.1699857500538279,0.0834059504815787,0.14322320174548206,0.15545513400939118,0.18412784292751772,0.10444066240591283,-0.016014675313697543,0.03845561810696256,0.12626762256799864,0.05503466154111429,0.022311262514355088,-0.023159429938918456,0.13957973874607763,0.03997244803286869,0.05147661653059182,0.000986235011904782,0.04125099915135973,-0.005655861677849254,-0.019404077258589746,0.1203823168799138,0.1017418001443739,-0.0012974752641454028,0.12614231983083474,-0.031415355224119736
9,0.6754335754879335,0.4852486441073569,0.02489746863622225,0.4577624109045253,0.1366843247870122,0.26782867619176504,0.2577707583870312,0.3009878028616661,0.3256532633869949,0.2300013674632728,0.14197725092591332,0.20239888828584562,0.11996612099498064,0.13380555673057698,0.18935078814652526,0.17482026943274395,0.09068967612596537,0.06364472138510335,0.10271785717840759,0.15967622417024735,0.03922575311604752,0.029381486438751797,-0.028230808088038448,0.08269262655137044,0.08692265837702931,0.10676857696617877,0.04235140727868216,0.041280587058844895,0.04321237081566685,0.026302434018600024,0.19959471871489912,0.15015644689700022,-0.03932986706577565,0.09666413553001013,0.018146552164278684
