ep,year,unit,channel,target,n_cells,cost,budget_before,released,spent,stopped
0,0,609,5,10,29,2320.0,2700.0,0.0,2640.0,1
0,0,448,5,10,4,320.0,2700.0,0.0,2640.0,1
0,1,704,5,10,27,2160.0,2760.0,0.0,2720.0,1
0,1,632,5,10,7,560.0,2760.0,0.0,2720.0,1
0,2,684,5,10,25,2000.0,2740.0,0.0,2720.0,1
0,2,686,5,10,9,720.0,2740.0,0.0,2720.0,1
0,3,663,5,10,24,1920.0,2720.0,0.0,2720.0,1
0,3,447,5,10,10,800.0,2720.0,0.0,2720.0,1
0,4,545,5,10,22,1760.0,2700.0,0.0,2640.0,1
0,4,527,5,10,11,880.0,2700.0,0.0,2640.0,1
0,5,528,5,10,21,1680.0,2760.0,256.0,2720.0,1
0,5,482,5,10,13,1040.0,2760.0,256.0,2720.0,1
0,6,541,5,10,20,1600.0,2996.0,1728.0,2960.0,1
0,6,691,5,10,17,1360.0,2996.0,1728.0,2960.0,1
0,7,635,5,10,20,1600.0,4464.0,0.0,4400.0,0
0,7,631,5,10,20,1600.0,4464.0,0.0,4400.0,0
0,7,504,5,10,15,1200.0,4464.0,0.0,4400.0,0
0,8,618,5,10,20,1600.0,2764.0,0.0,2720.0,1
0,8,654,5,10,14,1120.0,2764.0,0.0,2720.0,1
0,9,521,5,10,19,1520.0,2744.0,0.0,2720.0,1
0,9,681,5,10,15,1200.0,2744.0,0.0,2720.0,1
0,10,563,5,10,19,1520.0,2724.0,0.0,2720.0,1
0,10,512,5,10,15,1200.0,2724.0,0.0,2720.0,1
0,11,712,5,10,19,1520.0,2704.0,0.0,2640.0,1
0,11,680,5,10,14,1120.0,2704.0,0.0,2640.0,1
0,12,513,5,10,18,1440.0,2764.0,0.0,2720.0,1
0,12,646,5,10,16,1280.0,2764.0,0.0,2720.0,1
0,13,629,5,10,18,1440.0,2744.0,0.0,2720.0,1
0,13,671,5,10,16,1280.0,2744.0,0.0,2720.0,1
0,14,500,5,10,18,1440.0,2724.0,1216.0,2720.0,1
0,14,705,5,10,16,1280.0,2724.0,1216.0,2720.0,1
1,0,609,5,10,29,2320.0,2700.0,0.0,2640.0,1
1,0,448,5,10,4,320.0,2700.0,0.0,2640.0,1
1,1,704,5,10,27,2160.0,2760.0,0.0,2720.0,1
1,1,632,5,10,7,560.0,2760.0,0.0,2720.0,1
1,2,684,5,10,25,2000.0,2740.0,0.0,2720.0,1
1,2,686,5,10,9,720.0,2740.0,0.0,2720.0,1
1,3,663,5,10,24,1920.0,2720.0,0.0,2720.0,1
1,3,447,5,10,10,800.0,2720.0,0.0,2720.0,1
1,4,545,5,10,22,1760.0,2700.0,0.0,2640.0,1
1,4,527,5,10,11,880.0,2700.0,0.0,2640.0,1
1,5,528,5,10,21,1680.0,2760.0,1856.0,2720.0,1
1,5,482,5,10,13,1040.0,2760.0,1856.0,2720.0,1
1,6,541,5,10,20,1600.0,4596.0,0.0,4560.0,0
1,6,635,5,10,20,1600.0,4596.0,0.0,4560.0,0
1,6,691,5,10,17,1360.0,4596.0,0.0,4560.0,0
1,7,631,5,10,20,1600.0,2736.0,2176.0,2720.0,1
1,7,654,5,10,14,1120.0,2736.0,2176.0,2720.0,1
1,8,618,5,10,20,1600.0,4892.0,0.0,4640.0,0
1,8,521,5,10,19,1520.0,4892.0,0.0,4640.0,0
1,8,563,5,10,19,1520.0,4892.0,0.0,4640.0,0
1,9,712,5,10,19,1520.0,2952.0,704.0,2880.0,1
1,9,581,5,10,17,1360.0,2952.0,704.0,2880.0,1
1,10,513,5,10,18,1440.0,3476.0,0.0,3440.0,0
