policy,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_init,n_done_T,n_done_all,n_expire,spend,crh_T,crh_all
myopic,0,6090.336832389519,406.63700030012666,-5372.562415858161,2965.1312492533634,450.589114908426,419.36531340489773,354.4354256397609,4946729.317242167,-5503.655545781292,-36956.3540931333,-14.922634333617918,45,11,20,25,37030.0,0.24444444444444444,0.4444444444444444
myopic,1,9866.0751581667,294.2527641161427,-9458.545896736894,4909.8138544863705,475.0553182355791,2927.826930785894,-60.47122039814985,7694877.955112383,-8385.854792647693,-50351.169433993666,-14.05300683215225,45,11,22,23,37030.0,0.24444444444444444,0.4888888888888889
myopic,2,11445.263416539083,191.68129710010055,-10296.532018073323,5719.330013822192,445.52058299173007,3511.7409889654873,-181.76114376795746,8766259.14500541,-9648.189712684223,-59619.088488472655,-14.00350192473373,45,8,23,22,37030.0,0.17777777777777778,0.5111111111111111
myopic,3,8204.81300455159,278.3552518629165,-7413.132654188486,4077.848904327574,437.22154682796577,2164.6247719280022,80.04593550298797,6430269.652333242,-7085.300656580046,-49716.21157931263,-14.2802458542273,45,10,22,23,37030.0,0.2222222222222222,0.4888888888888889
myopic,4,8631.534711307297,258.17395840809274,-8279.395866646903,4277.819127150636,374.4474471720068,1898.7468052289078,-39.840167922317136,6713092.529568727,-7322.993585974425,-45236.6212929029,-16.923235371807422,45,6,18,27,37030.0,0.13333333333333333,0.4
greedy_crh,0,2423.351397006264,312.29523354120084,-2140.0610104785746,1156.3901359957551,236.9809325828336,-9.244157444782132,415.8087717799263,2117990.1752852374,-2368.2232722469166,-18980.71646497542,-6.519012766484374,18,9,9,9,9640.0,0.5,0.5
greedy_crh,1,3218.7725109485054,294.2527641161427,-3106.396925003518,1558.7379358108603,257.80540043769196,632.3569730909769,368.16780013639203,2701774.8362858724,-2965.7995118306003,-21393.739274905114,-7.494592986015623,18,8,8,10,9640.0,0.4444444444444444,0.4444444444444444
greedy_crh,2,3174.408154821498,173.03394938295648,-3106.272746174508,1559.770577400145,132.4183978067522,1251.316127067204,230.7052075461652,2542522.5083497036,-2770.288982393903,-25396.100267052116,-8.227648611015624,18,7,7,11,9640.0,0.3888888888888889,0.3888888888888889
greedy_crh,3,2233.6311481862463,278.3552518629165,-2102.8094919771747,1068.7261209673568,212.39228125761508,770.0814639888231,409.844452178715,1946676.7051265188,-2152.717135785513,-20438.470788018745,-7.4538676735156235,18,8,8,10,9640.0,0.4444444444444444,0.4444444444444444
greedy_crh,4,2338.4370048544292,191.68129710010055,-2210.339196478145,1132.0808148415038,140.3044626134184,-18.958055946607626,225.30142623846473,1931257.8385241865,-2127.206731587422,-14650.622507321523,-8.37873442972656,18,7,7,11,9640.0,0.3888888888888889,0.3888888888888889
frontload,0,2075.381192379765,312.29523354120084,-1917.8379244273153,980.435382450609,224.3536749645564,-73.11634088676968,390.2936168726967,1855817.5925029695,-2065.0812630681776,-14585.000640379702,-5.228926498437499,15,8,8,7,8350.0,0.5333333333333333,0.5333333333333333
frontload,1,2681.8507258495374,294.2527641161427,-2566.036837340881,1288.557891979542,246.00110007825774,44.445197714028296,417.19791305056714,2299206.5709772077,-2533.511441700491,-16654.423021971725,-6.167752123437499,15,7,7,8,8350.0,0.4666666666666667,0.4666666666666667
frontload,2,2933.546404961691,173.03394938295648,-2862.435256616743,1437.8518326212625,124.59808299227389,1100.5270235246908,244.70343014665377,2360863.5786291687,-2575.2189907476914,-24093.25459585762,-6.900807748437499,15,6,6,9,8350.0,0.4,0.4
frontload,3,1921.315058939301,257.69337073594994,-1818.0397257789655,920.1270968601315,210.18400985658374,379.03367574912613,383.44029685499737,1696462.9665343352,-1874.7018706830866,-17586.697435351587,-5.4654441093749995,15,8,8,7,8350.0,0.5333333333333333,0.5333333333333333
frontload,4,2671.2713567946385,173.03394938295648,-2600.479179770569,1306.873794198175,136.33883374164145,-48.20828785185307,233.94323220520343,2165706.301378769,-2365.6541292707516,-14423.10262797329,-7.715313998437498,15,5,5,10,8350.0,0.3333333333333333,0.3333333333333333
evenspread,0,1661.7024582134914,198.22504298767478,-1542.2362907009283,785.5597523894565,148.91114751503216,427.4830461658063,347.10734827254345,1430561.8356139003,-1589.3264425499551,-19157.90680862575,-3.9810985817339937,15,5,8,7,8350.0,0.3333333333333333,0.5333333333333333
evenspread,1,2085.016633265705,95.8453356772087,-2087.038758404993,1041.5715786527744,132.2517508201009,992.213936120271,129.04543334797222,1664325.073253001,-1797.6647846772921,-13639.414832013232,-5.540302916978658,15,3,6,9,8350.0,0.2,0.4
evenspread,2,1625.4449991042188,224.44920396323823,-1422.4690587667174,776.8250967434896,147.12098562012068,57.0380234334193,280.2819084691389,1438153.846658808,-1609.3861484250062,-13447.362311203105,-4.888460780253398,15,3,7,8,8350.0,0.2,0.4666666666666667
evenspread,3,1926.8147670014437,198.1505489735835,-1817.0778833944235,920.8967106568716,163.45452640588465,285.3798923276407,317.42224423224445,1630744.1011556007,-1802.3169080243526,-14570.689933831727,-4.2955778906898825,15,4,8,7,8350.0,0.26666666666666666,0.5333333333333333
evenspread,4,2013.5898535591396,159.68992626708607,-1827.3411869845668,977.2063773795502,96.89803460311438,884.2612661919825,240.04197321160535,1658240.420417476,-1837.2707452266775,-17737.3564718057,-6.121097603741719,15,2,5,10,8350.0,0.13333333333333333,0.3333333333333333
backload,0,1242.607382878357,186.98269226919322,-1148.2804088268954,587.0228800094867,134.32883265516054,-43.77745415085438,233.68320557063484,1111146.5451199645,-1236.4404347279656,-8732.578642210738,-3.1307514471769204,15,0,8,7,8350.0,0.0,0.5333333333333333
backload,1,1605.723095089376,176.17999934933187,-1536.3810419624083,771.5072082752883,147.2899457101301,26.610981643141884,249.79180151653586,1376619.9049836611,-1516.906886129164,-9971.61826495654,-3.6928610283679784,15,0,7,8,8350.0,0.0,0.4666666666666667
backload,2,1756.4225956205123,103.6018172378799,-1713.8457243147318,860.8950053419483,74.60147484576356,658.9261816142966,146.5129827871399,1413536.2330277937,-1541.878736388819,-14425.52151301479,-4.131768509571955,15,0,6,9,8350.0,0.0,0.4
