alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio,far_growth_eff,budget_eff,carry_eff,t_dec_eff,t_eval_eff,obs_lifecycle_eff,budget_mode_eff,stage_init_eff,quota_eff,tau_valid_eff,tau_ext_eff,hazard_eff,build_years_eff,gamma_eff,inst_tag_eff
0.0,0,-612.0972784525654,8031.9952429108835,0.0,-1087.1813693001923,8085.722605718404,1087.1813693001923,-7637.752273647119,7588525.957715342,-8697.450954401536,0.0,-14.406896806067582,44.0,505.6,0.06666666666666667,0.0,0.9987160493827161,0.0,2700.0,3.0,15.0,24.0,True,upfront,0.2,3.0,2.0,1.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V2E1DAY1-52-53-55-5T15X24
0.0,1,-681.0957458558362,8580.259313599669,0.0,-1157.6914131644855,8637.783954286224,1157.6914131644858,-8044.352331564657,8097013.422188898,-9271.284804898194,-45.62381779490543,-13.444667652780362,44.0,506.0,0.06666666666666667,0.0,0.9987654320987654,0.0,2700.0,3.0,15.0,24.0,True,upfront,0.2,3.0,2.0,1.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V2E1DAY1-52-53-55-5T15X24
0.0,2,-786.0258208492322,8340.958423276352,0.0,-1147.6527700433533,8385.116530859845,1146.5084829790262,-6831.521816717832,8207037.128440909,-9298.558357203638,-1535.413840910158,-14.608191693664207,45.0,509.0,0.0,0.0,0.9987654320987654,0.0,2700.0,3.0,15.0,24.0,True,upfront,0.2,3.0,2.0,1.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V2E1DAY1-52-53-55-5T15X24
0.0,3,-783.3212561645236,9248.105001753407,0.0,-1249.439566099983,9284.498226291264,1245.883083866811,-8737.00373251244,8721088.17137788,-9995.516528799864,-371.3417535690278,-13.383839976623738,44.0,505.0,0.06666666666666667,0.0,0.9975308641975309,0.0,2700.0,3.0,15.0,24.0,True,upfront,0.2,3.0,2.0,1.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V2E1DAY1-52-53-55-5T15X24
0.0,4,-1151.0577338668495,9381.257669267563,0.0,-1296.9980854289402,8525.628244715917,1103.4126634830882,-3843.296660812272,9137146.734114558,-10469.748679627233,-9633.16015477302,-12.350409002525087,41.0,507.0,0.26666666666666666,0.0,1.0,0.0,2700.0,3.0,15.0,24.0,True,upfront,0.2,3.0,2.0,1.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V2E1DAY1-52-53-55-5T15X24
0.15,0,-683.9789561695603,8262.130533382498,0.0,-1115.6972549424322,8317.39764873021,1115.6972549424322,-8006.943433951099,7842972.065107068,-8962.762754713209,0.0,-13.791647932619565,42.0,504.0,0.2,0.0,0.9940740740740741,0.0,2700.0,3.0,15.0,24.0,True,upfront,0.2,3.0,2.0,1.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V2E1DAY1-52-53-55-5T15X24
0.15,1,-1077.5985210977015,8501.557439935572,0.0,-1197.251734820938,7813.795888544749,1024.739072258807,-4917.611154741929,8518457.715137314,-9674.573380411692,-13900.552906996818,-12.684377646664865,39.0,509.0,0.4,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,24.0,True,upfront,0.2,3.0,2.0,1.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V2E1DAY1-52-53-55-5T15X24
0.15,2,-831.2218547689087,8348.683528655665,0.0,-1158.3035852477199,8311.612909123902,1137.34687557732,-6431.597915318212,8084959.025029084,-9266.42868198176,-963.7675458048209,-10.500308082119515,33.0,506.0,0.8,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,24.0,True,upfront,0.2,3.0,2.0,1.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V2E1DAY1-52-53-55-5T15X24
0.15,3,-827.690709488434,8052.323833707332,0.0,-1116.3693477884701,7942.2061208353,1078.7649252188648,-6692.739351039396,8016762.3648022935,-9065.067277671424,-5793.265226017476,-13.374282535015732,42.0,510.0,0.2,0.0,0.9992592592592593,0.0,2700.0,3.0,15.0,24.0,True,upfront,0.2,3.0,2.0,1.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V2E1DAY1-52-53-55-5T15X24
0.15,4,-765.0381473096046,7736.699927136071,0.0,-1075.8474610536211,7742.542994581412,1065.6377819834263,-6797.422630774692,7728546.540418403,-8737.682473532986,-4333.34101863205,-13.705301377089773,42.0,510.0,0.2,0.0,0.9992592592592593,0.0,2700.0,3.0,15.0,24.0,True,upfront,0.2,3.0,2.0,1.0,"0.174,0.212,0.239,0.277,0.179","1:5,2:5,3:5,5:5",0.95,V2E1DAY1-52-53-55-5T15X24
