ep,year,unit,channel,target,n_cells,cost,budget_before,released,spent,stopped
0,0,245,2,3,24,2090.0,2700.0,0.0,2700.0,0
0,0,280,2,3,7,560.0,2700.0,0.0,2700.0,0
0,0,337,2,0,1,50.0,2700.0,0.0,2700.0,0
0,1,260,2,3,26,2180.0,2700.0,0.0,2660.0,1
0,1,257,2,3,6,480.0,2700.0,0.0,2660.0,1
0,2,219,2,3,24,2060.0,2740.0,0.0,2740.0,0
0,2,232,2,3,7,630.0,2740.0,0.0,2740.0,0
0,2,217,2,0,1,50.0,2740.0,0.0,2740.0,0
0,3,249,2,3,23,1970.0,2700.0,0.0,2690.0,1
0,3,234,2,3,8,720.0,2700.0,0.0,2690.0,1
0,4,285,2,3,24,1920.0,2710.0,0.0,2690.0,0
0,4,231,2,3,8,720.0,2710.0,0.0,2690.0,0
0,4,299,2,0,1,50.0,2710.0,0.0,2690.0,0
0,5,248,2,3,24,1920.0,2720.0,0.0,2720.0,1
0,5,278,2,3,10,800.0,2720.0,0.0,2720.0,1
0,6,335,2,3,22,1980.0,2700.0,0.0,2670.0,1
0,6,252,2,3,8,690.0,2700.0,0.0,2670.0,1
0,7,238,2,3,22,1800.0,2730.0,0.0,2720.0,1
0,7,236,2,3,11,920.0,2730.0,0.0,2720.0,1
0,8,247,2,3,22,1790.0,2710.0,0.0,2690.0,1
0,8,283,2,3,11,900.0,2710.0,0.0,2690.0,1
0,9,312,2,3,23,1840.0,2720.0,0.0,2700.0,0
0,9,300,2,3,9,810.0,2720.0,0.0,2700.0,0
0,9,355,3,3,1,50.0,2720.0,0.0,2700.0,0
0,10,235,2,3,21,1850.0,2720.0,0.0,2720.0,0
0,10,221,2,3,10,820.0,2720.0,0.0,2720.0,0
0,10,343,3,3,1,50.0,2720.0,0.0,2720.0,0
0,11,275,2,3,21,1680.0,2700.0,0.0,2690.0,0
0,11,227,2,3,12,960.0,2700.0,0.0,2690.0,0
0,11,403,3,3,1,50.0,2700.0,0.0,2690.0,0
0,12,321,2,3,18,1620.0,2710.0,0.0,2690.0,1
0,12,303,2,3,12,1070.0,2710.0,0.0,2690.0,1
0,13,323,2,3,17,1530.0,2720.0,0.0,2700.0,1
0,13,250,2,3,14,1170.0,2720.0,0.0,2700.0,1
0,14,302,2,3,17,1510.0,2720.0,0.0,2700.0,0
0,14,226,2,3,13,1100.0,2720.0,0.0,2700.0,0
0,14,265,2,3,1,90.0,2720.0,0.0,2700.0,0
1,0,245,2,3,24,2090.0,2700.0,0.0,2700.0,0
