policy,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_init,n_done_T,n_done_all,n_expire,spend,crh_T,crh_all
myopic,0,11079.110045547153,437.4939002382396,-10286.603928124861,5467.548293019887,573.8899142128685,3077.4914040735052,153.7413969082437,8718577.557328701,-9579.992817335087,-53667.936606412906,-8.656196770350611,45,14,29,16,36390.0,0.3111111111111111,0.6444444444444445
myopic,1,11954.342271208803,723.4404641613862,-10797.486568475979,5858.356191189701,988.4062525810625,3731.446914473608,80.12459908438045,9391910.064306661,-10401.658632132301,-57475.9636433819,-9.443134645975885,45,12,28,17,36390.0,0.26666666666666666,0.6222222222222222
myopic,2,14575.566379910955,686.3985092700839,-13465.483555485718,7209.768077252701,1052.9135239287064,4995.262958735534,-95.16734921646551,11367375.712897452,-12505.000760770341,-71688.90183116554,-7.638426016162847,45,15,32,13,36390.0,0.3333333333333333,0.7111111111111111
myopic,3,9585.901134739897,771.9125742927572,-8883.961418454075,4686.727492621346,986.6265723915822,2704.1637643463564,36.99472019416789,7713583.634676831,-8515.3358019265,-51793.344453174934,-9.784747814138019,45,12,27,18,36390.0,0.26666666666666666,0.6
myopic,4,8009.002652950343,348.33412138121196,-7011.572809759239,3948.6184335049325,495.9589284477709,3041.593386858961,248.12415343544714,6340630.069848231,-7042.940368415032,-52758.21440320298,-12.802093658876375,45,9,22,23,36390.0,0.2,0.4888888888888889
greedy_crh,0,2157.6125910450637,312.29523354120084,-1869.1695923213235,1020.9444269171295,211.16568990885287,680.4884730547814,452.9044879660643,1916176.068758085,-2151.510137721116,-25423.416497692342,-3.987597847181639,15,9,9,6,8360.0,0.6,0.6
greedy_crh,1,4480.804182620343,318.08175780221137,-4154.700023017135,2185.884250526514,286.0905470021025,1015.942068495164,450.9460798817834,3662215.9215990533,-4038.0275691360916,-29547.366100745166,-2.9036129679687495,15,10,11,4,8360.0,0.6666666666666666,0.7333333333333333
greedy_crh,2,3559.3441059543056,268.8698494682194,-3327.7056491502076,1745.0001165030085,224.21515049957966,1439.5932040446496,401.0980937034667,2930897.942673338,-3223.293466512917,-27269.590204354103,-4.160528214451171,15,9,9,6,8360.0,0.6,0.6
greedy_crh,3,2665.575908200654,342.20394635188916,-2610.608529624963,1289.635234439216,267.26378207050925,118.67292624626543,399.6044395531815,2343384.827158803,-2569.9910876939066,-19296.268443087152,-4.017185295779296,15,9,9,6,8360.0,0.6,0.6
greedy_crh,4,4064.5828934271735,170.0934819711919,-3822.950325460528,2007.9199079289115,203.60663265475557,861.8957843897824,355.0970167014882,3210265.0108375666,-3517.2647582018485,-21923.545649057145,-5.6326464480449205,15,7,7,8,8360.0,0.4666666666666667,0.4666666666666667
frontload,0,2157.6125910450637,312.29523354120084,-1869.1695923213235,1020.9444269171295,211.16568990885287,680.4884730547814,452.9044879660643,1916176.068758085,-2151.510137721116,-25423.416497692342,-3.987597847181639,15,9,9,6,8360.0,0.6,0.6
frontload,1,4480.804182620343,318.08175780221137,-4154.700023017135,2185.884250526514,286.0905470021025,1015.942068495164,450.9460798817834,3662215.9215990533,-4038.0275691360916,-29547.366100745166,-2.9036129679687495,15,10,11,4,8360.0,0.6666666666666666,0.7333333333333333
frontload,2,3559.3441059543056,268.8698494682194,-3327.7056491502076,1745.0001165030085,224.21515049957966,1439.5932040446496,401.0980937034667,2930897.942673338,-3223.293466512917,-27269.590204354103,-4.160528214451171,15,9,9,6,8360.0,0.6,0.6
frontload,3,2665.575908200654,342.20394635188916,-2610.608529624963,1289.635234439216,267.26378207050925,118.67292624626543,399.6044395531815,2343384.827158803,-2569.9910876939066,-19296.268443087152,-4.017185295779296,15,9,9,6,8360.0,0.6,0.6
frontload,4,4064.5828934271735,170.0934819711919,-3822.950325460528,2007.9199079289115,203.60663265475557,861.8957843897824,355.0970167014882,3210265.0108375666,-3517.2647582018485,-21923.545649057145,-5.6326464480449205,15,7,7,8,8360.0,0.4666666666666667,0.4666666666666667
evenspread,0,1314.4710705820976,273.75715564890106,-1088.945165970737,604.7100286514042,190.37308411341928,404.6827916791273,409.5284515863116,1252632.7460942534,-1422.5837015270627,-18858.198333820346,-3.0147348368571825,15,5,9,6,8360.0,0.3333333333333333,0.6
evenspread,1,2871.5382044294806,233.24486227861385,-2795.244301980628,1403.2199941744684,219.32093964791147,604.9046129916992,328.68141095415905,2384917.6690596025,-2607.756321974668,-16712.97271731328,-2.8831156784542404,15,3,10,5,8360.0,0.2,0.6666666666666666
evenspread,2,1473.7284368405844,188.42910768593165,-1336.1319311067375,692.6490017787152,105.2985325216948,361.09131551924315,249.1405407940125,1276592.977119878,-1425.1343187201296,-21099.870885694287,-3.2132435603708336,15,4,9,6,8360.0,0.26666666666666666,0.6
evenspread,3,2277.7043438883807,247.4062660707777,-2104.88413779826,1104.64357707761,212.15615724381306,411.06094561729833,385.4913931356505,1956310.0400197692,-2163.5004183250876,-16056.319770791437,-3.6497739009145755,15,4,8,7,8360.0,0.26666666666666666,0.5333333333333333
evenspread,4,1501.367197550741,264.9653252817954,-1259.5997215748112,699.2104819424737,150.23019178837043,693.8738790318915,323.4295463567056,1380373.53025881,-1561.8980460240628,-18020.313605513882,-4.40122940045342,15,3,7,8,8360.0,0.2,0.4666666666666667
backload,0,1291.8423588245091,186.98269226919322,-1119.1408806239172,611.2771413048426,126.43269884818713,407.4335855438177,271.17064689212646,1147285.3944500447,-1288.1885945994832,-15221.93857881081,-2.3875221299350824,15,0,9,6,8360.0,0.0,0.6
backload,1,2682.82298162863,190.44729809405928,-2487.5723752349013,1308.7696456896224,171.29297845707234,608.2820445343017,269.9980756299645,2192703.951728275,-2417.7162673047337,-17691.099541715987,-1.7385003411744733,15,0,11,4,8360.0,0.0,0.7333333333333333
backload,2,2131.110795695244,160.9823107240853,-1992.420295058457,1044.7960287256253,134.24589294099079,861.9376287380642,240.152244958362,1754836.863416295,-1929.9048644070072,-16327.310973239846,-2.4910619287354105,15,0,9,6,8360.0,0.0,0.6
backload,3,1595.978760583621,204.89014343402442,-1563.0677605772544,772.152253002105,160.02069884616975,71.05386463115084,239.25793904413956,1403071.0588707186,-1538.7485977157612,-11553.388706336118,-2.405237228348316,15,0,9,6,8360.0,0.0,0.6
backload,4,2433.6159208912586,101.84125077982978,-2288.9415767266,1202.2158199091632,121.90681204434127,516.0488438879999,212.60970091252844,1922104.2467329446,-2105.9163358167907,-13126.43661916935,-3.372473494114341,15,0,7,8,8360.0,0.0,0.4666666666666667
oracle,0,10212.15223033093,566.1654372773493,-9597.136996497464,5011.666509404784,606.0989897846681,3254.029271063583,612.5364534115613,8199931.7516080085,-9007.51747431844,-55587.25368812902,0.0,24,24,24,0,16230.0,1.0,1.0
oracle,1,10212.15223033093,566.1654372773493,-9597.136996497464,5011.666509404784,606.0989897846681,3254.029271063583,612.5364534115613,8199931.7516080085,-9007.51747431844,-55587.25368812902,0.0,24,24,24,0,16230.0,1.0,1.0
oracle,2,10212.15223033093,566.1654372773493,-9597.136996497464,5011.666509404784,606.0989897846681,3254.029271063583,612.5364534115613,8199931.7516080085,-9007.51747431844,-55587.25368812902,0.0,24,24,24,0,16230.0,1.0,1.0
oracle,3,10212.15223033093,566.1654372773493,-9597.136996497464,5011.666509404784,606.0989897846681,3254.029271063583,612.5364534115613,8199931.7516080085,-9007.51747431844,-55587.25368812902,0.0,24,24,24,0,16230.0,1.0,1.0
oracle,4,10212.15223033093,566.1654372773493,-9597.136996497464,5011.666509404784,606.0989897846681,3254.029271063583,612.5364534115613,8199931.7516080085,-9007.51747431844,-55587.25368812902,0.0,24,24,24,0,16230.0,1.0,1.0
