alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio,far_growth_eff,budget_eff,carry_eff,t_dec_eff,t_eval_eff,obs_lifecycle_eff,budget_mode_eff,stage_init_eff,quota_eff,tau_valid_eff,tau_ext_eff,hazard_eff,build_years_eff,gamma_eff,inst_tag_eff
0.0,0,-1101.956431048982,10620.165878498621,0.0,-1481.616883550355,10515.480395005212,1442.6930075572548,-8180.213776781957,10528246.90234052,-11964.381337912422,-5175.793152822012,-7.519997293938173,39.0,509.0,0.4,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.2,0.2,0.2,0.2,0.2","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26A5
0.0,1,-1056.8586154520144,11353.42521328373,0.0,-1563.84744230301,11448.668984452039,1567.8833793892456,-8660.901637797995,11043909.280647295,-12656.738758348929,-487.08745092517967,-7.1405269873898805,39.0,506.0,0.4,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.2,0.2,0.2,0.2,0.2","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26A5
0.0,2,-1409.684371601814,10961.203089363535,0.0,-1552.9411492915033,9752.748707052806,1271.0959988324562,-5179.52353174523,10839529.222054694,-12423.529194332026,-12639.301633031693,-6.553811072470737,36.0,506.0,0.6,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.2,0.2,0.2,0.2,0.2","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26A5
0.0,3,-926.7615744485742,11594.9960469122,0.0,-1569.9131706939963,11674.63694894826,1569.9131706939963,-9862.010286521883,10957993.931444094,-12559.30536555197,0.0,-8.193619052520983,43.0,506.0,0.13333333333333333,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.2,0.2,0.2,0.2,0.2","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26A5
0.0,4,-1471.6135060706474,11520.495062923888,0.0,-1637.7628467339791,10530.57327081278,1372.0857138698661,-5501.150949218731,11457056.14266541,-13133.480674731109,-11540.689238940507,-6.186981696270927,34.0,506.0,0.7333333333333333,0.0,0.9997530864197531,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.2,0.2,0.2,0.2,0.2","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26A5
0.15,0,-881.6084173699888,11080.225817801456,0.0,-1501.157235034331,11143.80696504261,1501.157235034331,-9556.896664850092,10516712.07665789,-12032.337077477909,0.0,-8.511393103583188,45.0,503.0,0.0,0.0,0.9920987654320987,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.2,0.2,0.2,0.2,0.2","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26A5
0.15,1,-837.1508034563734,10973.625422669795,0.0,-1489.0026568100768,11048.918249355007,1489.0026568100764,-9664.642044538714,10393238.544534335,-11912.021254480613,0.0,-8.758172733185564,45.0,504.0,0.0,0.0,0.9955555555555555,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.2,0.2,0.2,0.2,0.2","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26A5
0.15,2,-836.8172015543303,11086.403178249197,0.0,-1502.667490508579,11162.449568419228,1502.667490508579,-9374.19354104921,10488619.083749881,-12021.339924068632,0.0,-8.405259555047817,45.0,495.0,0.0,0.0,0.9777777777777777,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.2,0.2,0.2,0.2,0.2","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26A5
0.15,3,-1137.5963940175259,11110.241077189634,0.0,-1546.7654692136011,11087.37318568221,1524.1103714663545,-8332.885974491985,10796422.975110937,-12374.12375370881,-1041.8738580260938,-6.227002114793121,31.0,506.0,0.9333333333333333,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.2,0.2,0.2,0.2,0.2","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26A5
0.15,4,-1007.6995452514459,10964.91721730521,0.0,-1506.7104980628772,11007.82758064661,1501.3684254119867,-8902.896837814047,10516839.276478881,-12053.683984503015,-557.7799903995057,-7.197410371228967,40.0,506.0,0.3333333333333333,0.0,0.9995061728395062,0.0,2700.0,3.0,15.0,26.0,True,upfront,0.2,3.0,3.0,2.0,"0.2,0.2,0.2,0.2,0.2","1:5,2:5,3:5,5:5",0.95,V3E2DAY1-52-53-55-5T15X26A5
