ep,year,unit,channel,target,n_cells,cost,budget_before,released,spent,stopped
0,0,-1,0,-1,0,0.0,2700.0,0.0,0.0,1
0,1,-1,0,-1,0,0.0,5400.0,0.0,0.0,1
0,2,-1,0,-1,0,0.0,8100.0,0.0,0.0,1
0,3,-1,0,-1,0,0.0,8100.0,0.0,0.0,1
0,4,-1,0,-1,0,0.0,8100.0,0.0,0.0,1
0,5,704,5,10,27,2160.0,8100.0,0.0,6480.0,0
0,5,609,5,10,29,2320.0,8100.0,0.0,6480.0,0
0,5,684,5,10,25,2000.0,8100.0,0.0,6480.0,0
0,6,663,5,10,24,1920.0,4320.0,0.0,4320.0,0
0,6,453,5,10,18,1440.0,4320.0,0.0,4320.0,0
0,6,465,5,10,12,960.0,4320.0,0.0,4320.0,0
0,7,545,5,10,22,1760.0,2700.0,0.0,2640.0,1
0,7,525,5,10,11,880.0,2700.0,0.0,2640.0,1
0,8,435,5,10,18,1440.0,2760.0,0.0,2720.0,1
0,8,451,5,10,16,1280.0,2760.0,0.0,2720.0,1
0,9,520,5,10,18,1440.0,2740.0,0.0,2720.0,0
0,9,495,5,10,15,1200.0,2740.0,0.0,2720.0,0
0,9,703,5,10,1,80.0,2740.0,0.0,2720.0,0
0,10,455,5,10,17,1360.0,2720.0,0.0,2720.0,1
0,10,468,5,10,17,1360.0,2720.0,0.0,2720.0,1
0,11,712,5,10,19,1520.0,2700.0,0.0,2640.0,1
0,11,439,5,10,14,1120.0,2700.0,0.0,2640.0,1
0,12,528,5,10,21,1680.0,2760.0,0.0,2720.0,1
0,12,489,5,10,13,1040.0,2760.0,0.0,2720.0,1
0,13,618,5,10,20,1600.0,2740.0,0.0,2720.0,1
0,13,564,5,10,14,1120.0,2740.0,0.0,2720.0,1
0,14,631,5,10,20,1600.0,2720.0,0.0,2640.0,1
0,14,429,5,10,13,1040.0,2720.0,0.0,2640.0,1
1,0,-1,0,-1,0,0.0,2700.0,0.0,0.0,1
1,1,-1,0,-1,0,0.0,5400.0,0.0,0.0,1
1,2,-1,0,-1,0,0.0,8100.0,0.0,0.0,1
1,3,-1,0,-1,0,0.0,8100.0,0.0,0.0,1
1,4,-1,0,-1,0,0.0,8100.0,0.0,0.0,1
1,5,704,5,10,27,2160.0,8100.0,0.0,6480.0,0
1,5,609,5,10,29,2320.0,8100.0,0.0,6480.0,0
1,5,684,5,10,25,2000.0,8100.0,0.0,6480.0,0
1,6,663,5,10,24,1920.0,4320.0,0.0,4320.0,0
1,6,453,5,10,18,1440.0,4320.0,0.0,4320.0,0
1,6,465,5,10,12,960.0,4320.0,0.0,4320.0,0
1,7,545,5,10,22,1760.0,2700.0,0.0,2640.0,1
1,7,525,5,10,11,880.0,2700.0,0.0,2640.0,1
1,8,435,5,10,18,1440.0,2760.0,0.0,2720.0,1
1,8,451,5,10,16,1280.0,2760.0,0.0,2720.0,1
1,9,520,5,10,18,1440.0,2740.0,0.0,2720.0,0
1,9,495,5,10,15,1200.0,2740.0,0.0,2720.0,0
1,9,703,5,10,1,80.0,2740.0,0.0,2720.0,0
1,10,455,5,10,17,1360.0,2720.0,0.0,2720.0,1
1,10,468,5,10,17,1360.0,2720.0,0.0,2720.0,1
1,11,712,5,10,19,1520.0,2700.0,0.0,2640.0,1
1,11,439,5,10,14,1120.0,2700.0,0.0,2640.0,1
1,12,528,5,10,21,1680.0,2760.0,0.0,2720.0,1
1,12,489,5,10,13,1040.0,2760.0,0.0,2720.0,1
1,13,618,5,10,20,1600.0,2740.0,0.0,2720.0,1
1,13,564,5,10,14,1120.0,2740.0,0.0,2720.0,1
1,14,631,5,10,20,1600.0,2720.0,0.0,2640.0,1
1,14,429,5,10,13,1040.0,2720.0,0.0,2640.0,1
2,0,-1,0,-1,0,0.0,2700.0,0.0,0.0,1
2,1,-1,0,-1,0,0.0,5400.0,0.0,0.0,1
2,2,-1,0,-1,0,0.0,8100.0,0.0,0.0,1
2,3,-1,0,-1,0,0.0,8100.0,0.0,0.0,1
2,4,-1,0,-1,0,0.0,8100.0,0.0,0.0,1
2,5,704,5,10,27,2160.0,8100.0,0.0,6480.0,0
2,5,609,5,10,29,2320.0,8100.0,0.0,6480.0,0
2,5,684,5,10,25,2000.0,8100.0,0.0,6480.0,0
2,6,663,5,10,24,1920.0,4320.0,0.0,4320.0,0
2,6,453,5,10,18,1440.0,4320.0,0.0,4320.0,0
2,6,465,5,10,12,960.0,4320.0,0.0,4320.0,0
2,7,545,5,10,22,1760.0,2700.0,0.0,2640.0,1
2,7,525,5,10,11,880.0,2700.0,0.0,2640.0,1
2,8,435,5,10,18,1440.0,2760.0,0.0,2720.0,1
2,8,451,5,10,16,1280.0,2760.0,0.0,2720.0,1
2,9,520,5,10,18,1440.0,2740.0,0.0,2720.0,0
2,9,495,5,10,15,1200.0,2740.0,0.0,2720.0,0
2,9,703,5,10,1,80.0,2740.0,0.0,2720.0,0
2,10,455,5,10,17,1360.0,2720.0,0.0,2720.0,1
2,10,468,5,10,17,1360.0,2720.0,0.0,2720.0,1
2,11,712,5,10,19,1520.0,2700.0,0.0,2640.0,1
2,11,439,5,10,14,1120.0,2700.0,0.0,2640.0,1
2,12,528,5,10,21,1680.0,2760.0,0.0,2720.0,1
2,12,489,5,10,13,1040.0,2760.0,0.0,2720.0,1
2,13,618,5,10,20,1600.0,2740.0,0.0,2720.0,1
2,13,564,5,10,14,1120.0,2740.0,0.0,2720.0,1
2,14,631,5,10,20,1600.0,2720.0,0.0,2640.0,1
2,14,429,5,10,13,1040.0,2720.0,0.0,2640.0,1
3,0,-1,0,-1,0,0.0,2700.0,0.0,0.0,1
3,1,-1,0,-1,0,0.0,5400.0,0.0,0.0,1
3,2,-1,0,-1,0,0.0,8100.0,0.0,0.0,1
3,3,-1,0,-1,0,0.0,8100.0,0.0,0.0,1
3,4,-1,0,-1,0,0.0,8100.0,0.0,0.0,1
3,5,704,5,10,27,2160.0,8100.0,0.0,6480.0,0
3,5,609,5,10,29,2320.0,8100.0,0.0,6480.0,0
3,5,684,5,10,25,2000.0,8100.0,0.0,6480.0,0
3,6,663,5,10,24,1920.0,4320.0,0.0,4320.0,0
3,6,453,5,10,18,1440.0,4320.0,0.0,4320.0,0
