alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio
0.85,4,1852.0223525294737,0.0,-1092.2022974883537,935.468606932414,842.1887547368802,551.7905357263694,-419.87199251978166,1393848.224329297,-1626.5389238212747,-17855.70615791686,-4.465633040610167,19.2,156.4,1.0,0.0,0.9985185185185185
0.3,3,919.5032970144102,638.3595436060237,-10.34935872810937,189.2204443240073,2131.9326477692484,-174.4694237183801,-823.8971365822487,1221530.8277637013,-1609.8397703630817,-1534.1360267877321,-5.016840258795654,17.6,150.0,1.0,0.0,1.0
1.0,0,1122.544517065056,0.0,-768.6266897500491,568.770347930538,1407.5505830168347,-78.5487729849402,-280.77592932320147,847467.8184165016,-971.5182243740321,-14555.729120307113,-12.055533643989653,45.0,99.6,0.0,0.0,0.6266666666666667
0.15,1,893.81940883972,648.4720704415581,0.0,176.225467746084,2025.8075581783182,-163.55263124554264,-638.6149905502551,1201857.690028293,-1586.0292097147562,-2966.797846402557,-5.363886293020266,22.2,150.0,0.96,0.0,0.9995555555555555
0.3,1,-90.08356128449256,1568.5197025784878,0.0,-207.72870252843967,1589.7723628390318,208.19687050839235,-1758.7504267920813,1490325.8319192752,-1711.5724680973017,-412.8364887960853,-5.241306446133955,21.2,168.0,1.0,0.0,0.9988148148148148
0.3,4,-129.79084372645212,1649.3148590628844,0.0,-225.33929539981128,1659.948281513245,225.33929539981122,-2076.1094714113515,1599231.5437964047,-1820.4078275647466,-449.08702933091627,-5.158774972471892,22.2,170.4,1.0,0.0,0.9982222222222222
0.0,3,-38.63743325560783,1737.3175756511246,-31.649234608140695,-194.80346375258665,1847.9328914969115,229.65809643863395,-1883.0247904275875,1739637.9149184574,-1972.9070983143313,-1689.7131630769022,-7.365452696911726,31.6,169.4,0.7466666666666667,0.0,0.9980740740740741
0.7,1,2063.183683549042,0.0,-1782.1780394998218,1047.9819245784295,3931.4238301602722,449.3993426421278,-331.8606586038346,1561493.0676218595,-1729.0687142683262,-13600.7566628336,-7.533855844303605,25.4,101.2,0.6933333333333334,2.8,0.6222222222222222
0.85,3,1938.355982951853,0.0,-936.7526450697511,979.2313750320494,1277.704213404218,-86.69868324850172,-439.49036756405866,1459054.7487977536,-1737.0552175503374,-12012.870451787476,-3.927981889427597,15.8,151.6,1.0,0.0,0.9992592592592593
0.5,1,980.4108966253119,690.9156078008497,0.0,193.1251251026745,2402.3905318795682,-187.12249704036805,-1036.25806143218,1317113.3532002403,-1738.1261259240705,-1181.7121565264565,-3.95652531908773,15.0,150.0,1.0,0.0,1.0
0.7,2,1848.5616477328724,14.474337566474642,-1735.710657351087,930.5666016070902,3301.4209070627876,892.2750430233375,-284.0192230349346,1439084.407800563,-1557.162433886713,-18783.431319636984,-9.321483156065614,35.0,162.4,0.52,0.0,0.9980740740740741
0.5,4,1907.521826310684,0.0,-1122.7875437990842,969.7994314973851,2180.962755554557,851.3563427879977,-318.9615456768453,1445001.152931104,-1687.8143102617644,-19077.57992625396,-5.1571147195410845,19.6,156.0,0.9733333333333334,0.0,0.9988148148148148
0.0,2,-115.14770965370386,1573.46428165724,0.0,-213.55790807411194,1583.524056338647,213.55790807411194,-1990.0685380410202,1490634.1983573015,-1708.4632645928955,0.0,-3.983624003650566,16.6,169.0,0.9733333333333334,0.0,0.9995555555555555
0.3,0,-103.36393831661503,1392.0526082131448,0.0,-189.99550645158268,1400.9925575579855,189.99550645158268,-1748.4761192839874,1356381.3833434624,-1540.241063902202,-2278.935484639386,-4.723924835129805,21.0,195.0,0.8666666666666667,0.0,1.0
0.85,2,2001.1999466761692,0.0,-1009.725937802802,1011.7005216218702,1817.163841342206,41.06671833888502,-364.2249384642333,1507433.7772165868,-1787.6666855018161,-13930.25488768795,-4.804852416712276,19.6,154.6,1.0,0.0,0.9994074074074074
0.5,0,219.91081221699469,1166.101373006685,0.0,-72.40539926698953,1730.9471315144287,72.40539926698955,-1301.3702740918418,1286704.8638314488,-1541.7329048687893,-117.14466340438298,-4.151716425194409,15.0,162.8,1.0,0.0,0.9946666666666667
1.0,1,1302.3445838663274,20.896268110391524,-626.2931695685731,642.1888323385795,1084.8162195743603,141.2757900863306,-312.5823373971323,1029368.4437913105,-1230.014762666611,-17746.245052442846,-6.402620394755935,29.0,153.0,0.6,0.0,1.0
0.7,3,1582.9033114724527,0.0,-763.7823902734544,801.151962927174,1330.552585725421,375.59991608474957,-304.7129480769398,1193716.4247614893,-1421.5967299469607,-13525.543298473047,-4.816237556510805,18.8,155.2,1.0,0.0,0.9989629629629629
0.3,2,-102.44510528873457,1382.9099831865067,0.0,-188.76153837494172,1391.8019503122664,188.76153837494167,-1732.8006778221359,1353828.9316857713,-1532.919192198585,-1520.9001886615065,-5.346489226536867,21.4,170.6,0.9866666666666667,0.0,0.9991111111111111
0.15,3,-75.11175089624595,1798.371501902327,-69.86855933477891,-202.64962543437852,2112.940871402044,214.2540561994966,-1826.1122782274397,1762563.8236592796,-2017.7564646088842,-3494.3018472715935,-10.741956120655338,42.0,147.2,0.2,0.0,0.8826666666666667
0.0,4,-129.79084372645212,1649.3148590628844,0.0,-225.33929539981128,1659.948281513245,225.33929539981122,-2076.1094714113515,1602487.1412397956,-1820.4078275647466,-447.855816636231,-4.963960940867205,21.0,171.0,1.0,0.0,1.0
0.0,1,-129.79084372645212,1649.3148590628844,0.0,-225.33929539981128,1659.948281513245,225.33929539981122,-2076.1094714113515,1602487.1412397956,-1820.4078275647466,-447.855816636231,-4.8664259450440985,21.6,171.6,1.0,0.0,0.9986666666666667
1.0,3,1616.0006095621823,0.0,-912.0135027633318,814.4286139298572,1670.6789637226843,-157.95143139205666,-243.71697453760967,1213498.6347554876,-1422.5597364705022,-13856.379524516273,-4.680351529352803,18.4,155.8,1.0,0.0,0.9982222222222222
0.5,3,2271.3606113774963,0.0,-2119.278908915161,1154.5610723036712,4206.330896426962,379.4550076479322,-349.81637190124076,1756473.7319118348,-1903.2186134775452,-17229.748786803368,-9.088219501910412,34.0,160.8,0.5733333333333334,0.0,0.9982222222222222
0.7,0,2158.7674769473933,0.0,-1546.261201703967,1098.797787912888,3941.1135996431462,358.41092602153003,-308.6454188995185,1637208.7039902033,-1866.6321896809227,-17747.84810580379,-6.818296723393354,27.6,161.2,0.8933333333333333,0.0,0.9980740740740741
0.85,0,1972.23252031238,0.0,-1652.5915689268654,999.3291478156814,3714.951284324543,187.31485490518097,-322.2192164256493,1489000.4302453652,-1656.6044242891735,-16441.250876273814,-11.77274671759755,43.2,163.0,0.12,0.0,0.9983703703703704
0.15,2,-103.36393831661503,1392.0526082131448,0.0,-189.99550645158268,1400.9925575579855,189.99550645158268,-1748.4761192839874,1356381.3833434624,-1540.241063902202,-331.9733057971408,-4.420512645907233,17.0,169.0,1.0,0.0,0.997037037037037
1.0,4,2487.6699171872892,0.0,-2153.879973190339,1263.1283322552208,4767.136981174168,304.3321854280642,-364.365087433304,1939769.129366281,-2117.541180583449,-14856.61663222665,-10.579168706031728,39.6,161.0,0.30666666666666664,0.0,0.9989629629629629
0.0,0,-111.20250040383473,1458.1174594885692,0.0,-194.641377065948,1431.5529606863001,185.55854967244687,-1213.784581190128,1443324.6795769688,-1624.825895280364,-2053.6453569449313,-9.477329262909095,35.2,169.4,0.5466666666666666,0.0,0.9982222222222222
0.5,2,2021.2322477759112,0.0,-1241.872129855023,1022.0987289292705,2500.3225889524015,743.8825562619911,-241.12247081984916,1522927.1061046133,-1769.0788542874193,-18234.2260429621,-5.600955436563846,22.8,158.2,0.9466666666666667,0.0,0.9986666666666667
0.15,0,-107.39683544674035,1566.6315440786266,0.0,-211.69227685953916,1576.6219699123244,211.69227685953916,-1719.1237629334487,1627245.0097745815,-1782.9246648733254,-1627.6366187038818,-6.449883830080736,25.4,173.4,0.9866666666666667,0.0,0.9986666666666667
0.85,1,1845.2777276473862,0.0,-1002.971783012484,932.3615364283538,969.4777201198089,330.32082539733057,-430.5462295157057,1389218.6892782473,-1635.4036732594036,-16900.259028594584,-5.067546683692146,20.2,157.6,0.9066666666666666,0.0,0.9980740740740741
1.0,2,2335.5059382149648,0.0,-1682.7071663098027,1175.3296599503442,426.75834263985996,1310.1953393658357,-387.88731206081536,1751241.1933260132,-1991.8528148523656,-28425.322648669768,-5.086279390702356,23.8,155.4,0.8666666666666667,0.0,0.9982222222222222
0.15,4,969.4089346245286,743.0008294150261,0.0,195.00511379270668,2219.0351220542534,-185.83269581203822,-619.7740856438547,1363709.2756494817,-1743.5810050743899,-1880.7681263204636,-6.324247647143377,24.2,152.4,0.88,0.0,0.9997037037037036
0.7,4,1724.3024281306875,0.0,-1110.6757458994566,876.8717455609334,2818.2295640053794,457.9776698457523,-221.32483863373628,1321836.4949675202,-1528.653065432624,-16602.29809792296,-5.9200333209952305,26.0,160.8,0.8666666666666667,0.0,0.9982222222222222
-1.0,0,298.67600011504163,194.1688546399037,-16.746324765510302,80.32598296938309,-38.029064066916725,37.39595804442428,-905.1252077782159,2212527.878443007,-2182.4871073960994,-14796.633599082741,-10.350675903257372,,,,,
-1.0,1,206.0083606029876,-270.89466091478374,18.72958092011595,124.75389743002336,-761.2944046191546,-46.64964581408339,-918.3290757592255,1705532.9709530934,-1716.9028612625893,-11392.899125809896,-10.373431781129941,,,,,
-1.0,2,359.5169504095803,-52.86308651096531,-111.46375730702948,142.13973274716022,-548.3989457612536,102.56280194847022,-670.1181001847807,2056337.0482284774,-1968.744982971306,-15885.338914835398,-10.308251276149141,,,,,
-1.0,3,297.87396489872924,-92.36730118551151,10.456863479709364,142.29562162155347,-146.4233964284801,-116.53745379842562,-739.4869668537476,2406589.020830106,-2171.973685263436,-16572.854703356403,-10.136827887316738,,,,,
-1.0,4,361.37498667741056,-236.93339895914337,60.527910142990756,126.2336110711271,-760.8706651578761,-0.5081998625887095,-1015.0725575302506,1906739.9088512692,-1934.8967708328685,-11930.23246484382,-9.864644526713867,,,,,
