iter,a0.0_s0,a0.15_s3,a0.0_s1,a0.15_s1,a0.15_s0,a0.0_s2,a0.0_s3,a0.15_s2,a0.0_s4,a0.15_s4,a0.3_s0,a0.3_s4,a0.3_s1,a0.3_s2,a0.5_s0,a0.3_s3,a0.5_s1,a0.5_s2,a0.5_s4,a0.5_s3,a0.7_s0,a0.7_s2,a0.7_s1,a0.7_s4,a0.7_s3,a0.85_s1,a0.85_s0,a0.85_s3,a0.85_s2,a0.85_s4,a1.0_s1,a1.0_s0,a1.0_s4,a1.0_s3,a1.0_s2
0,-0.31880193080445773,-0.22784145192313376,-0.6529591576039291,-0.4542234342925856,-0.19510963431118544,-0.2815966299354374,-0.3821726312611955,-0.17624484049418704,-0.5785778121757132,-0.3658324426979945,-0.08301349061415735,-0.17303195160881174,-0.2741191850416804,-0.08076978131305396,0.05106228910189589,-0.08797882064801522,-0.05870037711412729,0.033425877707517024,0.05757255734099506,0.07930785597516574,0.17024075996060986,0.1349331301702468,0.13278300771036444,0.2625543430741566,0.2280071240846599,0.26299170939101885,0.2512821201445354,0.32912262639911605,0.20395806184490306,0.40194195737270655,0.38318435709623827,0.32608952954508197,0.5306074474944449,0.4224600131509215,0.2676733833907396
1,-0.3098175217809147,-0.1988257050660875,-0.4434706573182698,-0.09533810309424734,-0.3411961043652475,-0.395150537076441,-0.3420519488629531,-0.2556339847717161,-0.3710511776856456,-0.3634954408649276,-0.07417177625105639,-0.12401263104622812,-0.042431725003145335,-0.046953170123364606,0.08936351466440129,-0.010514104296495894,0.02236644084156418,0.024850762671631235,0.005568047208199874,0.05462748844354063,0.2569054051041758,0.21929933091944048,0.13988322185078944,0.1498451538816417,0.22468005211761705,0.22755336177823915,0.30839157164268893,0.38824126631215394,0.27236081437674353,0.32968963990865385,0.38580274937974224,0.4774440465199248,0.3774265915641647,0.36691983384622084,0.3870287567537127
2,-0.704913586912845,-0.3595337109381458,-0.14916817304308636,-0.3780471404444076,-0.5284399559867073,-0.1407572098138587,-0.28050734762441937,-0.11192289097857781,-0.6849497549722938,-0.2807650898455099,-0.19761007048933293,-0.14292430632447584,0.04345259011190922,-0.007895456898330135,0.010032830411847556,-0.08045920262428757,0.07333013115427546,0.11893796843308597,0.08915718614726925,0.17688260851841545,0.17073043637170277,0.15461939122168217,0.2211887369738514,0.17436628804228382,0.18229227056572683,0.34284725260038484,0.25244755026958965,0.40803072142837,0.22390884714712184,0.22163104797655808,0.4267599994230601,0.46532348350568553,0.31547035761008857,0.4297592469622727,0.30497302046324776
3,-0.4154808260363503,0.0003531194860390205,-0.4157903162869888,-0.13291003049054714,-0.2911035018576241,-0.3116623862617774,-0.360697929735388,-0.07316329123542614,-0.22019752349451982,-0.2213406728024414,0.03636564559274047,-0.07353339262076025,0.04751748822022575,0.014665909310609855,0.059879908810763376,-0.07733084637104387,0.057980968774682326,0.13028818144008414,-0.08867948184654918,0.23128875006174782,0.196242038004831,0.14411394298056662,0.13323684344028508,0.23068476400169344,0.23431057344167186,0.24043125222187978,0.3400211620303831,0.475099281690771,0.18176083821630273,0.2144673982645099,0.3179826979972483,0.3763090924279648,0.4226735322558255,0.548573901817899,0.37328321880429904
4,-0.524333587966323,-0.13902286392138316,0.0042155835259760945,-0.0584640422690191,-0.11834046278408368,-0.07686207005508114,-0.3636544987158435,0.07777907636873954,-0.2655149226514124,-0.14635599996305645,-0.10826343124617228,-0.24671387084588822,0.04911065032721276,0.004266172285438959,-0.014840378372773279,0.1890685940433837,-0.04192087375894056,0.2103180305410654,-0.0873715879902873,-0.028166514648762915,0.1132204455926984,0.26305663218280684,0.1264486739568854,0.290851066443406,0.18650056715178742,0.28166164834298907,0.3393921981977317,0.33997316201466987,0.24300509544159637,0.2223972659287478,0.4193026462477482,0.35652494154503966,0.5103090095669529,0.4830819968736907,0.4989093443966591
5,-0.5580512902673692,-0.27806018135863103,-0.06616985218981897,-0.18706847274826072,-0.2378521746644781,-0.14509791031859617,-0.3583186163259098,-0.08276073806690308,-0.20279981722563242,-0.3042608613405675,-0.021914844680693824,-0.020335198516797368,0.09929931026618412,0.0016757158836277347,-0.04430617519566238,-0.12659989260488608,0.29186086136497347,0.14431038591951875,-0.05725360865659424,0.06905690922056228,0.11676411576934051,0.11713221475358007,0.297618478767157,0.12490265599317882,0.21783352301846748,0.4199083987006523,0.2399657905147004,0.2996110888672415,0.24143097846266823,0.20628253872124822,0.3840585998226033,0.29773783122390396,0.261498625500055,0.49835397847122365,0.40639235296977433
6,-0.275380610170005,0.07664061911114235,-0.44101799470865355,-0.04474064289801992,-0.117608408458296,-0.17503867050376903,-0.32882757068404034,-0.1257675889042439,-0.24513270526954103,-0.11900066843134666,-0.12784678030408508,0.13985848054308747,0.0574697403281175,-0.21142013394789044,-0.06865675528587886,0.04836185674892637,0.230973126591765,0.30106564096316146,0.0656027040911534,0.08529350786897744,0.280174522496748,0.26733672495625305,0.2001116665861821,0.3197122142055505,0.35419432553861824,0.31580182375179155,0.4355705290081555,0.3564903277259871,0.31090838869769016,0.3432816854022349,0.3510725633657633,0.40475454285612866,0.4813454834768414,0.5396093299205463,0.4063114167994273
7,-0.4816453685316089,-0.04698297234608727,-0.09536187022207485,-0.04697167359729831,-0.46815158779318466,-0.28240011316265884,-0.33102254355424654,-0.07054622288240564,-0.19835133108748676,-0.3097193283724481,-0.049633868467653296,0.03508252662439057,0.10030736480190866,-0.0806633755784062,0.014217694352380461,0.07056921904818561,0.09170613673636953,0.15526753099586413,0.13318833333939442,0.20050521053941428,0.20763726300215463,0.3493548534746539,0.1855031788426004,0.1476505400839036,0.2661389622441377,0.24912367732375554,0.3681532322026442,0.34858133748390535,0.3304212340210555,0.2234643784482246,0.2599048365107413,0.37766708391538084,0.31931356875424177,0.6393296727726816,0.4499817340412976
8,-0.5950916831163874,0.01872361550946241,-0.053844921890352754,-0.07427826326985901,-0.08404196028908965,-0.4509815105049748,-0.15476956347983548,-0.07128709262678286,-0.4907925678049069,-0.17584561795039266,0.04926805079855698,-0.09215928702903782,0.1921610803649473,-0.11124373528171008,0.12126181332658692,-0.044876481973966605,0.1691347307829541,0.21142152146569532,0.10953601932660305,0.08418662055754704,0.20270532301483277,0.17468068272871992,0.35647129559990526,0.3172547720262107,0.21251615452859232,0.36978083579767673,0.34504144647594703,0.25680615916541777,0.2925853694042189,0.36451080355867843,0.35725834939737666,0.4360743694002714,0.390397656505305,0.44219400474264337,0.3533945344125708
9,-0.15356767390323053,0.037757211705036695,-0.0758736712588713,-0.024165435735605645,-0.21646150069900236,-0.41665579644104034,-0.31215937105430536,0.030420280982202494,-0.1391864434021025,-0.06717927642530712,-0.01577371360323665,0.08719630992086569,0.31175667178547584,0.05082492317656991,0.13961766076136073,0.14966413383236432,0.18696737224045734,0.23419279870841359,0.11757065263659662,0.13414450605676337,0.22255429016955774,0.29059323591198444,0.3008590920535872,0.2785577688989958,0.148751921235031,0.3763856582223282,0.41933514700737207,0.3450847831593802,0.2543333444627287,0.5213220902812152,0.3733264266825785,0.3482899326746523,0.47147916241172405,0.5108885209082941,0.39678128160391213
