ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,313,2,3,2,160.0,900.0,160.0,1
0,1,317,2,3,12,960.0,1640.0,960.0,1
0,2,276,2,3,16,1280.0,1580.0,1280.0,1
0,3,272,2,3,9,720.0,1200.0,720.0,1
0,4,220,2,3,14,1230.0,1380.0,1230.0,1
0,5,279,2,3,12,960.0,1050.0,960.0,1
0,6,271,2,3,12,960.0,990.0,960.0,1
0,7,288,2,3,9,810.0,930.0,900.0,1
0,7,293,2,3,1,90.0,930.0,900.0,1
0,8,243,2,3,4,320.0,930.0,800.0,0
0,8,256,2,3,3,240.0,930.0,800.0,0
0,8,240,2,3,3,240.0,930.0,800.0,0
0,9,318,2,3,12,980.0,1030.0,980.0,1
0,10,281,2,3,9,720.0,950.0,880.0,1
0,10,291,2,3,2,160.0,950.0,880.0,1
0,11,255,2,3,10,900.0,970.0,900.0,1
0,12,282,2,3,10,800.0,970.0,890.0,1
0,12,224,2,3,1,90.0,970.0,890.0,1
0,13,331,2,3,12,980.0,980.0,980.0,1
0,14,311,2,3,10,900.0,900.0,900.0,1
1,0,313,2,3,2,160.0,900.0,160.0,1
1,1,317,2,3,12,960.0,1640.0,960.0,1
1,2,276,2,3,16,1280.0,1580.0,1280.0,1
1,3,272,2,3,9,720.0,1200.0,720.0,1
1,4,220,2,3,14,1230.0,1380.0,1230.0,1
1,5,279,2,3,12,960.0,1050.0,960.0,1
1,6,271,2,3,12,960.0,990.0,960.0,1
1,7,288,2,3,9,810.0,930.0,900.0,1
1,7,293,2,3,1,90.0,930.0,900.0,1
1,8,243,2,3,4,320.0,930.0,800.0,0
1,8,256,2,3,3,240.0,930.0,800.0,0
1,8,240,2,3,3,240.0,930.0,800.0,0
1,9,318,2,3,12,980.0,1030.0,980.0,1
1,10,281,2,3,9,720.0,950.0,880.0,1
1,10,291,2,3,2,160.0,950.0,880.0,1
1,11,255,2,3,10,900.0,970.0,900.0,1
1,12,282,2,3,10,800.0,970.0,890.0,1
1,12,224,2,3,1,90.0,970.0,890.0,1
1,13,331,2,3,12,980.0,980.0,980.0,1
1,14,311,2,3,10,900.0,900.0,900.0,1
2,0,313,2,3,2,160.0,900.0,160.0,1
2,1,317,2,3,12,960.0,1640.0,960.0,1
2,2,276,2,3,16,1280.0,1580.0,1280.0,1
2,3,272,2,3,9,720.0,1200.0,720.0,1
2,4,220,2,3,14,1230.0,1380.0,1230.0,1
2,5,279,2,3,12,960.0,1050.0,960.0,1
2,6,271,2,3,12,960.0,990.0,960.0,1
2,7,288,2,3,9,810.0,930.0,900.0,1
2,7,293,2,3,1,90.0,930.0,900.0,1
2,8,243,2,3,4,320.0,930.0,800.0,0
2,8,256,2,3,3,240.0,930.0,800.0,0
2,8,240,2,3,3,240.0,930.0,800.0,0
2,9,318,2,3,12,980.0,1030.0,980.0,1
2,10,281,2,3,9,720.0,950.0,880.0,1
2,10,291,2,3,2,160.0,950.0,880.0,1
2,11,255,2,3,10,900.0,970.0,900.0,1
2,12,282,2,3,10,800.0,970.0,890.0,1
2,12,224,2,3,1,90.0,970.0,890.0,1
2,13,331,2,3,12,980.0,980.0,980.0,1
2,14,311,2,3,10,900.0,900.0,900.0,1
3,0,313,2,3,2,160.0,900.0,160.0,1
3,1,317,2,3,12,960.0,1640.0,960.0,1
3,2,276,2,3,16,1280.0,1580.0,1280.0,1
3,3,272,2,3,9,720.0,1200.0,720.0,1
3,4,220,2,3,14,1230.0,1380.0,1230.0,1
3,5,279,2,3,12,960.0,1050.0,960.0,1
3,6,271,2,3,12,960.0,990.0,960.0,1
3,7,288,2,3,9,810.0,930.0,900.0,1
3,7,293,2,3,1,90.0,930.0,900.0,1
3,8,243,2,3,4,320.0,930.0,800.0,0
3,8,256,2,3,3,240.0,930.0,800.0,0
3,8,240,2,3,3,240.0,930.0,800.0,0
3,9,318,2,3,12,980.0,1030.0,980.0,1
3,10,281,2,3,9,720.0,950.0,880.0,1
3,10,291,2,3,2,160.0,950.0,880.0,1
3,11,255,2,3,10,900.0,970.0,900.0,1
3,12,282,2,3,10,800.0,970.0,890.0,1
3,12,224,2,3,1,90.0,970.0,890.0,1
3,13,331,2,3,12,980.0,980.0,980.0,1
3,14,311,2,3,10,900.0,900.0,900.0,1
4,0,313,2,3,2,160.0,900.0,160.0,1
4,1,317,2,3,12,960.0,1640.0,960.0,1
4,2,276,2,3,16,1280.0,1580.0,1280.0,1
4,3,272,2,3,9,720.0,1200.0,720.0,1
4,4,220,2,3,14,1230.0,1380.0,1230.0,1
4,5,279,2,3,12,960.0,1050.0,960.0,1
4,6,271,2,3,12,960.0,990.0,960.0,1
4,7,288,2,3,9,810.0,930.0,900.0,1
4,7,293,2,3,1,90.0,930.0,900.0,1
4,8,243,2,3,4,320.0,930.0,800.0,0
4,8,256,2,3,3,240.0,930.0,800.0,0
4,8,240,2,3,3,240.0,930.0,800.0,0
4,9,318,2,3,12,980.0,1030.0,980.0,1
4,10,281,2,3,9,720.0,950.0,880.0,1
4,10,291,2,3,2,160.0,950.0,880.0,1
4,11,255,2,3,10,900.0,970.0,900.0,1
4,12,282,2,3,10,800.0,970.0,890.0,1
4,12,224,2,3,1,90.0,970.0,890.0,1
4,13,331,2,3,12,980.0,980.0,980.0,1
4,14,311,2,3,10,900.0,900.0,900.0,1
