ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,509,5,10,6,480.0,900.0,800.0,0
0,0,459,5,10,3,240.0,900.0,800.0,0
0,0,703,5,10,1,80.0,900.0,800.0,0
0,1,603,5,10,6,480.0,1000.0,960.0,1
0,1,518,5,10,6,480.0,1000.0,960.0,1
0,2,430,5,10,9,720.0,940.0,930.0,0
0,2,616,5,10,2,160.0,940.0,930.0,0
0,2,385,3,3,1,50.0,940.0,930.0,0
0,3,515,5,10,9,720.0,910.0,880.0,1
0,3,701,5,10,2,160.0,910.0,880.0,1
0,4,567,5,10,9,720.0,930.0,930.0,0
0,4,615,5,10,2,160.0,930.0,930.0,0
0,4,340,3,3,1,50.0,930.0,930.0,0
0,5,586,5,10,9,720.0,900.0,880.0,1
0,5,610,5,10,2,160.0,900.0,880.0,1
0,6,551,5,10,7,560.0,920.0,890.0,0
0,6,665,5,10,3,240.0,920.0,890.0,0
0,6,100,1,3,1,90.0,920.0,890.0,0
0,7,542,5,10,9,720.0,930.0,930.0,0
0,7,679,5,10,2,160.0,930.0,930.0,0
0,7,396,3,3,1,50.0,930.0,930.0,0
0,8,601,5,10,7,560.0,900.0,880.0,1
0,8,448,5,10,4,320.0,900.0,880.0,1
0,9,553,5,10,8,640.0,920.0,880.0,1
0,9,608,5,10,3,240.0,920.0,880.0,1
0,10,575,5,10,7,560.0,940.0,920.0,0
0,10,197,1,3,2,180.0,940.0,920.0,0
0,10,101,1,3,2,180.0,940.0,920.0,0
0,11,516,5,10,8,640.0,920.0,640.0,1
0,12,539,5,10,9,720.0,1180.0,720.0,1
0,13,602,5,10,9,720.0,1360.0,1360.0,1
0,13,537,5,10,8,640.0,1360.0,1360.0,1
0,14,535,5,10,10,800.0,900.0,800.0,1
1,0,509,5,10,6,480.0,900.0,800.0,0
1,0,459,5,10,3,240.0,900.0,800.0,0
1,0,703,5,10,1,80.0,900.0,800.0,0
1,1,603,5,10,6,480.0,1000.0,960.0,1
1,1,518,5,10,6,480.0,1000.0,960.0,1
1,2,430,5,10,9,720.0,940.0,930.0,0
1,2,616,5,10,2,160.0,940.0,930.0,0
1,2,385,3,3,1,50.0,940.0,930.0,0
1,3,515,5,10,9,720.0,910.0,880.0,1
1,3,701,5,10,2,160.0,910.0,880.0,1
1,4,567,5,10,9,720.0,930.0,930.0,0
1,4,615,5,10,2,160.0,930.0,930.0,0
1,4,340,3,3,1,50.0,930.0,930.0,0
1,5,586,5,10,9,720.0,900.0,880.0,1
1,5,610,5,10,2,160.0,900.0,880.0,1
1,6,551,5,10,7,560.0,920.0,890.0,0
1,6,665,5,10,3,240.0,920.0,890.0,0
1,6,100,1,3,1,90.0,920.0,890.0,0
1,7,542,5,10,9,720.0,930.0,930.0,0
1,7,679,5,10,2,160.0,930.0,930.0,0
1,7,396,3,3,1,50.0,930.0,930.0,0
1,8,601,5,10,7,560.0,900.0,880.0,1
1,8,448,5,10,4,320.0,900.0,880.0,1
1,9,553,5,10,8,640.0,920.0,880.0,1
1,9,608,5,10,3,240.0,920.0,880.0,1
1,10,575,5,10,7,560.0,940.0,920.0,0
1,10,197,1,3,2,180.0,940.0,920.0,0
1,10,101,1,3,2,180.0,940.0,920.0,0
1,11,516,5,10,8,640.0,920.0,640.0,1
1,12,539,5,10,9,720.0,1180.0,720.0,1
1,13,602,5,10,9,720.0,1360.0,1360.0,1
1,13,537,5,10,8,640.0,1360.0,1360.0,1
1,14,535,5,10,10,800.0,900.0,800.0,1
2,0,509,5,10,6,480.0,900.0,800.0,0
2,0,459,5,10,3,240.0,900.0,800.0,0
2,0,703,5,10,1,80.0,900.0,800.0,0
2,1,603,5,10,6,480.0,1000.0,960.0,1
2,1,518,5,10,6,480.0,1000.0,960.0,1
2,2,430,5,10,9,720.0,940.0,930.0,0
2,2,616,5,10,2,160.0,940.0,930.0,0
2,2,385,3,3,1,50.0,940.0,930.0,0
2,3,515,5,10,9,720.0,910.0,880.0,1
2,3,701,5,10,2,160.0,910.0,880.0,1
2,4,567,5,10,9,720.0,930.0,930.0,0
