ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,509,5,10,6,480.0,900.0,800.0,0
0,0,703,5,10,1,80.0,900.0,800.0,0
0,0,459,5,10,3,240.0,900.0,800.0,0
0,1,603,5,10,6,480.0,1000.0,960.0,1
0,1,518,5,10,6,480.0,1000.0,960.0,1
0,2,430,5,10,9,720.0,940.0,880.0,1
0,2,616,5,10,2,160.0,940.0,880.0,1
0,3,535,5,10,10,800.0,960.0,960.0,1
0,3,701,5,10,2,160.0,960.0,960.0,1
0,4,525,5,10,11,880.0,900.0,880.0,1
0,5,555,5,10,10,800.0,920.0,800.0,1
0,6,465,5,10,12,960.0,1020.0,960.0,1
0,7,458,5,10,12,960.0,960.0,960.0,1
0,8,473,5,10,10,800.0,900.0,800.0,1
0,9,441,5,10,12,960.0,1000.0,960.0,1
0,10,531,5,10,11,880.0,940.0,880.0,1
0,11,511,5,10,12,960.0,960.0,960.0,1
0,12,543,5,10,10,800.0,900.0,800.0,1
0,13,557,5,10,12,960.0,1000.0,960.0,1
0,14,592,5,10,10,800.0,940.0,800.0,1
1,0,509,5,10,6,480.0,900.0,800.0,0
1,0,703,5,10,1,80.0,900.0,800.0,0
1,0,459,5,10,3,240.0,900.0,800.0,0
1,1,603,5,10,6,480.0,1000.0,960.0,1
1,1,518,5,10,6,480.0,1000.0,960.0,1
1,2,430,5,10,9,720.0,940.0,880.0,1
1,2,616,5,10,2,160.0,940.0,880.0,1
1,3,535,5,10,10,800.0,960.0,960.0,1
1,3,701,5,10,2,160.0,960.0,960.0,1
1,4,525,5,10,11,880.0,900.0,880.0,1
1,5,555,5,10,10,800.0,920.0,800.0,1
1,6,465,5,10,12,960.0,1020.0,960.0,1
1,7,458,5,10,12,960.0,960.0,960.0,1
1,8,473,5,10,10,800.0,900.0,800.0,1
1,9,441,5,10,12,960.0,1000.0,960.0,1
1,10,531,5,10,11,880.0,940.0,880.0,1
1,11,511,5,10,12,960.0,960.0,960.0,1
1,12,543,5,10,10,800.0,900.0,800.0,1
1,13,557,5,10,12,960.0,1000.0,960.0,1
1,14,592,5,10,10,800.0,940.0,800.0,1
2,0,509,5,10,6,480.0,900.0,800.0,0
2,0,703,5,10,1,80.0,900.0,800.0,0
2,0,459,5,10,3,240.0,900.0,800.0,0
2,1,603,5,10,6,480.0,1000.0,960.0,1
2,1,518,5,10,6,480.0,1000.0,960.0,1
2,2,430,5,10,9,720.0,940.0,880.0,1
2,2,616,5,10,2,160.0,940.0,880.0,1
2,3,535,5,10,10,800.0,960.0,960.0,1
2,3,701,5,10,2,160.0,960.0,960.0,1
2,4,525,5,10,11,880.0,900.0,880.0,1
2,5,555,5,10,10,800.0,920.0,800.0,1
2,6,465,5,10,12,960.0,1020.0,960.0,1
2,7,458,5,10,12,960.0,960.0,960.0,1
2,8,473,5,10,10,800.0,900.0,800.0,1
2,9,441,5,10,12,960.0,1000.0,960.0,1
2,10,531,5,10,11,880.0,940.0,880.0,1
2,11,511,5,10,12,960.0,960.0,960.0,1
2,12,543,5,10,10,800.0,900.0,800.0,1
2,13,557,5,10,12,960.0,1000.0,960.0,1
2,14,592,5,10,10,800.0,940.0,800.0,1
3,0,509,5,10,6,480.0,900.0,800.0,0
3,0,703,5,10,1,80.0,900.0,800.0,0
3,0,459,5,10,3,240.0,900.0,800.0,0
3,1,603,5,10,6,480.0,1000.0,960.0,1
3,1,518,5,10,6,480.0,1000.0,960.0,1
3,2,430,5,10,9,720.0,940.0,880.0,1
3,2,616,5,10,2,160.0,940.0,880.0,1
3,3,535,5,10,10,800.0,960.0,960.0,1
3,3,701,5,10,2,160.0,960.0,960.0,1
3,4,525,5,10,11,880.0,900.0,880.0,1
3,5,555,5,10,10,800.0,920.0,800.0,1
3,6,465,5,10,12,960.0,1020.0,960.0,1
3,7,458,5,10,12,960.0,960.0,960.0,1
3,8,473,5,10,10,800.0,900.0,800.0,1
3,9,441,5,10,12,960.0,1000.0,960.0,1
3,10,531,5,10,11,880.0,940.0,880.0,1
3,11,511,5,10,12,960.0,960.0,960.0,1
3,12,543,5,10,10,800.0,900.0,800.0,1
3,13,557,5,10,12,960.0,1000.0,960.0,1
3,14,592,5,10,10,800.0,940.0,800.0,1
4,0,509,5,10,6,480.0,900.0,800.0,0
4,0,703,5,10,1,80.0,900.0,800.0,0
4,0,459,5,10,3,240.0,900.0,800.0,0
4,1,603,5,10,6,480.0,1000.0,960.0,1
4,1,518,5,10,6,480.0,1000.0,960.0,1
4,2,430,5,10,9,720.0,940.0,880.0,1
4,2,616,5,10,2,160.0,940.0,880.0,1
4,3,535,5,10,10,800.0,960.0,960.0,1
4,3,701,5,10,2,160.0,960.0,960.0,1
4,4,525,5,10,11,880.0,900.0,880.0,1
4,5,555,5,10,10,800.0,920.0,800.0,1
4,6,465,5,10,12,960.0,1020.0,960.0,1
4,7,458,5,10,12,960.0,960.0,960.0,1
4,8,473,5,10,10,800.0,900.0,800.0,1
4,9,441,5,10,12,960.0,1000.0,960.0,1
4,10,531,5,10,11,880.0,940.0,880.0,1
4,11,511,5,10,12,960.0,960.0,960.0,1
4,12,543,5,10,10,800.0,900.0,800.0,1
4,13,557,5,10,12,960.0,1000.0,960.0,1
4,14,592,5,10,10,800.0,940.0,800.0,1
