alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio
0.0,1,-221.08617758004203,1770.6858666002488,0.0,-242.18184096466092,1339.4788491322158,139.7569747394245,-934.8312562860008,4770746.307105929,-1937.4547277172874,-5019.15632910164,-2.0108190558689403,15.0,168.0,1.0,0.0,0.9955555555555555
0.15,0,-141.40701720805197,1978.454308096682,0.0,-260.41710500599885,1974.7225292679334,251.53648484782929,-2053.0843278961593,5568997.887619334,-2184.567898870709,-1978.956832323347,-4.033839594652235,37.0,166.0,0.5333333333333333,0.0,0.997037037037037
0.15,1,-203.21619838380676,1913.1567978804742,0.0,-264.3657886516522,1684.8062103167072,206.347974471436,-1456.758849367485,5361727.295543575,-2142.3305757338053,-4535.73686275246,-2.002553372062944,18.0,169.0,1.0,0.0,0.9948148148148148
0.0,4,-156.85186574517604,2107.280111696852,0.0,-283.54252635154256,2080.0485686976035,276.69119272805966,-2026.6217331347284,6390096.133517976,-2362.0885511917745,-1723.7247889853581,-4.83334784783594,33.0,168.0,0.6,0.0,0.9925925925925926
0.15,2,-232.92837971576128,1888.8023953902805,0.0,-256.1723948373232,1690.5342529676498,208.56398481711932,-1153.2749934065018,5504108.071124337,-2077.6373737787617,-3569.4539172348623,-2.432728519337469,23.0,198.0,1.0,0.0,1.0
0.0,3,1090.3179571094975,779.0018581880182,0.0,215.27374376509778,2592.8933734315606,-206.1618233622249,-937.6818590935585,4244023.654965819,-1937.4636938858798,-2229.8949476930893,-2.124507002808666,18.0,150.0,1.0,0.0,1.0
0.0,0,-132.9445841608287,2266.0410374811568,-12.33101720046137,-290.32982514322725,2316.350819470588,297.97505580752767,-2666.6617595195776,6928637.302048626,-2546.611827176848,-1829.996693906709,-3.053716549541412,28.0,181.0,0.9333333333333333,0.0,0.9992592592592593
0.0,2,-167.35695681189986,2356.879109766499,0.0,-319.8855985854307,2361.0447644375968,319.88559858543067,-2299.778378070039,6755013.191981015,-2559.0847886834454,0.0,-2.52546618983203,20.0,167.0,0.9333333333333333,0.0,0.9896296296296296
0.15,3,-159.06887180394756,2113.2132824994815,0.0,-287.0685168523722,2126.792704114177,287.0685168523722,-2635.165527866309,6039049.030369711,-2296.548134818978,0.0,-1.5411392420358554,15.0,168.0,1.0,0.0,0.9955555555555555
0.3,2,35.254398913373095,2023.700392009734,-35.52668496349539,-208.8676326287216,2356.0118959732517,213.97585801239015,-2075.42674648609,6008895.271155385,-2385.8965641605205,-3931.794426083327,-4.683815179549782,39.0,167.0,0.4,0.0,1.0
0.15,4,-159.62075110669502,2091.541341859861,0.0,-284.0997390530917,2104.982182218518,284.0997390530917,-2606.1794508912944,5982217.264663504,-2300.202178945321,-914.2186763240704,-2.0739077178225083,21.0,167.0,1.0,0.0,0.997037037037037
0.3,1,-163.92811887682385,2159.0255515785066,0.0,-291.7403071720498,2172.828067042747,291.7403071720498,-2693.638480619512,6309709.065246843,-2371.3795919489157,-1304.5427925680456,-2.724460908965631,23.0,172.0,0.9333333333333333,0.0,1.0
0.3,0,-66.94890961103992,2154.2464685909235,-33.09165176845987,-250.36762209173656,2267.2873956919057,279.85853038006354,-2397.646396289543,6621581.421128718,-2447.1231676894304,-2046.9143272702545,-2.5257763442695964,25.0,170.0,0.9333333333333333,0.0,0.9992592592592593
0.3,4,-131.8520259957737,2121.7484454756486,-3.9013998329242363,-278.3312715967015,2155.137127904002,281.06225147975414,-2469.361712029952,6348235.824903673,-2366.3920683397896,-1009.4447613322106,-2.923952875484575,22.0,169.0,0.9333333333333333,0.0,0.9948148148148148
0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5244202.024316314,-1248.5471077857574,-26198.01132360542,-5.294843571920049,45.0,243.0,0.0,0.0,0.9177777777777778
0.3,3,1303.6772028913654,935.4914382119057,0.0,257.1109443252015,2477.960004132365,-209.9504191058404,-1821.133363454829,5207800.053308317,-2313.9984989268137,-9625.636087172434,-1.7916042815819289,15.0,150.0,1.0,0.0,1.0
0.5,1,2808.8807640042132,14.850720701293813,-2267.0446629743005,1418.0688049219737,4531.416787327618,16.362932973303195,-426.7628381844197,6380129.685102741,-2383.135864856956,-22385.34807227707,-4.682450198904496,33.0,159.0,0.5333333333333333,0.0,0.9992592592592593
0.5,2,0.0,0.0,-17.864304498126767,0.0,3.6782726138649613,-7.453727049218408,5.991071718174996,8222650.243529973,-2011.8285112016106,-14718.070623675845,-2.82679118956597,27.0,256.0,0.9333333333333333,0.0,1.0
0.5,3,1251.6668091348772,930.0440097558769,0.0,251.6602125302501,1661.4348768732846,-179.14288118408376,-1293.743096941934,5231095.498445046,-2245.8718269206156,-18681.553568368756,-3.827930105812699,27.0,152.0,0.7333333333333333,0.0,0.9985185185185185
0.5,4,-267.9016191630902,2178.080183468715,0.0,-300.04645842052776,1723.8100216260889,195.5369645943893,-1183.2011801753288,6342209.740847997,-2434.4062474856532,-7823.252845746046,-4.791867518540008,36.0,168.0,0.5333333333333333,0.0,0.9992592592592593
0.7,0,1428.5433761371405,0.0,-1145.4430965777524,719.750635297089,405.17264805831735,-221.45609343585744,-246.26444309397294,3238442.7956392327,-1200.6107121447467,-24240.70201816642,-6.0800683952482775,44.0,150.0,0.06666666666666667,0.0,0.922962962962963
0.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9660993.534630839,-2199.3217564792385,-33323.75250872371,-3.3143215884828776,26.0,219.0,0.8666666666666667,0.0,0.9977777777777778
0.7,2,53.78051972311984,134.06238187027915,0.0,19.73983299186751,133.10436022091346,-19.73983299186751,46.888307303294766,10326427.614027161,-2580.1561551277405,-5292.073791201203,-3.5080899871400306,34.0,264.0,0.6666666666666666,0.0,0.9992592592592593
0.7,3,262.9158533356466,0.0,-264.3484208852539,132.17421044262693,50.23213688883887,26.892947994854943,-17.28226592485992,5436159.910203293,-1179.8564759525564,-46584.60210033674,-4.742224832751626,45.0,140.0,0.0,0.0,0.5725925925925925
