ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,355,3,3,1,50.0,900.0,200.0,0
0,0,343,3,3,1,50.0,900.0,200.0,0
0,0,416,3,3,2,100.0,900.0,200.0,0
0,1,387,3,3,2,100.0,1600.0,300.0,0
0,1,356,3,3,2,100.0,1600.0,300.0,0
0,1,373,3,3,2,100.0,1600.0,300.0,0
0,2,404,3,3,2,100.0,2200.0,200.0,0
0,2,403,3,3,1,50.0,2200.0,200.0,0
0,2,347,3,3,1,50.0,2200.0,200.0,0
0,3,384,3,3,2,100.0,2700.0,790.0,0
0,3,383,3,3,9,450.0,2700.0,790.0,0
0,3,298,2,3,3,240.0,2700.0,790.0,0
0,4,386,3,3,1,50.0,2700.0,800.0,0
0,4,382,3,3,4,200.0,2700.0,800.0,0
0,4,377,3,3,11,550.0,2700.0,800.0,0
0,5,353,3,3,2,100.0,2700.0,660.0,0
0,5,257,2,3,6,480.0,2700.0,660.0,0
0,5,337,2,3,1,80.0,2700.0,660.0,0
0,6,414,3,3,2,100.0,2700.0,200.0,0
0,6,400,3,3,1,50.0,2700.0,200.0,0
0,6,344,3,3,1,50.0,2700.0,200.0,0
0,7,345,3,3,1,50.0,2700.0,150.0,0
0,7,413,3,3,1,50.0,2700.0,150.0,0
0,7,348,3,3,1,50.0,2700.0,150.0,0
0,8,407,3,3,1,50.0,2700.0,450.0,0
0,8,371,3,3,7,350.0,2700.0,450.0,0
0,8,378,3,3,1,50.0,2700.0,450.0,0
0,9,352,3,3,2,100.0,2700.0,1160.0,0
0,9,360,3,3,10,500.0,2700.0,1160.0,0
0,9,280,2,3,7,560.0,2700.0,1160.0,0
0,10,359,3,3,1,50.0,2440.0,300.0,0
0,10,408,3,3,2,100.0,2440.0,300.0,0
0,10,346,3,3,3,150.0,2440.0,300.0,0
0,11,354,3,3,14,700.0,2700.0,1300.0,0
0,11,266,2,3,5,400.0,2700.0,1300.0,0
0,11,364,3,3,4,200.0,2700.0,1300.0,0
0,12,410,3,3,2,100.0,2300.0,200.0,0
0,12,375,3,3,1,50.0,2300.0,200.0,0
0,12,379,3,3,1,50.0,2300.0,200.0,0
0,13,369,3,3,10,500.0,2700.0,680.0,0
0,13,412,3,3,2,100.0,2700.0,680.0,0
0,13,217,2,3,1,80.0,2700.0,680.0,0
0,14,265,2,3,1,90.0,2700.0,340.0,0
0,14,366,3,3,4,200.0,2700.0,340.0,0
0,14,350,3,3,1,50.0,2700.0,340.0,0
1,0,355,3,3,1,50.0,900.0,200.0,0
1,0,343,3,3,1,50.0,900.0,200.0,0
1,0,416,3,3,2,100.0,900.0,200.0,0
1,1,387,3,3,2,100.0,1600.0,300.0,0
1,1,356,3,3,2,100.0,1600.0,300.0,0
1,1,373,3,3,2,100.0,1600.0,300.0,0
1,2,404,3,3,2,100.0,2200.0,200.0,0
1,2,403,3,3,1,50.0,2200.0,200.0,0
1,2,347,3,3,1,50.0,2200.0,200.0,0
1,3,384,3,3,2,100.0,2700.0,790.0,0
1,3,383,3,3,9,450.0,2700.0,790.0,0
1,3,298,2,3,3,240.0,2700.0,790.0,0
1,4,386,3,3,1,50.0,2700.0,800.0,0
1,4,382,3,3,4,200.0,2700.0,800.0,0
1,4,377,3,3,11,550.0,2700.0,800.0,0
1,5,353,3,3,2,100.0,2700.0,660.0,0
1,5,257,2,3,6,480.0,2700.0,660.0,0
1,5,337,2,3,1,80.0,2700.0,660.0,0
1,6,414,3,3,2,100.0,2700.0,200.0,0
1,6,400,3,3,1,50.0,2700.0,200.0,0
1,6,344,3,3,1,50.0,2700.0,200.0,0
1,7,345,3,3,1,50.0,2700.0,150.0,0
1,7,413,3,3,1,50.0,2700.0,150.0,0
1,7,348,3,3,1,50.0,2700.0,150.0,0
1,8,407,3,3,1,50.0,2700.0,450.0,0
1,8,371,3,3,7,350.0,2700.0,450.0,0
1,8,378,3,3,1,50.0,2700.0,450.0,0
1,9,352,3,3,2,100.0,2700.0,1160.0,0
1,9,360,3,3,10,500.0,2700.0,1160.0,0
1,9,280,2,3,7,560.0,2700.0,1160.0,0
1,10,359,3,3,1,50.0,2440.0,300.0,0
1,10,408,3,3,2,100.0,2440.0,300.0,0
1,10,346,3,3,3,150.0,2440.0,300.0,0
1,11,354,3,3,14,700.0,2700.0,1300.0,0
1,11,266,2,3,5,400.0,2700.0,1300.0,0
1,11,364,3,3,4,200.0,2700.0,1300.0,0
1,12,410,3,3,2,100.0,2300.0,200.0,0
1,12,375,3,3,1,50.0,2300.0,200.0,0
1,12,379,3,3,1,50.0,2300.0,200.0,0
1,13,369,3,3,10,500.0,2700.0,680.0,0
1,13,412,3,3,2,100.0,2700.0,680.0,0
1,13,217,2,3,1,80.0,2700.0,680.0,0
1,14,265,2,3,1,90.0,2700.0,340.0,0
1,14,366,3,3,4,200.0,2700.0,340.0,0
1,14,350,3,3,1,50.0,2700.0,340.0,0
2,0,355,3,3,1,50.0,900.0,200.0,0
2,0,343,3,3,1,50.0,900.0,200.0,0
2,0,416,3,3,2,100.0,900.0,200.0,0
2,1,387,3,3,2,100.0,1600.0,300.0,0
2,1,356,3,3,2,100.0,1600.0,300.0,0
2,1,373,3,3,2,100.0,1600.0,300.0,0
2,2,404,3,3,2,100.0,2200.0,200.0,0
2,2,403,3,3,1,50.0,2200.0,200.0,0
2,2,347,3,3,1,50.0,2200.0,200.0,0
2,3,384,3,3,2,100.0,2700.0,790.0,0
2,3,383,3,3,9,450.0,2700.0,790.0,0
2,3,298,2,3,3,240.0,2700.0,790.0,0
2,4,386,3,3,1,50.0,2700.0,800.0,0
2,4,382,3,3,4,200.0,2700.0,800.0,0
2,4,377,3,3,11,550.0,2700.0,800.0,0
2,5,353,3,3,2,100.0,2700.0,660.0,0
2,5,257,2,3,6,480.0,2700.0,660.0,0
2,5,337,2,3,1,80.0,2700.0,660.0,0
