ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,278,2,3,10,800.0,900.0,880.0,1
0,0,337,2,3,1,80.0,900.0,880.0,1
0,1,236,2,3,11,920.0,920.0,920.0,1
0,2,283,2,3,11,900.0,900.0,900.0,1
0,3,297,2,3,10,900.0,900.0,900.0,1
0,4,321,2,1,18,900.0,900.0,900.0,1
0,5,323,2,1,17,850.0,900.0,850.0,1
0,6,71,1,6,18,900.0,950.0,900.0,1
0,7,68,1,6,18,900.0,950.0,950.0,1
0,7,214,1,6,1,50.0,950.0,950.0,1
0,8,159,1,6,16,800.0,900.0,900.0,0
0,8,81,1,6,1,50.0,900.0,900.0,0
0,8,35,1,6,1,50.0,900.0,900.0,0
0,9,72,1,6,17,850.0,900.0,900.0,1
0,9,201,1,6,1,50.0,900.0,900.0,1
0,10,165,1,6,18,900.0,900.0,900.0,1
0,11,13,1,6,17,850.0,900.0,900.0,1
0,11,100,1,6,1,50.0,900.0,900.0,1
0,12,76,1,6,16,800.0,900.0,900.0,1
0,12,20,1,6,2,100.0,900.0,900.0,1
0,13,2,1,6,17,850.0,900.0,850.0,1
0,14,38,1,6,19,950.0,950.0,950.0,1
1,0,278,2,3,10,800.0,900.0,880.0,1
1,0,337,2,3,1,80.0,900.0,880.0,1
1,1,236,2,3,11,920.0,920.0,920.0,1
1,2,283,2,3,11,900.0,900.0,900.0,1
1,3,297,2,3,10,900.0,900.0,900.0,1
1,4,321,2,1,18,900.0,900.0,900.0,1
1,5,323,2,1,17,850.0,900.0,850.0,1
1,6,71,1,6,18,900.0,950.0,900.0,1
1,7,68,1,6,18,900.0,950.0,950.0,1
1,7,214,1,6,1,50.0,950.0,950.0,1
1,8,159,1,6,16,800.0,900.0,900.0,0
1,8,81,1,6,1,50.0,900.0,900.0,0
1,8,35,1,6,1,50.0,900.0,900.0,0
1,9,72,1,6,17,850.0,900.0,900.0,1
1,9,201,1,6,1,50.0,900.0,900.0,1
1,10,165,1,6,18,900.0,900.0,900.0,1
1,11,13,1,6,17,850.0,900.0,900.0,1
1,11,100,1,6,1,50.0,900.0,900.0,1
1,12,76,1,6,16,800.0,900.0,900.0,1
1,12,20,1,6,2,100.0,900.0,900.0,1
1,13,2,1,6,17,850.0,900.0,850.0,1
1,14,38,1,6,19,950.0,950.0,950.0,1
2,0,278,2,3,10,800.0,900.0,880.0,1
2,0,337,2,3,1,80.0,900.0,880.0,1
2,1,236,2,3,11,920.0,920.0,920.0,1
2,2,283,2,3,11,900.0,900.0,900.0,1
2,3,297,2,3,10,900.0,900.0,900.0,1
2,4,321,2,1,18,900.0,900.0,900.0,1
2,5,323,2,1,17,850.0,900.0,850.0,1
2,6,71,1,6,18,900.0,950.0,900.0,1
2,7,68,1,6,18,900.0,950.0,950.0,1
2,7,214,1,6,1,50.0,950.0,950.0,1
2,8,159,1,6,16,800.0,900.0,900.0,0
2,8,81,1,6,1,50.0,900.0,900.0,0
2,8,35,1,6,1,50.0,900.0,900.0,0
2,9,72,1,6,17,850.0,900.0,900.0,1
2,9,201,1,6,1,50.0,900.0,900.0,1
2,10,165,1,6,18,900.0,900.0,900.0,1
2,11,13,1,6,17,850.0,900.0,900.0,1
2,11,100,1,6,1,50.0,900.0,900.0,1
2,12,76,1,6,16,800.0,900.0,900.0,1
2,12,20,1,6,2,100.0,900.0,900.0,1
2,13,2,1,6,17,850.0,900.0,850.0,1
2,14,38,1,6,19,950.0,950.0,950.0,1
3,0,278,2,3,10,800.0,900.0,880.0,1
3,0,337,2,3,1,80.0,900.0,880.0,1
3,1,236,2,3,11,920.0,920.0,920.0,1
3,2,283,2,3,11,900.0,900.0,900.0,1
3,3,297,2,3,10,900.0,900.0,900.0,1
3,4,321,2,1,18,900.0,900.0,900.0,1
3,5,323,2,1,17,850.0,900.0,850.0,1
3,6,71,1,6,18,900.0,950.0,900.0,1
3,7,68,1,6,18,900.0,950.0,950.0,1
3,7,214,1,6,1,50.0,950.0,950.0,1
3,8,159,1,6,16,800.0,900.0,900.0,0
3,8,81,1,6,1,50.0,900.0,900.0,0
3,8,35,1,6,1,50.0,900.0,900.0,0
3,9,72,1,6,17,850.0,900.0,900.0,1
3,9,201,1,6,1,50.0,900.0,900.0,1
3,10,165,1,6,18,900.0,900.0,900.0,1
3,11,13,1,6,17,850.0,900.0,900.0,1
3,11,100,1,6,1,50.0,900.0,900.0,1
3,12,76,1,6,16,800.0,900.0,900.0,1
3,12,20,1,6,2,100.0,900.0,900.0,1
3,13,2,1,6,17,850.0,900.0,850.0,1
3,14,38,1,6,19,950.0,950.0,950.0,1
4,0,278,2,3,10,800.0,900.0,880.0,1
4,0,337,2,3,1,80.0,900.0,880.0,1
4,1,236,2,3,11,920.0,920.0,920.0,1
4,2,283,2,3,11,900.0,900.0,900.0,1
4,3,297,2,3,10,900.0,900.0,900.0,1
4,4,321,2,1,18,900.0,900.0,900.0,1
4,5,323,2,1,17,850.0,900.0,850.0,1
4,6,71,1,6,18,900.0,950.0,900.0,1
4,7,68,1,6,18,900.0,950.0,950.0,1
4,7,214,1,6,1,50.0,950.0,950.0,1
4,8,159,1,6,16,800.0,900.0,900.0,0
4,8,81,1,6,1,50.0,900.0,900.0,0
4,8,35,1,6,1,50.0,900.0,900.0,0
4,9,72,1,6,17,850.0,900.0,900.0,1
4,9,201,1,6,1,50.0,900.0,900.0,1
4,10,165,1,6,18,900.0,900.0,900.0,1
4,11,13,1,6,17,850.0,900.0,900.0,1
4,11,100,1,6,1,50.0,900.0,900.0,1
4,12,76,1,6,16,800.0,900.0,900.0,1
4,12,20,1,6,2,100.0,900.0,900.0,1
4,13,2,1,6,17,850.0,900.0,850.0,1
4,14,38,1,6,19,950.0,950.0,950.0,1
