alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio
0.15,2,-169.31024139199738,2159.7518611294267,0.0,-292.7156571302809,2173.6015701835736,292.7156571302809,-2729.9839214630692,6335562.216352634,-2379.1823916147646,-1066.044803356514,-1.9542441740964445,24.0,170.0,0.9333333333333333,0.0,0.9977777777777778
0.15,0,-248.54065324560375,2005.042820754191,0.0,-272.08659877788375,1716.551797049689,202.87283013460734,-1313.5939418628145,5717821.116703674,-2209.2304775764524,-4847.385367838486,-2.0476842073074186,21.0,171.0,1.0,0.0,1.0
0.0,3,-244.4540948854786,1929.3704455082548,0.0,-267.1896332491666,1659.639295951488,201.61728450899585,-1193.4688301590973,5929329.199949825,-2171.9594084230202,-6029.868566805784,-2.4102932574385747,15.0,153.0,1.0,4.0,0.9
0.0,0,-141.58627112193832,2099.729434196956,0.0,-282.9297816357928,2113.1225211347387,282.9297816357927,-2120.3275412775006,6849306.651735443,-2404.9027672161906,-2544.500780823773,-3.625855664529051,34.0,172.0,0.6,0.0,0.997037037037037
0.15,1,41.4169116042951,1506.9242389517294,0.0,-133.97981141678605,1657.9078358073252,135.33897061329762,-2298.8996305151895,5561260.268458834,-2122.503269783673,-2587.593903294569,-3.1741333156310345,34.0,167.0,0.4666666666666667,0.0,1.0
0.0,4,-78.36648945676875,2006.4241802163438,-28.757963865405525,-237.05795021437203,2102.0823160226037,264.9083252765466,-1976.5249387537333,6161372.168645756,-2288.9554201595756,-1466.9396385578639,-3.4121526163543123,24.0,169.0,0.8666666666666667,0.0,0.9985185185185185
0.0,2,-188.2059208527097,2353.562043948953,0.0,-320.57311324433465,2310.825570734148,311.9398881957722,-2157.061760530688,6650893.99654018,-2564.584905954677,-1423.5370422783658,-3.3681618072584305,31.0,167.0,0.8666666666666667,0.0,0.9955555555555555
0.15,3,-188.2059208527097,2353.562043948953,0.0,-320.57311324433465,2310.825570734148,311.9398881957722,-2157.061760530688,6650893.99654018,-2564.584905954677,-976.2542042419703,-2.950989599580568,25.0,168.0,0.9333333333333333,0.0,0.9955555555555555
0.0,1,-134.00374173722895,1396.5901335096037,0.0,-190.63355389382596,1327.9560455405067,180.02277958230417,-1273.216009674898,4100250.317422144,-1525.0684311506077,-1222.9490919504146,-2.8913221261358912,24.0,155.0,0.7333333333333333,1.0,0.9185185185185185
0.15,4,399.5428236234314,1944.0959703353947,-380.1190321290198,7.964072912837335,2977.8075156816863,148.15427146328673,-2172.988071160788,6714962.028982212,-2591.488415960947,-7511.838151960757,-4.293534964861756,42.0,161.0,0.2,0.0,0.9696296296296296
