ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,525,5,10,11,880.0,900.0,880.0,1
0,1,531,5,10,11,880.0,920.0,880.0,1
0,2,535,5,10,10,800.0,940.0,930.0,0
0,2,703,5,10,1,80.0,940.0,930.0,0
0,2,385,3,3,1,50.0,940.0,930.0,0
0,3,555,5,10,10,800.0,910.0,900.0,1
0,3,380,3,3,2,100.0,910.0,900.0,1
0,4,473,5,10,10,800.0,910.0,900.0,1
0,4,399,3,3,2,100.0,910.0,900.0,1
0,5,543,5,10,10,800.0,910.0,900.0,1
0,5,361,3,3,2,100.0,910.0,900.0,1
0,6,592,5,10,10,800.0,910.0,900.0,1
0,6,397,3,3,2,100.0,910.0,900.0,1
0,7,430,5,10,9,720.0,910.0,880.0,1
0,7,616,5,10,2,160.0,910.0,880.0,1
0,8,515,5,10,9,720.0,930.0,930.0,0
0,8,701,5,10,2,160.0,930.0,930.0,0
0,8,340,3,3,1,50.0,930.0,930.0,0
0,9,567,5,10,9,720.0,900.0,880.0,1
0,9,615,5,10,2,160.0,900.0,880.0,1
0,10,586,5,10,9,720.0,920.0,880.0,1
0,10,610,5,10,2,160.0,920.0,880.0,1
0,11,542,5,10,9,720.0,940.0,930.0,0
0,11,679,5,10,2,160.0,940.0,930.0,0
0,11,396,3,3,1,50.0,940.0,930.0,0
0,12,509,5,10,6,480.0,910.0,880.0,0
0,12,459,5,10,3,240.0,910.0,880.0,0
0,12,313,2,3,2,160.0,910.0,880.0,0
0,13,603,5,10,6,480.0,930.0,900.0,0
0,13,665,5,10,3,240.0,930.0,900.0,0
0,13,289,2,3,2,180.0,930.0,900.0,0
0,14,518,5,10,6,480.0,930.0,890.0,0
0,14,448,5,10,4,320.0,930.0,890.0,0
0,14,293,2,3,1,90.0,930.0,890.0,0
1,0,525,5,10,11,880.0,900.0,880.0,1
1,1,531,5,10,11,880.0,920.0,880.0,1
1,2,535,5,10,10,800.0,940.0,930.0,0
1,2,703,5,10,1,80.0,940.0,930.0,0
1,2,385,3,3,1,50.0,940.0,930.0,0
1,3,555,5,10,10,800.0,910.0,900.0,1
1,3,380,3,3,2,100.0,910.0,900.0,1
1,4,473,5,10,10,800.0,910.0,900.0,1
1,4,399,3,3,2,100.0,910.0,900.0,1
1,5,543,5,10,10,800.0,910.0,900.0,1
1,5,361,3,3,2,100.0,910.0,900.0,1
1,6,592,5,10,10,800.0,910.0,900.0,1
1,6,397,3,3,2,100.0,910.0,900.0,1
1,7,430,5,10,9,720.0,910.0,880.0,1
1,7,616,5,10,2,160.0,910.0,880.0,1
