iter,a0.0_s4,a0.0_s1,a0.0_s3,a0.0_s0,a0.15_s0,a0.0_s2,a0.15_s2,a0.15_s1,a0.3_s0,a0.15_s4,a0.15_s3,a0.3_s1,a0.3_s2,a0.3_s3,a0.5_s0,a0.3_s4,a0.5_s1,a0.5_s2,a0.5_s3,a0.5_s4,a0.7_s0,a0.7_s1,a0.7_s2,a0.7_s3,a0.85_s0,a0.7_s4,a0.85_s1,a0.85_s2,a0.85_s3,a0.85_s4,a1.0_s0,a1.0_s1,a1.0_s2,a1.0_s4,a1.0_s3
0,-0.493789564093288,-0.5298046905458776,-0.3253800886491802,-0.26348331693141014,-0.22827921114671113,-0.23800324248580113,-0.21293432245261293,-0.4264139540173776,-0.1963754902793277,-0.37321898242631907,-0.2619023756994184,-0.3327160990384246,-0.19021561367253614,-0.2043756983386966,-0.15821613786931998,-0.2639518927906285,-0.22064611563222566,-0.1630422561120521,-0.13556928031900978,-0.13325988361852797,-0.12429671350486872,-0.12102835260449338,-0.13888816050273295,-0.07440801985706597,-0.1012315049370418,-0.017089208798883055,-0.053288273745635384,-0.12246337548839586,-0.03281836274294414,0.06190685007847552,-0.07994054318212471,0.009241029816387369,-0.10730203547516168,0.1348262890421911,0.00557208997778369
1,-0.11297441746948876,-0.22219047834124186,-0.3791956004971083,-0.488563743648228,-0.39317972167416815,-0.3772861963990314,-0.269238112732132,-0.16722790925835684,-0.2777071465623698,-0.19761481074132647,-0.12703319548457195,-0.1174180810269923,-0.10858958203433386,-0.23313396894692193,-0.22561798647504733,-0.2877106662661864,-0.00890815025395987,-0.08444631189540666,-0.0733489453007194,-0.18648091375835574,-0.06553137419445315,-0.08357737726526535,-0.07567223749086599,-0.03542370857374368,-0.03159159768506899,-0.06346710218098892,-0.054356442189018625,-0.059846632075652786,-0.04184991697918057,-0.0768137834627794,-0.003870224699030419,-0.08405052150827587,-0.10053436043043668,-0.02033045216778337,0.005755889548142511
2,-0.5180061355002817,-0.12251181387684092,-0.45026419225518255,-0.4294675110728928,-0.4424583137767471,-0.16174642632465974,-0.37352158631137067,-0.23540316841312292,-0.18467437352958482,-0.3211340289099507,-0.19603860133472403,-0.19743874054495603,-0.29314713414249505,-0.24901611147080763,-0.16167641110716494,-0.2811259848501422,-0.07579409581228556,-0.08392860197507725,-0.15735761935527803,-0.2488321462680374,-0.14595658975688874,-0.0035946899790336266,-0.06626130504702954,-0.04607223159941379,-0.03692543041923106,-0.10395822952558093,-0.0306950783054974,-0.12075831069397276,0.009156290190852583,0.039282665891380235,0.04957054715562971,0.04092001565323288,-0.08551378636199376,-0.029633664693087224,0.03647121736534142
3,-0.37491056288290203,-0.19290708172037335,-0.37803188911499946,-0.6510900238866331,-0.2313994255349865,-0.13708061850455494,-0.34883798449922554,-0.09918634405869382,-0.34010902445381086,-0.0771360608456886,-0.3839980335176167,-0.10477254975235721,-0.16118244408075788,-0.258062807776975,-0.1859788220473755,-0.13045890804119709,-0.16941078704374513,-0.11788348699307365,-0.07517298757569978,-0.08789058328487032,-0.1277472372848707,0.018163837628216738,-0.07163738268467096,-0.014324417121058086,-0.04739762439906943,-0.10158726439025151,-0.05178455024046071,-0.05744408973097087,-0.034176996675090526,-0.013418817489498969,0.004946685904022216,0.020690098417274767,-0.042116080314127675,-0.08117917097596337,0.0853751423871727
4,-0.41631207968441253,-0.1773065112412608,-0.45356909385685945,-0.5624591947443391,-0.1611487667034785,0.023846659855345634,-0.31067344347320974,-0.16669639552869486,-0.1502508250973162,-0.356169916342702,-0.2197481295215705,-0.06314140586580651,-0.21404517476713036,-0.0937800578150034,-0.16010880179949222,-0.062208657689708874,-0.061507867773471926,-0.10892959368220412,-0.13477332029375497,-0.18877500422893903,0.03017925929425558,0.09673882946441806,-0.014608033365042902,-0.07480108001406266,0.05446509901748992,-0.041422399477825764,-0.025545289158750862,0.025476736838223924,-0.024536869265944602,-0.06185483402863407,-0.011905153348268407,-0.037576031947711364,0.10166338164340652,-0.013170917108739315,-0.0056519796504344265
5,-0.32714018714499654,-0.09284269758428695,-0.12068722299228668,-0.5204540627401268,-0.43055786099801235,-0.35167346776476677,-0.2496316405664895,-0.36839331458952745,-0.17872873606034456,-0.13667161847683604,-0.20056885582699335,-0.0926646793596067,-0.11217131562147092,-0.030105162933756015,-0.20606551602055997,-0.16375983406747505,0.017822375468207793,-0.11809392579560105,-0.039330430377713624,-0.08374006530216949,-0.09553145651715403,-0.02824441821731217,-0.03564610565847008,-0.11187787766877025,0.03204354813501959,-0.108415420146191,0.020018771067839385,-0.03498941244160478,-0.06058617047440805,-0.05218736979608751,0.031195743453956603,0.08336961395271197,0.0943696173107125,-0.009189450242043453,0.05175257817119566
6,-0.47253788622988036,-0.4295186007287567,-0.23194327279683616,-0.4241595658318451,-0.2247493119571884,-0.1229795802977724,-0.11854955615272454,-0.12847460708938926,-0.21842985986594324,-0.21480653786041873,0.06436776208874012,-0.025339805639834935,-0.11109765374258769,-0.14620543074859282,-0.1760496787558375,-0.2237782522267895,-0.018953083434212176,-0.11222907266076505,0.009967718762620627,-0.04066677229446955,0.0012218355571634795,-0.01794728160996751,-0.02768763996422254,-0.08941151728201716,-0.015107866752955746,-0.1440799062260817,-0.026499066253032343,0.005483077052140288,0.019813317534446293,0.07182098971689527,0.054918435544450514,0.04419073251554348,0.03822439774253853,0.040394854070550074,0.06871656212499576
7,-0.34839331697805476,-0.09157569197132207,-0.1324544231616261,-0.32934974409703,-0.3446893398782645,0.02760961132329745,-0.009926835740679277,-0.26265994518812985,-0.1244705276403296,-0.236764047272728,-0.06371494263049697,0.08441394250306761,-0.16319758599344739,-0.1282936441410245,-0.06235123287721048,-0.10607400042099853,0.06079450523240231,-0.18115400156519598,-0.09979205691785167,-0.09710584366306499,-0.020199957878947378,-0.03788993892529425,-0.07392359133840788,0.0040301014148103765,-0.04037188214416398,-0.13300284581099686,0.009844435373054107,0.031430414071381405,0.03288030782027229,-0.027868879145125765,0.08513773854496048,-0.007409603362885937,0.008012699399579257,-0.004789636031945816,0.05471614341755243
8,-0.08424434214791172,-0.1697037616795224,-0.18671158492110979,-0.3507390631614535,-0.30542921267327405,-0.20233864525597248,-0.10208571021084341,-0.2890029577406628,-0.14214017527506315,-0.20114367728883706,-0.20001282541828008,-0.10918453022118292,0.011520172600307974,-0.16765075954836672,-0.13183827654718802,-0.12176128493293581,0.015471914340476144,-0.07478779488894352,-0.10208519909203848,-0.0874609480483631,-0.07454692897589457,0.006832668676396973,-0.024058553389516183,-0.07813059323479123,-0.04078290321162828,-0.11987138375597639,0.0523760698692676,-0.0007296666516974568,-0.0864880121419869,-0.003327599583877277,0.04120524028696064,0.049171765561129135,0.07194800563677238,0.02944999077734677,0.11234034173941553
9,-0.29082509483464225,-0.2790095499076727,-0.12119281278382368,-0.3106184265994575,-0.13912009799605998,-0.092479642705101,0.03666440423355565,-0.3258495398496977,-0.21629884389795845,-0.16985300972537576,-0.11957825095204454,-0.025982340759804403,0.012058529499315473,-0.212690403730877,-0.1303290979416866,-0.09664949191264532,0.04371536911265285,-0.02494431339638789,-0.051093530645704065,0.006287359783674784,0.014721866531648784,0.11848200179793561,-0.04207687963762627,0.06949188532925964,0.010581947199230573,-0.11168447075103141,-0.004097890758888563,0.0043875372098391326,-0.030790054326573828,0.03919322375604947,0.12272256707672924,0.14210558647547963,0.0033915114510130323,0.07049072921837371,0.08861899193440313
