alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio
0.0,4,-159.06887180394756,2113.2132824994815,0.0,-287.0685168523722,2126.792704114177,287.0685168523722,-2635.165527866309,2003738.2476295582,-2296.548134818978,0.0,-1.5411392420358554,15.0,167.0,1.0,0.0,0.9896296296296296
0.0,1,234.9022860687547,1374.5390407299856,0.0,-93.06401501059385,1914.4559642590489,95.32682691369101,-1458.8171300353517,1500839.1072726336,-1793.156236206324,-1030.0127547621646,-2.235718512575292,16.0,158.0,1.0,0.0,0.997037037037037
0.0,3,-169.31024139199738,2159.7518611294267,0.0,-292.7156571302809,2173.6015701835736,292.7156571302809,-2729.9839214630692,2098966.417282411,-2379.182391614764,-570.4038894686647,-2.0674496124617674,21.0,171.0,1.0,0.0,1.0
0.0,0,-164.951804916953,2072.575667915847,0.0,-281.9868075897392,2085.9140420358135,281.9868075897392,-2650.475156603393,2024079.0474894303,-2293.3515952904313,-450.50955576351987,-2.2862327796126443,21.0,171.0,1.0,0.0,1.0
0.15,0,-159.06887180394756,2113.2132824994815,0.0,-287.0685168523722,2126.792704114177,287.0685168523722,-2635.165527866309,2003738.2476295582,-2296.548134818978,0.0,-1.5411392420358554,15.0,168.0,1.0,0.0,0.9955555555555555
0.0,2,-202.82824224633222,2174.9784271648978,0.0,-296.83013768170747,2115.1759640233845,289.26618615566525,-2054.9204234793037,2071874.3610183187,-2374.6411014536598,-919.0109233972132,-3.7096710732292957,29.0,167.0,0.7333333333333333,0.0,0.9896296296296296
0.15,2,-140.0269140596352,1909.315887256252,0.0,-258.19707736855764,1921.5090478130383,258.19707736855764,-2410.050088795441,1802215.600032532,-2065.576618948461,0.0,-1.4114100675872885,12.0,168.0,1.0,3.0,0.9955555555555555
0.15,1,-163.92811887682385,2159.0255515785066,0.0,-291.7403071720498,2172.8280670427475,291.7403071720498,-2693.6384806195115,2092158.4745739582,-2371.3795919489157,-978.1414100159375,-2.724460908965631,24.0,171.0,0.9333333333333333,0.0,0.9985185185185185
0.3,0,-159.06887180394756,2113.2132824994815,0.0,-287.0685168523722,2126.792704114177,287.0685168523722,-2635.165527866309,2003738.2476295582,-2296.548134818978,0.0,-1.5411392420358554,15.0,168.0,1.0,0.0,0.9955555555555555
0.15,4,-142.82626015306815,2034.0290265402582,0.0,-274.97013888965193,2047.030746240319,274.97013888965193,-2482.7383867649082,1919291.5694497707,-2199.7611111172155,0.0,-1.3937758612869833,15.0,167.0,1.0,0.0,0.9896296296296296
0.15,3,-232.92837971576128,1888.8023953902805,0.0,-256.1723948373232,1690.5342529676498,208.56398481711932,-1153.2749934065018,1828892.7322498378,-2077.6373737787617,-2529.927982384971,-2.8405312423374256,21.0,171.0,1.0,0.0,1.0
0.3,1,-120.29380947189436,2123.4525330415468,-66.32379715971202,-250.23629435436555,2253.001627675698,297.78266827834705,-2110.5578135842234,2077097.9004421544,-2378.3754387121135,-4326.514679291273,-5.541529654773228,40.0,172.0,0.3333333333333333,0.0,0.9977777777777778
0.3,2,-169.31024139199738,2159.7518611294267,0.0,-292.7156571302809,2173.6015701835736,292.7156571302809,-2729.9839214630692,2105858.530043754,-2379.182391614764,-986.8651871837501,-2.0674496124617674,21.0,171.0,1.0,0.0,1.0
0.3,3,98.38904477697798,2110.8944768576257,-118.12878803075284,-177.55035687703744,2842.9207808966444,171.42989144417533,-2095.4646946691682,2197943.0377538716,-2517.343477383776,-2351.348250367333,-3.346115531166915,33.0,167.0,0.6666666666666666,0.0,0.9977777777777778
0.5,0,2267.90005443109,156.5506012602561,-1685.2500721645313,1133.8510160124274,3412.6026271960372,1008.2760383687755,-492.2747292787687,1894131.1161978864,-2139.783692300417,-22771.692377490068,-2.5086711274376614,26.0,165.0,0.8666666666666667,0.0,0.9985185185185185
0.3,4,1193.9161321301274,869.1501034023552,0.0,235.6028315938344,2723.933915482094,-221.81446786844384,-872.8641874430498,1606811.3114699502,-2120.4254843445096,-2369.9337121193157,-1.8140721542305829,15.0,150.0,1.0,0.0,1.0
0.5,1,2730.338481925099,0.0,-1975.17961027689,1386.5855250743873,4172.009141469959,894.5540743950118,-424.55891306716023,2066012.4323608368,-2351.535413431001,-25633.498253273523,-2.8450587567999763,29.0,162.0,0.8666666666666667,0.0,0.9977777777777778
0.5,2,2867.3715299228215,0.0,-2126.5847214044434,1457.0301107048313,5890.9740780940965,452.217468090482,-373.175677389995,2198636.6956546204,-2479.018484897071,-23458.997863315853,-3.6200811559260586,31.0,162.0,0.7333333333333333,0.0,0.997037037037037
0.5,3,2816.806552464684,0.0,-2494.900268027822,1428.8271648643517,5849.300735949213,357.0620755600122,-432.93856925785667,2171489.5406946735,-2371.992907188778,-22576.702074561043,-5.379648022166497,43.0,167.0,0.13333333333333333,0.0,0.9977777777777778
0.5,4,2980.5077154637665,0.0,-2223.713727101852,1513.821877136998,4899.408938374641,814.9388479645,-429.0986562639585,2255594.596934127,-2556.1033412812208,-20896.885565858225,-2.9086132118147128,27.0,161.0,0.8666666666666667,0.0,0.9977777777777778
0.7,0,2298.0053700818344,0.0,-1417.8255184333634,1163.4827916183085,2216.0076149942115,822.3323273449462,-324.8347407004736,1733589.3595112797,-2013.095810723169,-22408.63114345683,-1.9279542281528417,13.0,158.0,1.0,2.0,0.9985185185185185
0.7,1,2624.2441886182196,0.0,-1613.2537838675191,1323.0306433376595,308.59487388372816,1143.7947163707342,-609.1139660151312,1971315.658573113,-2288.983613141556,-32180.183012839872,-3.2372152934003884,31.0,159.0,0.6,0.0,1.0
