ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,313,2,3,2,160.0,900.0,880.0,1
0,0,272,2,3,9,720.0,900.0,880.0,1
0,1,288,2,3,9,810.0,920.0,900.0,1
0,1,293,2,3,1,90.0,920.0,900.0,1
0,2,255,2,3,10,900.0,920.0,900.0,1
0,3,243,2,3,4,320.0,920.0,800.0,0
0,3,256,2,3,3,240.0,920.0,800.0,0
0,3,240,2,3,3,240.0,920.0,800.0,0
0,4,317,2,3,12,960.0,1020.0,960.0,1
0,5,279,2,3,12,960.0,960.0,960.0,1
0,6,311,2,3,10,900.0,900.0,900.0,1
0,7,281,2,3,9,720.0,900.0,880.0,1
0,7,291,2,3,2,160.0,900.0,880.0,1
0,8,324,2,3,8,720.0,920.0,900.0,1
0,8,289,2,3,2,180.0,920.0,900.0,1
0,9,336,2,3,7,560.0,920.0,920.0,0
0,9,222,2,3,3,270.0,920.0,920.0,0
0,9,224,2,3,1,90.0,920.0,920.0,0
0,10,284,2,3,9,720.0,900.0,900.0,1
0,10,269,2,3,2,180.0,900.0,900.0,1
0,11,292,2,3,5,400.0,900.0,890.0,1
0,11,259,2,3,6,490.0,900.0,890.0,1
0,12,274,2,3,9,730.0,910.0,890.0,1
0,12,263,2,3,2,160.0,910.0,890.0,1
0,13,282,2,3,10,800.0,920.0,890.0,1
0,13,290,2,3,1,90.0,920.0,890.0,1
0,14,332,2,3,10,900.0,930.0,900.0,1
1,0,313,2,3,2,160.0,900.0,880.0,1
1,0,272,2,3,9,720.0,900.0,880.0,1
1,1,288,2,3,9,810.0,920.0,900.0,1
1,1,293,2,3,1,90.0,920.0,900.0,1
1,2,255,2,3,10,900.0,920.0,900.0,1
1,3,243,2,3,4,320.0,920.0,800.0,0
1,3,256,2,3,3,240.0,920.0,800.0,0
1,3,240,2,3,3,240.0,920.0,800.0,0
1,4,317,2,3,12,960.0,1020.0,960.0,1
1,5,279,2,3,12,960.0,960.0,960.0,1
1,6,311,2,3,10,900.0,900.0,900.0,1
1,7,281,2,3,9,720.0,900.0,880.0,1
1,7,291,2,3,2,160.0,900.0,880.0,1
1,8,324,2,3,8,720.0,920.0,900.0,1
1,8,289,2,3,2,180.0,920.0,900.0,1
1,9,336,2,3,7,560.0,920.0,920.0,0
1,9,222,2,3,3,270.0,920.0,920.0,0
1,9,224,2,3,1,90.0,920.0,920.0,0
1,10,284,2,3,9,720.0,900.0,900.0,1
1,10,269,2,3,2,180.0,900.0,900.0,1
1,11,292,2,3,5,400.0,900.0,890.0,1
1,11,259,2,3,6,490.0,900.0,890.0,1
1,12,274,2,3,9,730.0,910.0,890.0,1
1,12,263,2,3,2,160.0,910.0,890.0,1
1,13,282,2,3,10,800.0,920.0,890.0,1
1,13,290,2,3,1,90.0,920.0,890.0,1
1,14,332,2,3,10,900.0,930.0,900.0,1
2,0,313,2,3,2,160.0,900.0,880.0,1
2,0,272,2,3,9,720.0,900.0,880.0,1
2,1,288,2,3,9,810.0,920.0,900.0,1
2,1,293,2,3,1,90.0,920.0,900.0,1
2,2,255,2,3,10,900.0,920.0,900.0,1
2,3,243,2,3,4,320.0,920.0,800.0,0
2,3,256,2,3,3,240.0,920.0,800.0,0
2,3,240,2,3,3,240.0,920.0,800.0,0
2,4,317,2,3,12,960.0,1020.0,960.0,1
2,5,279,2,3,12,960.0,960.0,960.0,1
2,6,311,2,3,10,900.0,900.0,900.0,1
2,7,281,2,3,9,720.0,900.0,880.0,1
2,7,291,2,3,2,160.0,900.0,880.0,1
2,8,324,2,3,8,720.0,920.0,900.0,1
2,8,289,2,3,2,180.0,920.0,900.0,1
2,9,336,2,3,7,560.0,920.0,920.0,0
2,9,222,2,3,3,270.0,920.0,920.0,0
2,9,224,2,3,1,90.0,920.0,920.0,0
2,10,284,2,3,9,720.0,900.0,900.0,1
2,10,269,2,3,2,180.0,900.0,900.0,1
2,11,292,2,3,5,400.0,900.0,890.0,1
2,11,259,2,3,6,490.0,900.0,890.0,1
2,12,274,2,3,9,730.0,910.0,890.0,1
2,12,263,2,3,2,160.0,910.0,890.0,1
2,13,282,2,3,10,800.0,920.0,890.0,1
2,13,290,2,3,1,90.0,920.0,890.0,1
2,14,332,2,3,10,900.0,930.0,900.0,1
3,0,313,2,3,2,160.0,900.0,880.0,1
3,0,272,2,3,9,720.0,900.0,880.0,1
3,1,288,2,3,9,810.0,920.0,900.0,1
3,1,293,2,3,1,90.0,920.0,900.0,1
3,2,255,2,3,10,900.0,920.0,900.0,1
3,3,243,2,3,4,320.0,920.0,800.0,0
3,3,256,2,3,3,240.0,920.0,800.0,0
3,3,240,2,3,3,240.0,920.0,800.0,0
3,4,317,2,3,12,960.0,1020.0,960.0,1
3,5,279,2,3,12,960.0,960.0,960.0,1
3,6,311,2,3,10,900.0,900.0,900.0,1
3,7,281,2,3,9,720.0,900.0,880.0,1
3,7,291,2,3,2,160.0,900.0,880.0,1
3,8,324,2,3,8,720.0,920.0,900.0,1
3,8,289,2,3,2,180.0,920.0,900.0,1
3,9,336,2,3,7,560.0,920.0,920.0,0
3,9,222,2,3,3,270.0,920.0,920.0,0
3,9,224,2,3,1,90.0,920.0,920.0,0
3,10,284,2,3,9,720.0,900.0,900.0,1
3,10,269,2,3,2,180.0,900.0,900.0,1
3,11,292,2,3,5,400.0,900.0,890.0,1
3,11,259,2,3,6,490.0,900.0,890.0,1
3,12,274,2,3,9,730.0,910.0,890.0,1
3,12,263,2,3,2,160.0,910.0,890.0,1
3,13,282,2,3,10,800.0,920.0,890.0,1
3,13,290,2,3,1,90.0,920.0,890.0,1
3,14,332,2,3,10,900.0,930.0,900.0,1
4,0,313,2,3,2,160.0,900.0,880.0,1
4,0,272,2,3,9,720.0,900.0,880.0,1
4,1,288,2,3,9,810.0,920.0,900.0,1
4,1,293,2,3,1,90.0,920.0,900.0,1
4,2,255,2,3,10,900.0,920.0,900.0,1
4,3,243,2,3,4,320.0,920.0,800.0,0
4,3,256,2,3,3,240.0,920.0,800.0,0
4,3,240,2,3,3,240.0,920.0,800.0,0
4,4,317,2,3,12,960.0,1020.0,960.0,1
4,5,279,2,3,12,960.0,960.0,960.0,1
4,6,311,2,3,10,900.0,900.0,900.0,1
4,7,281,2,3,9,720.0,900.0,880.0,1
4,7,291,2,3,2,160.0,900.0,880.0,1
4,8,324,2,3,8,720.0,920.0,900.0,1
4,8,289,2,3,2,180.0,920.0,900.0,1
4,9,336,2,3,7,560.0,920.0,920.0,0
4,9,222,2,3,3,270.0,920.0,920.0,0
4,9,224,2,3,1,90.0,920.0,920.0,0
4,10,284,2,3,9,720.0,900.0,900.0,1
4,10,269,2,3,2,180.0,900.0,900.0,1
4,11,292,2,3,5,400.0,900.0,890.0,1
4,11,259,2,3,6,490.0,900.0,890.0,1
4,12,274,2,3,9,730.0,910.0,890.0,1
4,12,263,2,3,2,160.0,910.0,890.0,1
4,13,282,2,3,10,800.0,920.0,890.0,1
4,13,290,2,3,1,90.0,920.0,890.0,1
4,14,332,2,3,10,900.0,930.0,900.0,1
