ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,283,2,3,11,900.0,900.0,900.0,1
0,1,297,2,3,10,900.0,900.0,900.0,1
0,2,332,2,3,10,900.0,900.0,900.0,1
0,3,239,2,3,10,890.0,900.0,890.0,1
0,4,278,2,3,10,800.0,910.0,880.0,1
0,4,703,5,6,1,80.0,910.0,880.0,1
0,5,236,2,3,11,920.0,930.0,920.0,1
0,6,311,2,3,10,900.0,910.0,900.0,1
0,7,255,2,3,10,900.0,910.0,900.0,1
0,8,527,5,6,11,880.0,910.0,880.0,1
0,9,670,5,6,11,880.0,930.0,930.0,1
0,9,293,2,1,1,50.0,930.0,930.0,1
0,10,434,5,6,11,880.0,900.0,880.0,1
0,11,611,5,6,11,880.0,920.0,880.0,1
0,12,430,5,1,9,810.0,940.0,910.0,1
0,12,313,2,0,2,100.0,940.0,910.0,1
0,13,515,5,1,9,810.0,930.0,910.0,1
0,13,224,2,0,1,100.0,930.0,910.0,1
0,14,567,5,1,9,810.0,920.0,910.0,1
0,14,291,2,0,2,100.0,920.0,910.0,1
1,0,283,2,3,11,900.0,900.0,900.0,1
1,1,297,2,3,10,900.0,900.0,900.0,1
1,2,332,2,3,10,900.0,900.0,900.0,1
1,3,239,2,3,10,890.0,900.0,890.0,1
1,4,278,2,3,10,800.0,910.0,880.0,1
1,4,703,5,6,1,80.0,910.0,880.0,1
1,5,236,2,3,11,920.0,930.0,920.0,1
1,6,311,2,3,10,900.0,910.0,900.0,1
1,7,255,2,3,10,900.0,910.0,900.0,1
1,8,527,5,6,11,880.0,910.0,880.0,1
1,9,670,5,6,11,880.0,930.0,930.0,1
1,9,293,2,1,1,50.0,930.0,930.0,1
1,10,434,5,6,11,880.0,900.0,880.0,1
1,11,611,5,6,11,880.0,920.0,880.0,1
1,12,430,5,1,9,810.0,940.0,910.0,1
1,12,313,2,0,2,100.0,940.0,910.0,1
1,13,515,5,1,9,810.0,930.0,910.0,1
1,13,224,2,0,1,100.0,930.0,910.0,1
1,14,567,5,1,9,810.0,920.0,910.0,1
1,14,291,2,0,2,100.0,920.0,910.0,1
2,0,283,2,3,11,900.0,900.0,900.0,1
2,1,297,2,3,10,900.0,900.0,900.0,1
2,2,332,2,3,10,900.0,900.0,900.0,1
2,3,239,2,3,10,890.0,900.0,890.0,1
2,4,278,2,3,10,800.0,910.0,880.0,1
2,4,703,5,6,1,80.0,910.0,880.0,1
2,5,236,2,3,11,920.0,930.0,920.0,1
2,6,311,2,3,10,900.0,910.0,900.0,1
2,7,255,2,3,10,900.0,910.0,900.0,1
2,8,527,5,6,11,880.0,910.0,880.0,1
2,9,670,5,6,11,880.0,930.0,930.0,1
2,9,293,2,1,1,50.0,930.0,930.0,1
2,10,434,5,6,11,880.0,900.0,880.0,1
2,11,611,5,6,11,880.0,920.0,880.0,1
2,12,430,5,1,9,810.0,940.0,910.0,1
2,12,313,2,0,2,100.0,940.0,910.0,1
2,13,515,5,1,9,810.0,930.0,910.0,1
2,13,224,2,0,1,100.0,930.0,910.0,1
2,14,567,5,1,9,810.0,920.0,910.0,1
2,14,291,2,0,2,100.0,920.0,910.0,1
3,0,283,2,3,11,900.0,900.0,900.0,1
3,1,297,2,3,10,900.0,900.0,900.0,1
3,2,332,2,3,10,900.0,900.0,900.0,1
3,3,239,2,3,10,890.0,900.0,890.0,1
3,4,278,2,3,10,800.0,910.0,880.0,1
3,4,703,5,6,1,80.0,910.0,880.0,1
3,5,236,2,3,11,920.0,930.0,920.0,1
3,6,311,2,3,10,900.0,910.0,900.0,1
3,7,255,2,3,10,900.0,910.0,900.0,1
3,8,527,5,6,11,880.0,910.0,880.0,1
3,9,670,5,6,11,880.0,930.0,930.0,1
3,9,293,2,1,1,50.0,930.0,930.0,1
3,10,434,5,6,11,880.0,900.0,880.0,1
3,11,611,5,6,11,880.0,920.0,880.0,1
3,12,430,5,1,9,810.0,940.0,910.0,1
3,12,313,2,0,2,100.0,940.0,910.0,1
3,13,515,5,1,9,810.0,930.0,910.0,1
3,13,224,2,0,1,100.0,930.0,910.0,1
3,14,567,5,1,9,810.0,920.0,910.0,1
3,14,291,2,0,2,100.0,920.0,910.0,1
4,0,283,2,3,11,900.0,900.0,900.0,1
4,1,297,2,3,10,900.0,900.0,900.0,1
4,2,332,2,3,10,900.0,900.0,900.0,1
4,3,239,2,3,10,890.0,900.0,890.0,1
4,4,278,2,3,10,800.0,910.0,880.0,1
4,4,703,5,6,1,80.0,910.0,880.0,1
4,5,236,2,3,11,920.0,930.0,920.0,1
4,6,311,2,3,10,900.0,910.0,900.0,1
4,7,255,2,3,10,900.0,910.0,900.0,1
4,8,527,5,6,11,880.0,910.0,880.0,1
4,9,670,5,6,11,880.0,930.0,930.0,1
4,9,293,2,1,1,50.0,930.0,930.0,1
4,10,434,5,6,11,880.0,900.0,880.0,1
4,11,611,5,6,11,880.0,920.0,880.0,1
4,12,430,5,1,9,810.0,940.0,910.0,1
4,12,313,2,0,2,100.0,940.0,910.0,1
4,13,515,5,1,9,810.0,930.0,910.0,1
4,13,224,2,0,1,100.0,930.0,910.0,1
4,14,567,5,1,9,810.0,920.0,910.0,1
4,14,291,2,0,2,100.0,920.0,910.0,1
