iter,a0.0_s1,a0.0_s4,a0.0_s0,a0.15_s0,a0.0_s3,a0.0_s2,a0.15_s4,a0.15_s3,a0.15_s2,a0.15_s1,a0.3_s0,a0.3_s1,a0.3_s3,a0.3_s2,a0.3_s4,a0.5_s0,a0.5_s1,a0.5_s2,a0.5_s3,a0.5_s4,a0.7_s0,a0.7_s1,a0.7_s2,a0.7_s3,a0.85_s0,a0.7_s4,a0.85_s1,a0.85_s2,a0.85_s3,a0.85_s4,a1.0_s0,a1.0_s1,a1.0_s2,a1.0_s3,a1.0_s4
0,-0.5298046905458776,-0.493789564093288,-0.26348331693141014,-0.17413119824014725,-0.3253800886491802,-0.23800324248580113,-0.3216149709016049,-0.20862676415300918,-0.1636610259376422,-0.37756601077368934,-0.09315584067619023,-0.23959970723014376,-0.10281906382835414,-0.09628839219087314,-0.16558174582164203,0.003697037978738743,-0.07458118730551072,-0.015705438101600307,0.023735244403096063,0.02104622927399983,0.08978848567200894,0.07210194151638524,0.055923854422197716,0.13622796283105176,0.1483306701034327,0.1869377626923481,0.17184646911527457,0.10463177333838045,0.21272301136206168,0.299744005416825,0.20236960957859307,0.2639183407450185,0.1495929292610106,0.2833338253906862,0.40387284485480357
1,-0.22219047834124186,-0.11297441746948876,-0.488563743648228,-0.28421761394020373,-0.3791956004971083,-0.3772861963990314,-0.19817498746603254,-0.10970069933893534,-0.22515989558403132,-0.11151472972961539,-0.21770917749988436,-0.09625863610628307,-0.08147495262621139,-0.12646752197797312,-0.16837006204912194,0.001159814100736213,-0.02372968803150574,-0.011783189179217519,0.1011809491504672,0.04605114702965977,0.11390795865886773,0.11255606053667894,0.1247704147577508,0.14442002967031115,0.23383740751874005,0.11262268091026081,0.14956278923072902,0.19718283097412492,0.23582995658253844,0.21129938153023514,0.31867995014131895,0.26169791531257336,0.24084403201257207,0.3165866256255052,0.27271673617988273
2,-0.12251181387684092,-0.5180061355002817,-0.4294675110728928,-0.153130022257502,-0.45026419225518255,-0.16174642632465974,-0.20438240478033096,-0.17041856073818074,-0.17602539194530326,-0.1056988564718952,-0.3076669214918807,-0.11396567098259584,-0.07186901932409209,-0.03326400537552916,-0.08368978007188174,-0.08532008488397966,0.0030938781270983436,-0.018232067895460155,0.05018772558644587,-0.04496195512518329,0.13352663163848694,0.21209087797025972,0.12405033079877606,0.08796808677810734,0.15088497965464392,0.06375156958742821,0.2501588764298598,0.1348472890810296,0.24391669308610542,0.17852666240637202,0.30181114111891594,0.17148742146449908,0.1512479461980024,0.3131328001425583,0.1928128586202965
3,-0.19290708172037335,-0.37491056288290203,-0.6510900238866331,-0.18359593819916303,-0.37803188911499946,-0.13708061850455494,-0.0621891187670095,-0.03244250195756167,-0.06986790514661183,-0.09252569650293282,-0.18211580022161966,-0.074809122508982,-0.1292140187391503,-0.1237269038347878,-0.004778628583933893,-0.0037793915880306346,0.09369784911337874,0.05524667769639915,0.05301216370020309,-0.012490739115018839,0.13079953469459765,0.06281144393936276,0.09232941154489088,0.2019203738587346,0.12663955245441103,0.04053479025355554,0.15696663442619518,0.21295405020702765,0.2586915916786089,0.18702696910234648,0.29074948566976255,0.2079709175990412,0.27173565235415786,0.3559003259505794,0.32469659899447595
4,-0.1773065112412608,-0.41631207968441253,-0.5624591947443391,-0.09034774355110362,-0.45356909385685945,0.023846659855345634,-0.015475371051496802,-0.11240170035340802,-0.06896446224642447,-0.23737933487380547,-0.15758800374934046,0.0031580411002110065,-0.11383893376912677,0.019302227115494966,-0.05568273534766147,-0.015243894060246713,0.20241772304740008,0.10177312757674205,0.06015654769476783,-0.07290234277887198,0.16498140895407087,0.058174476995671874,0.16868166834995957,0.08352900304946254,0.2754376580871345,0.12725284780871732,0.24026183530330428,0.218891339859264,0.22337909492915953,0.22409111090746875,0.24530734764432194,0.23532298396718432,0.29748422382690803,0.2599280027160054,0.3028922901523458
5,-0.09284269758428695,-0.32714018714499654,-0.5204540627401268,-0.4105566795977651,-0.12068722299228668,-0.35167346776476677,-0.09134074520957072,-0.07424081612264134,-0.04592646632107212,-0.0909681819962195,-0.036307976165000616,0.11413638594169809,-0.12605579637844308,-0.08907696410765825,-0.21249564142161623,-0.017106193739660307,0.14724435800666044,0.10474286953208002,0.09136258098831951,-0.03003311360605508,0.09924622495652724,0.04055857074968952,0.20666161543593758,0.17009220373158573,0.11661051285368806,0.11201280756119805,0.2916431883252038,0.2009403566514393,0.2436940345243774,0.144183557376942,0.3017231569333903,0.2296777533470995,0.29102331668509535,0.32754779561574243,0.26025369970569356
6,-0.4295186007287567,-0.47253788622988036,-0.4241595658318451,-0.03141026612457633,-0.23194327279683616,-0.1229795802977724,-0.07242312111224404,-0.09333965746512851,-0.13998252742957046,-0.23560138153560017,-0.04109190909134996,0.11742529909535243,0.03692836995193938,0.01538084564810338,0.047640297659469845,-0.1519603163370286,0.11231018707418547,0.16236778635568838,0.16430517744201603,-0.12494552250687743,0.16201584026685112,0.16033266087574322,0.2085441393854289,0.11210269326718768,0.2320615321778941,0.10984389045218483,0.29357871539334485,0.21101060984895745,0.29997295186801587,0.2095771136604555,0.38291154737709465,0.3156338941498067,0.2915697359238034,0.2871720690533063,0.34555082803957604
7,-0.09157569197132207,-0.34839331697805476,-0.32934974409703,-0.0999719344295671,-0.1324544231616261,0.02760961132329745,-0.05201537531870846,-0.12639278142130816,-0.11992552314491255,-0.12312515104872201,-0.11556650859476272,0.05561412415223216,-0.06202225035506713,-5.771680305421967e-05,-0.04618252918596303,-0.0029430052020665773,0.04915840773720217,0.1846406687649642,0.13466051486881317,-0.017953749907479798,0.22813751873378996,0.08429647702841014,0.1860417564382587,0.15296190633652604,0.15206607809303535,0.07952858568899657,0.11499246818561364,0.24681339284365506,0.3132178714447288,0.2071350412087823,0.34080714150341984,0.16960338753296875,0.3841621024106428,0.46233131564146146,0.22322523745240347
8,-0.1697037616795224,-0.08424434214791172,-0.3507390631614535,-0.12333933442911818,-0.18671158492110979,-0.20233864525597248,0.008464098134015285,-0.16974363271474988,-0.14588830003447337,-0.18966411911514253,-0.2030311180916027,0.08616993378819979,-0.020513125048405963,-0.035616401296203165,-0.04482904544663925,0.12345857272032366,0.2369024509650008,0.24757231102304103,0.16631853300344646,-0.0369780090337951,0.13451435672392728,0.21233270412205402,0.11622953196804398,0.12360277875729123,0.25397857891173015,0.16264758719592154,0.22701662811543682,0.2843939035944925,0.32108095905282585,0.4212937669620823,0.24819894957799932,0.32825938568923635,0.3658072618904488,0.3862546208002589,0.39201728987597917
9,-0.2790095499076727,-0.29082509483464225,-0.3106184265994575,-0.15623928185316358,-0.12119281278382368,-0.092479642705101,0.1811243696083202,-0.04379446653412525,-0.060817483824815735,-0.2341103515545307,-0.029187480069459287,0.05163211970335623,0.05029115915054481,-0.07794517253165212,0.08082865606099382,0.014316629867311081,0.22982995216173036,0.2543077147218188,0.18593340219190418,-0.018768037370785112,0.2196152825010837,0.14987980334459056,0.16208061823274997,0.13921700156492173,0.11457797811951659,0.18330365015966565,0.18387267139011737,0.1964690617998815,0.24022313474568882,0.39483108098745634,0.30735701202012866,0.268202607955763,0.3509498634827396,0.28178390506097145,0.3864871848388298
