alpha,seed,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,n_initiated,cells,stop_rate,idle_years,spend_ratio
0.0,1,234.9022860687547,1374.5390407299856,0.0,-93.06401501059385,1914.4559642590489,95.32682691369101,-1458.8171300353517,4292600.855635228,-1793.156236206324,-1030.0127547621646,-2.235718512575292,16.0,158.0,1.0,0.0,0.997037037037037
0.0,4,-159.06887180394756,2113.2132824994815,0.0,-287.0685168523722,2126.792704114177,287.0685168523722,-2635.165527866309,6039049.030369711,-2296.548134818978,0.0,-1.5411392420358554,15.0,167.0,1.0,0.0,0.9896296296296296
0.0,0,-164.951804916953,2072.575667915847,0.0,-281.9868075897392,2085.9140420358135,281.9868075897392,-2650.475156603393,6051177.554188924,-2293.3515952904313,-450.50955576351987,-2.2862327796126443,21.0,171.0,1.0,0.0,1.0
0.15,0,-169.31024139199738,2159.7518611294267,0.0,-292.7156571302809,2173.6015701835736,292.7156571302809,-2729.9839214630692,6357758.093769537,-2379.182391614764,-941.6910838551537,-2.2730566258174,24.0,170.0,0.9333333333333333,0.0,0.9992592592592593
0.0,3,-169.31024139199738,2159.7518611294267,0.0,-292.7156571302809,2173.6015701835736,292.7156571302809,-2729.9839214630692,6335562.216352634,-2379.182391614764,-570.4038894686647,-2.0674496124617674,21.0,171.0,1.0,0.0,1.0
0.0,2,-202.82824224633222,2174.9784271648978,0.0,-296.83013768170747,2115.1759640233845,289.26618615566525,-2054.9204234793037,6216880.209484572,-2374.6411014536598,-919.0109233972132,-3.7096710732292957,29.0,167.0,0.7333333333333333,0.0,0.9896296296296296
0.15,4,-232.92837971576128,1888.8023953902805,0.0,-256.1723948373232,1690.5342529676498,208.56398481711932,-1153.2749934065018,5519214.000014867,-2077.6373737787617,-5801.888038436834,-2.742996246514319,21.0,171.0,1.0,0.0,1.0
0.15,3,-138.35838319060065,2137.970849959792,-35.11259849631813,-261.94049385313826,2281.358758067095,264.69879769514836,-2137.131028126222,6221201.822591035,-2380.3261386285753,-2716.4659584852534,-5.453302851872934,40.0,171.0,0.3333333333333333,0.0,1.0
0.15,2,-208.18632629566918,2266.3421723547285,0.0,-308.6902689240542,2211.749643029726,300.83409658694865,-2129.0249855156335,6469484.80394516,-2469.522151392434,-1863.3490989661045,-4.252734923169598,34.0,173.0,0.6,0.0,0.9985185185185185
0.15,1,-139.73658720215695,1861.6714121159162,0.0,-252.31525781434976,1873.5827134937786,252.31525781434976,-2349.5372289150773,5177214.827394286,-2023.6554833475936,-1901.8229261084257,-1.8742011375276655,18.0,167.0,1.0,0.0,0.9977777777777778
0.3,0,-159.06887180394756,2113.2132824994815,0.0,-287.0685168523722,2126.792704114177,287.0685168523722,-2635.165527866309,6039049.030369711,-2296.548134818978,0.0,-1.5411392420358554,15.0,168.0,1.0,0.0,0.9955555555555555
0.3,1,-222.26251878663203,1752.1836975855465,0.0,-242.7001263386972,1364.0674103274844,153.33137420122836,-909.1417037176363,4939380.759992765,-1951.6111813335278,-5270.876886205435,-2.016296265275105,21.0,171.0,0.9333333333333333,0.0,0.9977777777777778
0.3,3,1090.3179571094975,779.0018581880182,0.0,215.27374376509778,2592.8933734315606,-206.1618233622249,-937.6818590935585,4244023.654965819,-1937.4636938858798,-2499.2968729981735,-2.2325790203411935,17.0,150.0,1.0,0.0,0.9985185185185185
0.3,2,-116.64071377258719,2005.1831136922797,-19.196766770801865,-250.1297499038398,2023.716988442043,255.21866917245296,-1985.5697388768779,5932023.661103594,-2277.376712274455,-2390.9320904000742,-4.745744182003377,34.0,171.0,0.6666666666666666,0.0,0.9985185185185185
0.3,4,-41.09637648448128,2107.7407371853515,-43.25483639656012,-231.81659038311437,2248.3071215166124,276.3041347514181,-2328.5153866075307,6319605.691110882,-2384.4044689227767,-1441.717554817697,-2.0978318332229184,23.0,168.0,0.9333333333333333,0.0,0.9992592592592593
0.5,0,2552.410009702843,0.0,-1910.3147853538671,1291.3200416194645,3369.6392924620022,578.4352096390406,-294.17795207735367,5904333.927598566,-2193.5665454037057,-22511.353751835417,-3.2201753318241657,25.0,165.0,0.9333333333333333,0.0,0.9977777777777778
0.5,1,2867.3715299228215,0.0,-2126.5847214044434,1457.0301107048313,5890.9740780940965,452.217468090482,-373.175677389995,6544762.989622382,-2479.018484897071,-23314.14353461613,-3.3172093267911507,31.0,161.0,0.7333333333333333,0.0,0.9992592592592593
0.5,2,2095.790428264976,0.0,-1006.1892007344459,1058.711944926185,1869.3839110286456,-149.78317421793906,-438.702370816443,4479648.017524656,-1879.1448934015502,-16407.32721117109,-2.365439163760033,23.0,158.0,1.0,0.0,1.0
0.5,3,2775.259477680218,0.0,-2471.596144085362,1403.9600051783073,5245.509014862559,689.1016239527257,-347.9682303595031,6239125.05711147,-2302.3899859971666,-25344.444542873975,-4.928895526397319,33.0,160.0,0.6666666666666666,0.0,0.9977777777777778
0.5,4,2418.9282889433744,156.5506012602561,-1815.8515944290998,1207.0035333407945,3275.7664299639137,1222.4070177186072,-476.25731522093736,6128786.118879857,-2264.591901926152,-23751.009761584406,-2.821450420106193,25.0,165.0,0.9333333333333333,0.0,0.9992592592592593
0.7,0,1356.7187165186112,0.0,-683.4826764148116,683.0797606012156,973.3867441923387,-487.4961385775996,-411.6442946005316,3149228.1340680057,-1206.7070910932148,-18495.044830207586,-5.292538028209349,45.0,142.0,0.0,0.0,0.9022222222222223
