ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,703,5,10,1,80.0,900.0,480.0,0
0,0,459,5,10,3,240.0,900.0,480.0,0
0,0,616,5,10,2,160.0,900.0,480.0,0
0,1,509,5,10,6,480.0,1320.0,1120.0,0
0,1,603,5,10,6,480.0,1320.0,1120.0,0
0,1,701,5,10,2,160.0,1320.0,1120.0,0
0,2,518,5,10,6,480.0,1100.0,880.0,0
0,2,615,5,10,2,160.0,1100.0,880.0,0
0,2,665,5,10,3,240.0,1100.0,880.0,0
0,3,610,5,10,2,160.0,1120.0,880.0,0
0,3,679,5,10,2,160.0,1120.0,880.0,0
0,3,551,5,10,7,560.0,1120.0,880.0,0
0,4,601,5,10,7,560.0,1140.0,1120.0,1
0,4,575,5,10,7,560.0,1140.0,1120.0,1
0,5,608,5,10,3,240.0,920.0,880.0,1
0,5,553,5,10,8,640.0,920.0,880.0,1
0,6,516,5,10,8,640.0,940.0,640.0,1
0,7,537,5,10,8,640.0,1200.0,1120.0,1
0,7,645,5,10,6,480.0,1200.0,1120.0,1
0,8,430,5,10,9,720.0,980.0,820.0,1
0,8,313,2,0,2,100.0,980.0,820.0,1
0,9,515,5,10,9,720.0,1060.0,1040.0,1
0,9,448,5,10,4,320.0,1060.0,1040.0,1
0,10,567,5,10,9,720.0,920.0,870.0,0
0,10,291,2,0,2,100.0,920.0,870.0,0
0,10,299,2,0,1,50.0,920.0,870.0,0
0,11,586,5,10,9,720.0,950.0,920.0,0
0,11,217,2,0,1,50.0,950.0,920.0,0
0,11,256,2,0,3,150.0,950.0,920.0,0
0,12,535,5,10,10,800.0,930.0,900.0,1
0,12,263,2,0,2,100.0,930.0,900.0,1
0,13,525,5,10,11,880.0,930.0,930.0,1
0,13,337,2,0,1,50.0,930.0,930.0,1
0,14,531,5,10,11,880.0,900.0,880.0,1
1,0,703,5,10,1,80.0,900.0,480.0,0
1,0,459,5,10,3,240.0,900.0,480.0,0
1,0,616,5,10,2,160.0,900.0,480.0,0
1,1,509,5,10,6,480.0,1320.0,1120.0,0
1,1,603,5,10,6,480.0,1320.0,1120.0,0
1,1,701,5,10,2,160.0,1320.0,1120.0,0
1,2,518,5,10,6,480.0,1100.0,880.0,0
1,2,615,5,10,2,160.0,1100.0,880.0,0
1,2,665,5,10,3,240.0,1100.0,880.0,0
1,3,610,5,10,2,160.0,1120.0,880.0,0
1,3,679,5,10,2,160.0,1120.0,880.0,0
1,3,551,5,10,7,560.0,1120.0,880.0,0
1,4,601,5,10,7,560.0,1140.0,1120.0,1
1,4,575,5,10,7,560.0,1140.0,1120.0,1
1,5,608,5,10,3,240.0,920.0,880.0,1
1,5,553,5,10,8,640.0,920.0,880.0,1
1,6,516,5,10,8,640.0,940.0,640.0,1
1,7,537,5,10,8,640.0,1200.0,1120.0,1
1,7,645,5,10,6,480.0,1200.0,1120.0,1
1,8,430,5,10,9,720.0,980.0,820.0,1
1,8,313,2,0,2,100.0,980.0,820.0,1
1,9,515,5,10,9,720.0,1060.0,1040.0,1
1,9,448,5,10,4,320.0,1060.0,1040.0,1
1,10,567,5,10,9,720.0,920.0,870.0,0
1,10,291,2,0,2,100.0,920.0,870.0,0
1,10,299,2,0,1,50.0,920.0,870.0,0
1,11,586,5,10,9,720.0,950.0,920.0,0
1,11,217,2,0,1,50.0,950.0,920.0,0
1,11,256,2,0,3,150.0,950.0,920.0,0
1,12,535,5,10,10,800.0,930.0,900.0,1
1,12,263,2,0,2,100.0,930.0,900.0,1
1,13,525,5,10,11,880.0,930.0,930.0,1
1,13,337,2,0,1,50.0,930.0,930.0,1
1,14,531,5,10,11,880.0,900.0,880.0,1
2,0,703,5,10,1,80.0,900.0,480.0,0
2,0,459,5,10,3,240.0,900.0,480.0,0
2,0,616,5,10,2,160.0,900.0,480.0,0
2,1,509,5,10,6,480.0,1320.0,1120.0,0
2,1,603,5,10,6,480.0,1320.0,1120.0,0
2,1,701,5,10,2,160.0,1320.0,1120.0,0
2,2,518,5,10,6,480.0,1100.0,880.0,0
2,2,615,5,10,2,160.0,1100.0,880.0,0
2,2,665,5,10,3,240.0,1100.0,880.0,0
2,3,610,5,10,2,160.0,1120.0,880.0,0
2,3,679,5,10,2,160.0,1120.0,880.0,0
2,3,551,5,10,7,560.0,1120.0,880.0,0
2,4,601,5,10,7,560.0,1140.0,1120.0,1
2,4,575,5,10,7,560.0,1140.0,1120.0,1
2,5,608,5,10,3,240.0,920.0,880.0,1
2,5,553,5,10,8,640.0,920.0,880.0,1
2,6,516,5,10,8,640.0,940.0,640.0,1
2,7,537,5,10,8,640.0,1200.0,1120.0,1
2,7,645,5,10,6,480.0,1200.0,1120.0,1
2,8,430,5,10,9,720.0,980.0,820.0,1
2,8,313,2,0,2,100.0,980.0,820.0,1
2,9,515,5,10,9,720.0,1060.0,1040.0,1
2,9,448,5,10,4,320.0,1060.0,1040.0,1
2,10,567,5,10,9,720.0,920.0,870.0,0
2,10,291,2,0,2,100.0,920.0,870.0,0
2,10,299,2,0,1,50.0,920.0,870.0,0
2,11,586,5,10,9,720.0,950.0,920.0,0
2,11,217,2,0,1,50.0,950.0,920.0,0
2,11,256,2,0,3,150.0,950.0,920.0,0
2,12,535,5,10,10,800.0,930.0,900.0,1
2,12,263,2,0,2,100.0,930.0,900.0,1
2,13,525,5,10,11,880.0,930.0,930.0,1
2,13,337,2,0,1,50.0,930.0,930.0,1
2,14,531,5,10,11,880.0,900.0,880.0,1
3,0,703,5,10,1,80.0,900.0,480.0,0
3,0,459,5,10,3,240.0,900.0,480.0,0
3,0,616,5,10,2,160.0,900.0,480.0,0
3,1,509,5,10,6,480.0,1320.0,1120.0,0
3,1,603,5,10,6,480.0,1320.0,1120.0,0
3,1,701,5,10,2,160.0,1320.0,1120.0,0
3,2,518,5,10,6,480.0,1100.0,880.0,0
3,2,615,5,10,2,160.0,1100.0,880.0,0
3,2,665,5,10,3,240.0,1100.0,880.0,0
3,3,610,5,10,2,160.0,1120.0,880.0,0
3,3,679,5,10,2,160.0,1120.0,880.0,0
3,3,551,5,10,7,560.0,1120.0,880.0,0
3,4,601,5,10,7,560.0,1140.0,1120.0,1
3,4,575,5,10,7,560.0,1140.0,1120.0,1
3,5,608,5,10,3,240.0,920.0,880.0,1
3,5,553,5,10,8,640.0,920.0,880.0,1
3,6,516,5,10,8,640.0,940.0,640.0,1
3,7,537,5,10,8,640.0,1200.0,1120.0,1
3,7,645,5,10,6,480.0,1200.0,1120.0,1
3,8,430,5,10,9,720.0,980.0,820.0,1
3,8,313,2,0,2,100.0,980.0,820.0,1
3,9,515,5,10,9,720.0,1060.0,1040.0,1
3,9,448,5,10,4,320.0,1060.0,1040.0,1
3,10,567,5,10,9,720.0,920.0,870.0,0
3,10,291,2,0,2,100.0,920.0,870.0,0
3,10,299,2,0,1,50.0,920.0,870.0,0
3,11,586,5,10,9,720.0,950.0,920.0,0
3,11,217,2,0,1,50.0,950.0,920.0,0
3,11,256,2,0,3,150.0,950.0,920.0,0
3,12,535,5,10,10,800.0,930.0,900.0,1
3,12,263,2,0,2,100.0,930.0,900.0,1
3,13,525,5,10,11,880.0,930.0,930.0,1
3,13,337,2,0,1,50.0,930.0,930.0,1
3,14,531,5,10,11,880.0,900.0,880.0,1
4,0,703,5,10,1,80.0,900.0,480.0,0
4,0,459,5,10,3,240.0,900.0,480.0,0
4,0,616,5,10,2,160.0,900.0,480.0,0
4,1,509,5,10,6,480.0,1320.0,1120.0,0
4,1,603,5,10,6,480.0,1320.0,1120.0,0
4,1,701,5,10,2,160.0,1320.0,1120.0,0
4,2,518,5,10,6,480.0,1100.0,880.0,0
4,2,615,5,10,2,160.0,1100.0,880.0,0
4,2,665,5,10,3,240.0,1100.0,880.0,0
4,3,610,5,10,2,160.0,1120.0,880.0,0
4,3,679,5,10,2,160.0,1120.0,880.0,0
4,3,551,5,10,7,560.0,1120.0,880.0,0
4,4,601,5,10,7,560.0,1140.0,1120.0,1
4,4,575,5,10,7,560.0,1140.0,1120.0,1
4,5,608,5,10,3,240.0,920.0,880.0,1
4,5,553,5,10,8,640.0,920.0,880.0,1
4,6,516,5,10,8,640.0,940.0,640.0,1
4,7,537,5,10,8,640.0,1200.0,1120.0,1
4,7,645,5,10,6,480.0,1200.0,1120.0,1
4,8,430,5,10,9,720.0,980.0,820.0,1
4,8,313,2,0,2,100.0,980.0,820.0,1
4,9,515,5,10,9,720.0,1060.0,1040.0,1
4,9,448,5,10,4,320.0,1060.0,1040.0,1
4,10,567,5,10,9,720.0,920.0,870.0,0
4,10,291,2,0,2,100.0,920.0,870.0,0
4,10,299,2,0,1,50.0,920.0,870.0,0
4,11,586,5,10,9,720.0,950.0,920.0,0
4,11,217,2,0,1,50.0,950.0,920.0,0
4,11,256,2,0,3,150.0,950.0,920.0,0
4,12,535,5,10,10,800.0,930.0,900.0,1
4,12,263,2,0,2,100.0,930.0,900.0,1
4,13,525,5,10,11,880.0,930.0,930.0,1
4,13,337,2,0,1,50.0,930.0,930.0,1
4,14,531,5,10,11,880.0,900.0,880.0,1
