ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,297,2,3,10,900.0,900.0,900.0,1
0,1,234,2,3,8,720.0,900.0,900.0,0
0,1,265,2,3,1,90.0,900.0,900.0,0
0,1,218,2,3,1,90.0,900.0,900.0,0
0,2,231,2,3,8,720.0,900.0,900.0,0
0,2,225,2,3,1,90.0,900.0,900.0,0
0,2,241,2,3,1,90.0,900.0,900.0,0
0,3,300,2,3,9,810.0,900.0,890.0,1
0,3,337,2,3,1,80.0,900.0,890.0,1
0,4,232,2,3,7,630.0,910.0,870.0,1
0,4,298,2,3,3,240.0,910.0,870.0,1
0,5,236,2,3,11,920.0,940.0,920.0,1
0,6,251,2,3,7,630.0,920.0,890.0,0
0,6,262,2,3,2,180.0,920.0,890.0,0
0,6,217,2,3,1,80.0,920.0,890.0,0
0,7,330,2,3,7,630.0,930.0,920.0,0
0,7,295,2,3,3,240.0,930.0,920.0,0
0,7,355,3,3,1,50.0,930.0,920.0,0
0,8,257,2,3,6,480.0,910.0,890.0,0
0,8,237,2,3,4,360.0,910.0,890.0,0
0,8,343,3,3,1,50.0,910.0,890.0,0
0,9,338,2,3,5,450.0,920.0,900.0,0
0,9,266,2,3,5,400.0,920.0,900.0,0
0,9,403,3,3,1,50.0,920.0,900.0,0
0,10,280,2,3,7,560.0,920.0,890.0,0
0,10,294,2,3,3,240.0,920.0,890.0,0
0,10,309,2,3,1,90.0,920.0,890.0,0
0,11,328,2,3,7,630.0,930.0,800.0,0
0,11,290,2,3,1,90.0,930.0,800.0,0
0,11,299,2,3,1,80.0,930.0,800.0,0
0,12,301,2,3,11,990.0,1030.0,990.0,1
0,13,269,2,3,2,180.0,940.0,810.0,0
0,13,246,2,3,3,270.0,940.0,810.0,0
0,13,320,2,3,4,360.0,940.0,810.0,0
0,14,287,2,3,8,720.0,1030.0,990.0,1
0,14,334,2,3,3,270.0,1030.0,990.0,1
1,0,297,2,3,10,900.0,900.0,900.0,1
1,1,234,2,3,8,720.0,900.0,900.0,0
1,1,265,2,3,1,90.0,900.0,900.0,0
1,1,218,2,3,1,90.0,900.0,900.0,0
1,2,231,2,3,8,720.0,900.0,900.0,0
1,2,225,2,3,1,90.0,900.0,900.0,0
1,2,241,2,3,1,90.0,900.0,900.0,0
1,3,300,2,3,9,810.0,900.0,890.0,1
1,3,337,2,3,1,80.0,900.0,890.0,1
1,4,232,2,3,7,630.0,910.0,870.0,1
1,4,298,2,3,3,240.0,910.0,870.0,1
1,5,236,2,3,11,920.0,940.0,920.0,1
1,6,251,2,3,7,630.0,920.0,890.0,0
1,6,262,2,3,2,180.0,920.0,890.0,0
1,6,217,2,3,1,80.0,920.0,890.0,0
1,7,330,2,3,7,630.0,930.0,920.0,0
1,7,295,2,3,3,240.0,930.0,920.0,0
1,7,355,3,3,1,50.0,930.0,920.0,0
1,8,257,2,3,6,480.0,910.0,890.0,0
1,8,237,2,3,4,360.0,910.0,890.0,0
1,8,343,3,3,1,50.0,910.0,890.0,0
1,9,338,2,3,5,450.0,920.0,900.0,0
1,9,266,2,3,5,400.0,920.0,900.0,0
1,9,403,3,3,1,50.0,920.0,900.0,0
1,10,280,2,3,7,560.0,920.0,890.0,0
1,10,294,2,3,3,240.0,920.0,890.0,0
1,10,309,2,3,1,90.0,920.0,890.0,0
1,11,328,2,3,7,630.0,930.0,800.0,0
1,11,290,2,3,1,90.0,930.0,800.0,0
1,11,299,2,3,1,80.0,930.0,800.0,0
1,12,301,2,3,11,990.0,1030.0,990.0,1
1,13,269,2,3,2,180.0,940.0,810.0,0
1,13,246,2,3,3,270.0,940.0,810.0,0
1,13,320,2,3,4,360.0,940.0,810.0,0
1,14,287,2,3,8,720.0,1030.0,990.0,1
1,14,334,2,3,3,270.0,1030.0,990.0,1
2,0,297,2,3,10,900.0,900.0,900.0,1
2,1,234,2,3,8,720.0,900.0,900.0,0
2,1,265,2,3,1,90.0,900.0,900.0,0
2,1,218,2,3,1,90.0,900.0,900.0,0
2,2,231,2,3,8,720.0,900.0,900.0,0
2,2,225,2,3,1,90.0,900.0,900.0,0
2,2,241,2,3,1,90.0,900.0,900.0,0
2,3,300,2,3,9,810.0,900.0,890.0,1
2,3,337,2,3,1,80.0,900.0,890.0,1
2,4,232,2,3,7,630.0,910.0,870.0,1
2,4,298,2,3,3,240.0,910.0,870.0,1
2,5,236,2,3,11,920.0,940.0,920.0,1
2,6,251,2,3,7,630.0,920.0,890.0,0
2,6,262,2,3,2,180.0,920.0,890.0,0
2,6,217,2,3,1,80.0,920.0,890.0,0
2,7,330,2,3,7,630.0,930.0,920.0,0
2,7,295,2,3,3,240.0,930.0,920.0,0
2,7,355,3,3,1,50.0,930.0,920.0,0
2,8,257,2,3,6,480.0,910.0,890.0,0
2,8,237,2,3,4,360.0,910.0,890.0,0
2,8,343,3,3,1,50.0,910.0,890.0,0
2,9,338,2,3,5,450.0,920.0,900.0,0
2,9,266,2,3,5,400.0,920.0,900.0,0
2,9,403,3,3,1,50.0,920.0,900.0,0
