Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire,年,策略
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pressure
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,pressure
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,760.0,0.0,2,pressure
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360.0,0.0,3,pressure
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2060.0,0.0,4,pressure
0.0,0.0,0.0,0.0,0.0,0.0,0.0,83699.99999999999,0.0,1680.0,1.0,5,pressure
0.0,0.0,0.0,0.0,0.0,0.0,0.0,750200.0000000001,0.0,1080.0,2.0,6,pressure
0.0,0.0,0.0,0.0,0.0,0.0,0.0,390900.0,0.0,1840.0,2.0,7,pressure
0.0,0.0,0.0,0.0,0.0,0.0,0.0,334799.99999999994,0.0,3820.0,0.0,8,pressure
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3840.0,1.0,9,pressure
0.0,0.0,0.0,0.0,0.0,0.0,0.0,272800.0,0.0,3300.0,1.0,10,pressure
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1581800.0,0.0,1620.0,2.0,11,pressure
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1284300.0,0.0,920.0,1.0,12,pressure
108.96488365862751,242.89378219901118,0.0,40.0,124.25394917232916,40.0,-65.67999999993481,545600.0,160.0,920.0,2.0,13,pressure
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3120.0,1.0,14,pressure
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,floor
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,floor
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,floor
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,3,floor
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3080.0,0.0,4,floor
1108.807338242652,-2220.4992658798583,0.0,870.0,-2228.2732566983905,870.0,770.0640000002459,2024200.0000000002,870.0,8120.0,1.0,5,floor
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1909600.0,0.0,8020.0,2.0,6,floor
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3576000.0,0.0,5700.0,0.0,7,floor
940.2725983437267,-2065.056355008157,0.0,750.0,-2073.605041802977,750.0,-125.66400000010617,5480500.0,750.0,880.0,1.0,8,floor
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3940.0,1.0,9,floor
0.0,0.0,-600.0,0.0,28.301808103802614,-476.0,156.28799999994226,1788000.0,300.0,5760.0,0.0,10,floor
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1639000.0,0.0,5540.0,0.0,11,floor
897.38600571797,-1550.2945099233184,-60.0,720.0,-1566.5663839868503,656.0,-1776.46399999992,8266200.0,990.0,2480.0,2.0,12,floor
0.0,0.0,240.0,0.0,-2.914974834304303,206.39999999996508,8.767999999923632,3203500.0,200.0,320.0,3.0,13,floor
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4300.0,2.0,14,floor
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,random
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,random
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,random
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1580.0,0.0,3,random
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2640.0,0.0,4,random
384.37984782320564,-1087.7429546669591,0.0,390.0,-1092.1549926913576,390.0,-1350.4799999999814,907400.0000000001,390.0,2800.0,1.0,5,random
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1159400.0,0.0,1220.0,1.0,6,random
383.3429331552761,-833.4324565213174,-420.0,300.0,-834.6474513685098,124.0,-555.8719999999739,2486000.0,510.0,880.0,2.0,7,random
531.1560814618133,-1254.9224172142567,0.0,450.0,-1260.0367352090543,450.0,-1541.2639999999665,2290100.0,450.0,160.0,0.0,8,random
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1340.0,0.0,9,random
0.0,0.0,0.0,0.0,0.0,0.0,0.0,886600.0,0.0,1580.0,0.0,10,random
430.60477363935206,-1152.2058356315829,0.0,420.0,-1156.9940692017553,420.0,-1432.3199999998324,1060900.0,420.0,1420.0,2.0,11,random
937.2443830998382,-2161.338223148603,0.0,780.0,-2113.668888641172,772.7999999999884,-2357.5520000001416,3178800.0,780.0,1700.0,1.0,12,random
262.74490468157455,-762.7436919896863,0.0,270.0,-765.8450544403167,270.0,-1059.839999999851,2196800.0,270.0,1940.0,1.0,13,random
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2420.0,0.0,14,random
