ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,297,2,3,10,900.0,900.0,900.0,1
0,1,332,2,3,10,900.0,900.0,900.0,1
0,2,239,2,3,10,890.0,900.0,890.0,1
0,3,311,2,3,10,900.0,910.0,900.0,1
0,4,255,2,3,10,900.0,910.0,900.0,1
0,5,283,2,3,11,900.0,910.0,900.0,1
0,6,300,2,3,9,810.0,910.0,900.0,1
0,6,265,2,3,1,90.0,910.0,900.0,1
0,7,288,2,3,9,810.0,910.0,900.0,1
0,7,218,2,3,1,90.0,910.0,900.0,1
0,8,149,1,3,10,900.0,910.0,900.0,1
0,9,332,2,3,10,900.0,910.0,900.0,1
0,10,239,2,3,10,890.0,910.0,890.0,1
0,11,236,2,3,11,920.0,920.0,920.0,1
0,12,311,2,3,10,900.0,900.0,900.0,1
0,13,221,2,3,10,820.0,900.0,900.0,1
0,13,337,2,3,1,80.0,900.0,900.0,1
0,14,234,2,3,8,720.0,900.0,900.0,1
0,14,262,2,3,2,180.0,900.0,900.0,1
1,0,297,2,3,10,900.0,900.0,900.0,1
1,1,332,2,3,10,900.0,900.0,900.0,1
1,2,239,2,3,10,890.0,900.0,890.0,1
1,3,311,2,3,10,900.0,910.0,900.0,1
1,4,255,2,3,10,900.0,910.0,900.0,1
1,5,283,2,3,11,900.0,910.0,900.0,1
1,6,300,2,3,9,810.0,910.0,900.0,1
1,6,265,2,3,1,90.0,910.0,900.0,1
1,7,288,2,3,9,810.0,910.0,900.0,1
1,7,218,2,3,1,90.0,910.0,900.0,1
1,8,149,1,3,10,900.0,910.0,900.0,1
1,9,221,2,3,10,820.0,910.0,910.0,1
1,9,225,2,3,1,90.0,910.0,910.0,1
1,10,239,2,3,10,890.0,900.0,890.0,1
1,11,234,2,3,8,720.0,910.0,900.0,1
1,11,262,2,3,2,180.0,910.0,900.0,1
1,12,231,2,3,8,720.0,910.0,900.0,1
1,12,269,2,3,2,180.0,910.0,900.0,1
1,13,283,2,3,11,900.0,910.0,900.0,1
1,14,278,2,3,10,800.0,910.0,890.0,1
1,14,265,2,3,1,90.0,910.0,890.0,1
2,0,297,2,3,10,900.0,900.0,900.0,1
2,1,332,2,3,10,900.0,900.0,900.0,1
2,2,239,2,3,10,890.0,900.0,890.0,1
2,3,311,2,3,10,900.0,910.0,900.0,1
2,4,255,2,3,10,900.0,910.0,900.0,1
2,5,283,2,3,11,900.0,910.0,900.0,1
2,6,300,2,3,9,810.0,910.0,900.0,1
2,6,265,2,3,1,90.0,910.0,900.0,1
2,7,288,2,3,9,810.0,910.0,900.0,1
2,7,218,2,3,1,90.0,910.0,900.0,1
2,8,297,2,3,10,900.0,910.0,900.0,1
2,9,221,2,3,10,820.0,910.0,910.0,1
2,9,225,2,3,1,90.0,910.0,910.0,1
2,10,149,1,3,10,900.0,900.0,900.0,1
2,11,311,2,3,10,900.0,900.0,900.0,1
2,12,234,2,3,8,720.0,900.0,900.0,1
2,12,262,2,3,2,180.0,900.0,900.0,1
2,13,231,2,3,8,720.0,900.0,900.0,1
2,13,269,2,3,2,180.0,900.0,900.0,1
2,14,278,2,3,10,800.0,900.0,890.0,1
2,14,241,2,3,1,90.0,900.0,890.0,1
3,0,297,2,3,10,900.0,900.0,900.0,1
3,1,332,2,3,10,900.0,900.0,900.0,1
3,2,239,2,3,10,890.0,900.0,890.0,1
3,3,311,2,3,10,900.0,910.0,900.0,1
3,4,255,2,3,10,900.0,910.0,900.0,1
3,5,283,2,3,11,900.0,910.0,900.0,1
3,6,300,2,3,9,810.0,910.0,900.0,1
3,6,265,2,3,1,90.0,910.0,900.0,1
3,7,288,2,3,9,810.0,910.0,900.0,1
3,7,218,2,3,1,90.0,910.0,900.0,1
3,8,149,1,3,10,900.0,910.0,900.0,1
3,9,332,2,3,10,900.0,910.0,900.0,1
3,10,221,2,3,10,820.0,910.0,910.0,1
3,10,225,2,3,1,90.0,910.0,910.0,1
3,11,234,2,3,8,720.0,900.0,900.0,1
3,11,262,2,3,2,180.0,900.0,900.0,1
3,12,255,2,3,10,900.0,900.0,900.0,1
3,13,231,2,3,8,720.0,900.0,900.0,1
3,13,269,2,3,2,180.0,900.0,900.0,1
3,14,278,2,3,10,800.0,900.0,890.0,1
3,14,241,2,3,1,90.0,900.0,890.0,1
4,0,297,2,3,10,900.0,900.0,900.0,1
4,1,332,2,3,10,900.0,900.0,900.0,1
4,2,239,2,3,10,890.0,900.0,890.0,1
4,3,311,2,3,10,900.0,910.0,900.0,1
4,4,255,2,3,10,900.0,910.0,900.0,1
4,5,283,2,3,11,900.0,910.0,900.0,1
4,6,300,2,3,9,810.0,910.0,900.0,1
4,6,265,2,3,1,90.0,910.0,900.0,1
4,7,288,2,3,9,810.0,910.0,900.0,1
4,7,218,2,3,1,90.0,910.0,900.0,1
4,8,297,2,3,10,900.0,910.0,900.0,1
4,9,332,2,3,10,900.0,910.0,900.0,1
4,10,221,2,3,10,820.0,910.0,910.0,1
4,10,225,2,3,1,90.0,910.0,910.0,1
4,11,149,1,3,10,900.0,900.0,900.0,1
4,12,255,2,3,10,900.0,900.0,900.0,1
4,13,234,2,3,8,720.0,900.0,900.0,1
4,13,262,2,3,2,180.0,900.0,900.0,1
4,14,300,2,3,9,810.0,900.0,900.0,1
4,14,265,2,3,1,90.0,900.0,900.0,1
