ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,100,1,3,1,90.0,900.0,450.0,0
0,0,197,1,3,2,180.0,900.0,450.0,0
0,0,101,1,3,2,180.0,900.0,450.0,0
0,1,65,1,3,2,180.0,1350.0,540.0,0
0,1,201,1,3,1,90.0,1350.0,540.0,0
0,1,99,1,3,3,270.0,1350.0,540.0,0
0,2,35,1,3,1,90.0,1710.0,360.0,0
0,2,34,1,3,2,180.0,1710.0,360.0,0
0,2,81,1,3,1,90.0,1710.0,360.0,0
0,3,214,1,3,1,90.0,2250.0,540.0,0
0,3,20,1,3,2,180.0,2250.0,540.0,0
0,3,216,1,3,3,270.0,2250.0,540.0,0
0,4,112,1,3,3,270.0,2610.0,1290.0,0
0,4,133,1,3,5,450.0,2610.0,1290.0,0
0,4,144,1,3,6,570.0,2610.0,1290.0,0
0,5,66,1,3,4,360.0,2220.0,1350.0,0
0,5,105,1,3,6,540.0,2220.0,1350.0,0
0,5,63,1,3,5,450.0,2220.0,1350.0,0
0,6,75,1,3,5,450.0,1770.0,1650.0,0
0,6,209,1,3,6,570.0,1770.0,1650.0,0
0,6,200,1,3,7,630.0,1770.0,1650.0,0
0,7,103,1,3,6,540.0,1020.0,690.0,0
0,7,385,3,3,1,50.0,1020.0,690.0,0
0,7,380,3,3,2,100.0,1020.0,690.0,0
0,8,113,1,3,7,630.0,1230.0,1220.0,0
0,8,79,1,3,6,540.0,1230.0,1220.0,0
0,8,340,3,3,1,50.0,1230.0,1220.0,0
0,9,204,1,3,6,570.0,910.0,770.0,0
0,9,399,3,3,2,100.0,910.0,770.0,0
0,9,361,3,3,2,100.0,910.0,770.0,0
0,10,53,1,3,6,540.0,1040.0,640.0,0
0,10,396,3,3,1,50.0,1040.0,640.0,0
0,10,342,3,3,1,50.0,1040.0,640.0,0
0,11,216,1,3,3,270.0,1300.0,890.0,0
0,11,215,1,3,6,570.0,1300.0,890.0,0
0,11,374,3,3,1,50.0,1300.0,890.0,0
0,12,112,1,3,3,270.0,1310.0,940.0,0
0,12,144,1,3,6,570.0,1310.0,940.0,0
0,12,397,3,3,2,100.0,1310.0,940.0,0
0,13,66,1,3,4,360.0,1270.0,1040.0,0
0,13,145,1,3,7,630.0,1270.0,1040.0,0
0,13,411,3,3,1,50.0,1270.0,1040.0,0
0,14,8,1,3,6,540.0,1130.0,1130.0,0
0,14,30,1,3,6,540.0,1130.0,1130.0,0
0,14,362,3,3,1,50.0,1130.0,1130.0,0
1,0,100,1,3,1,90.0,900.0,450.0,0
1,0,197,1,3,2,180.0,900.0,450.0,0
1,0,101,1,3,2,180.0,900.0,450.0,0
1,1,65,1,3,2,180.0,1350.0,540.0,0
1,1,201,1,3,1,90.0,1350.0,540.0,0
1,1,99,1,3,3,270.0,1350.0,540.0,0
1,2,35,1,3,1,90.0,1710.0,360.0,0
1,2,34,1,3,2,180.0,1710.0,360.0,0
1,2,81,1,3,1,90.0,1710.0,360.0,0
1,3,214,1,3,1,90.0,2250.0,540.0,0
1,3,20,1,3,2,180.0,2250.0,540.0,0
1,3,216,1,3,3,270.0,2250.0,540.0,0
1,4,112,1,3,3,270.0,2610.0,1290.0,0
