ep,year,unit,channel,target,n_cells,cost,budget_before,spent,stopped
0,0,234,2,3,8,720.0,900.0,900.0,0
0,0,265,2,3,1,90.0,900.0,900.0,0
0,0,218,2,3,1,90.0,900.0,900.0,0
0,1,231,2,3,8,720.0,900.0,900.0,0
0,1,225,2,3,1,90.0,900.0,900.0,0
0,1,241,2,3,1,90.0,900.0,900.0,0
0,2,232,2,3,7,630.0,900.0,900.0,0
0,2,262,2,3,2,180.0,900.0,900.0,0
0,2,309,2,3,1,90.0,900.0,900.0,0
0,3,251,2,3,7,630.0,900.0,900.0,1
0,3,246,2,3,3,270.0,900.0,900.0,1
0,4,297,2,3,10,900.0,900.0,900.0,1
0,5,300,2,3,9,810.0,900.0,900.0,1
0,5,290,2,3,1,90.0,900.0,900.0,1
0,6,330,2,3,7,630.0,900.0,870.0,1
0,6,298,2,3,3,240.0,900.0,870.0,1
0,7,332,2,3,10,900.0,930.0,900.0,1
0,8,239,2,3,10,890.0,930.0,890.0,1
0,9,231,2,3,8,720.0,940.0,900.0,0
0,9,218,2,3,1,90.0,940.0,900.0,0
0,9,241,2,3,1,90.0,940.0,900.0,0
0,10,287,2,3,8,720.0,940.0,900.0,1
0,10,269,2,3,2,180.0,940.0,900.0,1
0,11,338,2,3,5,450.0,940.0,890.0,0
0,11,237,2,3,4,360.0,940.0,890.0,0
0,11,337,2,3,1,80.0,940.0,890.0,0
0,12,236,2,3,11,920.0,950.0,920.0,1
0,13,307,2,3,8,720.0,930.0,900.0,1
0,13,289,2,3,2,180.0,930.0,900.0,1
0,14,328,2,3,7,630.0,930.0,900.0,1
0,14,334,2,3,3,270.0,930.0,900.0,1
1,0,234,2,3,8,720.0,900.0,900.0,0
1,0,265,2,3,1,90.0,900.0,900.0,0
1,0,218,2,3,1,90.0,900.0,900.0,0
1,1,231,2,3,8,720.0,900.0,900.0,0
1,1,225,2,3,1,90.0,900.0,900.0,0
1,1,241,2,3,1,90.0,900.0,900.0,0
1,2,232,2,3,7,630.0,900.0,900.0,0
1,2,262,2,3,2,180.0,900.0,900.0,0
1,2,309,2,3,1,90.0,900.0,900.0,0
1,3,251,2,3,7,630.0,900.0,900.0,1
1,3,246,2,3,3,270.0,900.0,900.0,1
1,4,297,2,3,10,900.0,900.0,900.0,1
1,5,300,2,3,9,810.0,900.0,900.0,1
1,5,290,2,3,1,90.0,900.0,900.0,1
1,6,330,2,3,7,630.0,900.0,870.0,1
1,6,298,2,3,3,240.0,900.0,870.0,1
1,7,332,2,3,10,900.0,930.0,900.0,1
1,8,239,2,3,10,890.0,930.0,890.0,1
1,9,231,2,3,8,720.0,940.0,900.0,1
1,9,269,2,3,2,180.0,940.0,900.0,1
1,10,232,2,3,7,630.0,940.0,800.0,0
1,10,309,2,3,1,90.0,940.0,800.0,0
1,10,337,2,3,1,80.0,940.0,800.0,0
1,11,301,2,3,11,990.0,1040.0,1040.0,1
1,11,355,3,3,1,50.0,1040.0,1040.0,1
1,12,287,2,3,8,720.0,900.0,900.0,1
1,12,289,2,3,2,180.0,900.0,900.0,1
