,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
big_s0,2259.9092478128428,-942.4495112943546,999.0595896446796,640.1207550143663,-468.835768064319,154.7773690672471,-2567.1610529598124,37512059.923416205,-9331.132593532897,-24713.109049619972,-5.925953185612705
big_s1,4649.89467163701,310.47609316971466,-33.200754127855916,1372.5645786695995,931.4207016878627,186.74154171689682,-2257.118812288827,46380481.102026075,-12709.887707123116,-35739.64033565112,-5.324914043836693
big_s2,4439.135472654915,837.6270263540393,-982.04480158181,1302.8002143129495,2565.5075563653268,707.5323018603169,-2485.182007356173,46807020.197778694,-11181.912194915605,-30770.66651309921,-5.3829437204376935
big_s3,4558.598385233765,357.3427641488777,-1529.0372789815415,1547.0239529701885,1719.2252023124622,1827.8032823292672,-1568.3128096410956,41426680.68617066,-10360.113882246216,-27175.4551833245,-6.180196805059431
big_s4,3051.4671659908117,-695.1401735960185,-928.9013541291288,1274.8243171168383,-282.373709995181,400.06493118737865,-1294.648286629099,33651749.73519033,-7000.127086740377,-23464.277861469127,-7.367570276693921
small_s0,10.724044025384773,-24.90240885660301,0.0,8.759670730163172,-25.001377834741263,-8.759670730163172,-39.87402116371907,4888836.203978985,-700.7403263748815,-25243.714665989995,-8.210952869646299
small_s1,12.507997113730601,-29.04494399370522,0.0,10.216848788643444,-29.16037653855229,-10.216848788643444,-46.50709568592399,4484445.310111836,-660.4757135354286,-21082.973192401874,-9.192251410810162
small_s2,10.724044025384773,-24.90240885660301,0.0,8.759670730163172,-25.001377834741263,-8.759670730163172,-39.87402116371907,5500869.305727796,-748.1038158464007,-24248.174413218767,-7.776056150435459
small_s3,12.507997113730601,-29.04494399370522,0.0,10.216848788643444,-29.16037653855229,-10.216848788643444,-46.50709568592399,4378137.440708095,-637.5461951835221,-22370.15109206492,-10.062859804715682
small_s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650896.283192082,-532.7601180921998,-19228.72861491501,-12.540328318392083
rand_s0,743.5950602214673,-2436.015663871176,2192.021544996258,40.91229837272007,-2631.0232152694557,449.70321964919344,-8611.933392932948,52937200.72939403,-12914.777313491215,-23261.438573461295,-7.793159627597371
rand_s1,-23.612817994132314,2248.2207397781976,1222.5224049810472,-795.8629694343064,2770.074863470709,94.14818219993575,-4118.299561839666,40338055.79630739,-9767.826267594985,-37209.91505225601,-8.492995328144872
rand_s2,2216.9921281732436,-1041.301869382727,-598.6311155761111,1112.5493756118994,-1114.6409401650842,298.78456149248757,-3372.6297610953407,49184051.41072971,-11614.124284310472,-48906.77670957631,-8.0789141495525
rand_s3,781.5102712419905,-291.8434297273982,1561.4822392920357,-214.3993568900883,137.87182982502299,1521.2592927155877,-6491.883195215667,43300304.20043653,-10656.197147661218,-35164.26958552982,-9.99952332949604
rand_s4,3044.8887539072393,56.10824425421538,98.94429086090466,1138.7109055952085,1507.8720110266834,-777.8453526352923,-4966.635914689511,35692223.361407764,-9327.339247082122,-31998.762115537436,-11.934601361705576
none_s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eco_s0,-1358.7922807508953,10241.81838026993,136.51202214635032,-1534.63321276786,9916.96788904845,1539.671776327589,-6036.9745480972815,43815871.5164704,-11795.418470285753,-6982.449510922659,-7.080088535758842
eco_s1,-1411.2257918152084,11042.825671317887,151.25985833390618,-1638.1399865651558,10643.82264981138,1628.1573559013593,-7572.738914065877,43651989.2701921,-12466.969688527384,-6638.918686930766,-8.377256961087774
eco_s2,-1835.9268792220835,12392.475383033054,518.8510543732253,-2089.7864762226864,12088.400215957072,2087.0727167899254,-7418.886238562853,53554729.60509056,-14359.884076035283,-5865.669040191285,-5.077981129135833
eco_s3,-1191.0261170090419,6989.728660627796,546.1590046033951,-1326.3701425619508,6639.3681811749575,1323.5135536853606,-6278.484480930691,34308238.07071792,-8125.060769862912,-5497.9786279011705,-8.712842844727717
eco_s4,-1170.2015393235504,7850.738998400238,351.22108158410873,-1315.3760154458887,7210.71107111858,1143.864030304531,-5629.695325027712,36232989.137195125,-8978.036059699627,-8536.494788875356,-9.68089873836459
gdp_s0,14264.323939436039,0.0,-11595.255142873088,7185.54393155871,509.39698140643793,4324.694452782725,-1103.9046613505132,45570132.95143941,-12061.259553123298,-69470.41789590384,-7.0039563237433216
gdp_s1,12890.257911368635,0.0,-11035.41883606531,6494.855810441782,440.4537223975793,4408.413513763929,-1148.1716194936678,44652946.33034919,-10793.681059838576,-64359.377031039054,-7.963148854760943
gdp_s2,16828.922292175634,0.0,-13838.842906976795,8483.02100049393,617.143789052183,5859.585628700369,-1582.413730610495,57397666.3345444,-14186.280649760625,-77645.54098908383,-4.396402136149308
gdp_s3,15787.422386282266,0.0,-12470.691163022966,7956.481606027343,586.592029917421,4088.82084845937,-1228.101663652766,47888789.48918019,-13304.082577815701,-72578.80742023252,-7.890364661014517
gdp_s4,13028.05046745824,0.0,-9934.88404112515,6568.201787975342,523.5436609926437,2794.701685676273,-1244.9013107799722,41876592.96923316,-11111.013896631559,-53620.96098534006,-9.459207570294303
res_s0,-2091.801132687959,-247.84553580869985,6874.234161719551,-1836.9629236180235,-1002.2433193336964,-1869.7293627408455,-1565.7656799659608,41929611.950746894,-13325.076984357576,-32192.208564308457,-5.630171082672812
res_s1,-1283.690841890318,-1072.099821817263,6185.777447944456,-1174.2390429153827,-1621.4564441317082,-1794.005671114349,-1529.4177827667695,39476466.75128159,-11782.286069633732,-34087.89260565479,-6.116515871031792
res_s2,-2588.3008486599574,1173.385346247713,6779.757687483653,-2185.3892930351954,138.45859590353746,-2228.3056859742805,-824.5441488717097,46525382.599996634,-12938.475441749408,-35089.75090671875,-4.7712785358803576
res_s3,-2449.1094765258235,1084.1020679717878,6439.2101298848365,-2069.460254975465,123.21868764151057,-2152.897031449329,-847.1901252861983,43949554.02032621,-12262.362543838204,-34138.022485776586,-6.283952284432415
res_s4,-1692.426247611266,-68.34268064624388,5632.684963428208,-1481.0332623374384,-724.9748430958248,-1385.1227641948367,-1903.6397426499855,41602257.91565657,-10747.504691777269,-20191.978336251123,-7.324273849803216
emp_s0,14264.323939436039,0.0,-11595.255142873088,7185.54393155871,509.39698140643793,4324.694452782725,-1103.9046613505132,45570132.95143941,-12061.259553123298,-69470.41789590384,-7.0039563237433216
emp_s1,12890.257911368635,0.0,-11035.41883606531,6494.855810441782,440.4537223975793,4408.413513763929,-1148.1716194936678,44652946.33034919,-10793.681059838576,-64359.377031039054,-7.963148854760943
emp_s2,16828.922292175634,0.0,-13838.842906976795,8483.02100049393,617.143789052183,5859.585628700369,-1582.413730610495,57397666.3345444,-14186.280649760625,-77645.54098908383,-4.396402136149308
emp_s3,15787.422386282266,0.0,-12470.691163022966,7956.481606027343,586.592029917421,4088.82084845937,-1228.101663652766,47888789.48918019,-13304.082577815701,-72578.80742023252,-7.890364661014517
emp_s4,13028.05046745824,0.0,-9934.88404112515,6568.201787975342,523.5436609926437,2794.701685676273,-1244.9013107799722,41876592.96923316,-11111.013896631559,-53620.96098534006,-9.459207570294303
cpt_s0,-1635.5565439989518,4276.586997608424,339.13322394531076,-1797.5391738671603,2178.2837041346866,-743.1627900303635,2943.5990587540186,39764878.77320856,-10000.476322684312,-61976.73849968014,-9.31581491223099
cpt_s1,-3195.6004188072884,4623.620413886923,1993.3231085113337,-3188.433846060815,1694.1849993515634,-1334.1458975569178,2790.210413033134,45934264.08496795,-11491.752826113732,-67351.20582177879,-9.615251672659003
cpt_s2,-3838.759889884828,6223.16020084951,1113.5591799704687,-3438.512731767847,3373.5166217974834,-320.4970947642009,3439.0458622967876,51890398.79315626,-13715.725492061823,-70683.06523161173,-7.6674795751807325
cpt_s3,-1979.8835118167967,5190.312590105634,191.62724551784834,-2130.212437237055,3720.0973057172873,502.1240546363206,2876.2296803979634,45560670.0561209,-11730.368004538084,-48172.33290207695,-10.255039205954844
