,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
big_s0,1929.652179627116,-1418.4600268513163,600.3347651929212,572.9103284964901,-959.3428133483916,571.4207380443745,-2331.1156426053944,33348276.021077055,-8774.535959911607,-24439.652592548144,-7.665944595792119
big_s1,5894.757152268141,-213.89378663114087,-1326.792754922065,2021.9557814411842,484.45457501579057,461.1457496647463,-2963.326261840578,55163681.87378161,-13562.107027068501,-34702.70962756925,-5.29206541296131
big_s2,3955.2301168607337,-1219.5119453784775,674.4190289015119,1141.995561459083,-123.58211114018572,242.78919876301796,-3379.423073027441,56420428.912257805,-13751.958036437705,-32770.868519493095,-4.881854314451449
big_s3,4018.2435516467413,-360.28592773185113,110.6237285042298,1227.4980984634742,760.094599448094,282.75844041140414,-2507.1266674210046,48148499.734367765,-12241.029245350252,-31399.735016103907,-5.429068839316573
big_s4,4384.102430817749,1672.6527888817707,-1745.3480288420412,1425.7102949774053,3305.1374165566053,882.3316576646318,-1914.7756495422368,39509173.37350262,-8764.409564571928,-31934.3456208564,-7.091048699089259
small_s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15842308.8482318,-2004.7854733974766,-63902.97138010293,-17.34379824955355
small_s1,17.015555841727327,-39.51199076486918,0.0,13.89873690479259,-39.669022214024366,-13.89873690479259,-63.267050390641764,19928881.757810116,-2376.2821134515343,-67380.41649217559,-14.210981084242512
small_s2,17.015555841727327,-39.51199076486918,0.0,13.89873690479259,-39.669022214024366,-13.89873690479259,-63.267050390641764,20091208.62438897,-2441.5912694149256,-71478.75093335006,-12.024606831143128
small_s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16097884.309574265,-2043.3330365102802,-58973.35977899796,-17.44367242115053
small_s4,17.911111412344553,-41.59156922617809,0.0,14.630249373465887,-41.7568654884467,-14.630249373465887,-66.59689514804397,16066270.697772903,-1952.4906261057995,-57515.59026318153,-18.84781045518657
