,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
big_s0,7458.1105045945715,139.43726931402188,-139.0753821316904,2204.7022300004755,1933.3613116491076,620.9169712042443,-3815.781239727202,16958732.823346425,-20237.172651400335,-51299.89411995896,0.0
big_s1,7458.1105045945715,139.43726931402188,-139.0753821316904,2204.7022300004755,1933.3613116491076,620.9169712042443,-3815.781239727202,16958732.823346425,-20237.172651400335,-51299.89411995896,0.0
big_s2,7458.1105045945715,139.43726931402188,-139.0753821316904,2204.7022300004755,1933.3613116491076,620.9169712042443,-3815.781239727202,16958732.823346425,-20237.172651400335,-51299.89411995896,0.0
big_s3,7458.1105045945715,139.43726931402188,-139.0753821316904,2204.7022300004755,1933.3613116491076,620.9169712042443,-3815.781239727202,16958732.823346425,-20237.172651400335,-51299.89411995896,0.0
big_s4,7458.1105045945715,139.43726931402188,-139.0753821316904,2204.7022300004755,1933.3613116491076,620.9169712042443,-3815.781239727202,16958732.823346425,-20237.172651400335,-51299.89411995896,0.0
small_s0,12.507997113730601,-29.04494399370522,0.0,10.216848788643444,-29.16037653855229,-10.216848788643444,-46.50709568592399,1781745.8250339369,-1151.6561834631705,-38261.275003694755,0.0
small_s1,12.507997113730601,-29.04494399370522,0.0,10.216848788643444,-29.16037653855229,-10.216848788643444,-46.50709568592399,1781745.8250339369,-1151.6561834631705,-38261.275003694755,0.0
small_s2,12.507997113730601,-29.04494399370522,0.0,10.216848788643444,-29.16037653855229,-10.216848788643444,-46.50709568592399,1781745.8250339369,-1151.6561834631705,-38261.275003694755,0.0
small_s3,12.507997113730601,-29.04494399370522,0.0,10.216848788643444,-29.16037653855229,-10.216848788643444,-46.50709568592399,1781745.8250339369,-1151.6561834631705,-38261.275003694755,0.0
small_s4,12.507997113730601,-29.04494399370522,0.0,10.216848788643444,-29.16037653855229,-10.216848788643444,-46.50709568592399,1781745.8250339369,-1151.6561834631705,-38261.275003694755,0.0
rand_s0,883.2512143143509,-3081.344052277403,3832.7775108256774,-285.75000541794344,-2690.280285429305,976.798784773229,-12697.035770152599,17266526.768820472,-19494.764044195203,-46668.56664769655,0.0
rand_s1,-671.2128606870158,3815.469912595797,3393.291086782159,-1985.0301676164909,4373.618653088504,615.2339554697136,-7554.798631078972,16005622.850920912,-17663.774663418983,-50162.7269831587,0.0
rand_s2,2616.394432124053,-2967.507056623649,867.5844273049227,1066.2106142540895,-2550.6819646125223,-142.91969671097763,-7502.443969326078,18166296.220797334,-19424.31594050809,-68690.09625481741,0.0
rand_s3,1986.3642911636157,-395.0933672136061,1835.2407422255174,110.84256351072028,-97.1396473661627,2407.45512865142,-9686.739328667916,15648606.362844383,-17478.88314663025,-68036.97549921637,0.0
rand_s4,4227.958170680157,299.85985687050277,685.3071488595297,1293.368605197538,2119.1039379794697,-357.68451707757464,-10245.157513338154,17106475.196346346,-19057.09318795771,-48955.53667626974,0.0
none_s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eco_s0,-2523.96629448978,17650.461383374724,590.428253464159,-2860.4637859071704,16804.077409739413,2730.0205908213384,-11535.115572247245,17613086.548336037,-20234.566966536066,-13130.486035082999,0.0
eco_s1,-2523.96629448978,17650.461383374724,590.428253464159,-2860.4637859071704,16804.077409739413,2730.0205908213384,-11535.115572247245,17613086.548336037,-20234.566966536066,-13130.486035082999,0.0
eco_s2,-2523.96629448978,17650.461383374724,590.428253464159,-2860.4637859071704,16804.077409739413,2730.0205908213384,-11535.115572247245,17613086.548336037,-20234.566966536066,-13130.486035082999,0.0
eco_s3,-2523.96629448978,17650.461383374724,590.428253464159,-2860.4637859071704,16804.077409739413,2730.0205908213384,-11535.115572247245,17613086.548336037,-20234.566966536066,-13130.486035082999,0.0
eco_s4,-2523.96629448978,17650.461383374724,590.428253464159,-2860.4637859071704,16804.077409739413,2730.0205908213384,-11535.115572247245,17613086.548336037,-20234.566966536066,-13130.486035082999,0.0
gdp_s0,23938.242913656857,0.0,-19355.39370478643,12068.410237491393,878.9331269988288,5995.5049750818525,-2000.9431669033306,18156584.447029803,-20234.405704711746,-109537.25752574831,0.0
gdp_s1,23938.242913656857,0.0,-19355.39370478643,12068.410237491393,878.9331269988288,5995.5049750818525,-2000.9431669033306,18156584.447029803,-20234.405704711746,-109537.25752574831,0.0
gdp_s2,23938.242913656857,0.0,-19355.39370478643,12068.410237491393,878.9331269988288,5995.5049750818525,-2000.9431669033306,18156584.447029803,-20234.405704711746,-109537.25752574831,0.0
gdp_s3,23938.242913656857,0.0,-19355.39370478643,12068.410237491393,878.9331269988288,5995.5049750818525,-2000.9431669033306,18156584.447029803,-20234.405704711746,-109537.25752574831,0.0
gdp_s4,23938.242913656857,0.0,-19355.39370478643,12068.410237491393,878.9331269988288,5995.5049750818525,-2000.9431669033306,18156584.447029803,-20234.405704711746,-109537.25752574831,0.0
res_s0,-2926.5075684494914,-253.51314188477795,10662.054390108966,-2560.506372594152,-1318.027792967997,-3379.225914639502,-2389.9811654276587,15701504.737462282,-20221.637975373575,-49208.83492395159,0.0
res_s1,-2926.5075684494914,-253.51314188477795,10662.054390108966,-2560.506372594152,-1318.027792967997,-3379.225914639502,-2389.9811654276587,15701504.737462282,-20221.637975373575,-49208.83492395159,0.0
res_s2,-2926.5075684494914,-253.51314188477795,10662.054390108966,-2560.506372594152,-1318.027792967997,-3379.225914639502,-2389.9811654276587,15701504.737462282,-20221.637975373575,-49208.83492395159,0.0
res_s3,-2926.5075684494914,-253.51314188477795,10662.054390108966,-2560.506372594152,-1318.027792967997,-3379.225914639502,-2389.9811654276587,15701504.737462282,-20221.637975373575,-49208.83492395159,0.0
res_s4,-2926.5075684494914,-253.51314188477795,10662.054390108966,-2560.506372594152,-1318.027792967997,-3379.225914639502,-2389.9811654276587,15701504.737462282,-20221.637975373575,-49208.83492395159,0.0
emp_s0,23938.242913656857,0.0,-19355.39370478643,12068.410237491393,878.9331269988288,5995.5049750818525,-2000.9431669033306,18156584.447029803,-20234.405704711746,-109537.25752574831,0.0
emp_s1,23938.242913656857,0.0,-19355.39370478643,12068.410237491393,878.9331269988288,5995.5049750818525,-2000.9431669033306,18156584.447029803,-20234.405704711746,-109537.25752574831,0.0
emp_s2,23938.242913656857,0.0,-19355.39370478643,12068.410237491393,878.9331269988288,5995.5049750818525,-2000.9431669033306,18156584.447029803,-20234.405704711746,-109537.25752574831,0.0
emp_s3,23938.242913656857,0.0,-19355.39370478643,12068.410237491393,878.9331269988288,5995.5049750818525,-2000.9431669033306,18156584.447029803,-20234.405704711746,-109537.25752574831,0.0
emp_s4,23938.242913656857,0.0,-19355.39370478643,12068.410237491393,878.9331269988288,5995.5049750818525,-2000.9431669033306,18156584.447029803,-20234.405704711746,-109537.25752574831,0.0
cpt_s0,-4946.3410020000265,8973.12514995487,2257.4316339020947,-4862.896746831389,4888.193224744635,-807.6278953386864,5056.656625203895,17230847.496205926,-20177.017050715724,-104860.50511365767,0.0
cpt_s1,-4946.3410020000265,8973.12514995487,2257.4316339020947,-4862.896746831389,4888.193224744635,-807.6278953386864,5056.656625203895,17230847.496205926,-20177.017050715724,-104860.50511365767,0.0
cpt_s2,-4946.3410020000265,8973.12514995487,2257.4316339020947,-4862.896746831389,4888.193224744635,-807.6278953386864,5056.656625203895,17230847.496205926,-20177.017050715724,-104860.50511365767,0.0
cpt_s3,-4946.3410020000265,8973.12514995487,2257.4316339020947,-4862.896746831389,4888.193224744635,-807.6278953386864,5056.656625203895,17230847.496205926,-20177.017050715724,-104860.50511365767,0.0
cpt_s4,-4946.3410020000265,8973.12514995487,2257.4316339020947,-4862.896746831389,4888.193224744635,-807.6278953386864,5056.656625203895,17230847.496205926,-20177.017050715724,-104860.50511365767,0.0
