,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
big_s0,3115.557386547176,933.6466510443365,159.82559897491535,1158.2398777841438,1449.7635531518088,-635.0815222956312,-758.4106586214051,6644772.3977059685,-11491.019804353878,-32236.861534463966,-5.104811618141572
big_s1,3050.0190289527422,457.176957320463,-986.557679688404,1346.661504526692,1121.964850835098,285.5360050915159,-1043.6108277569933,7519498.717613453,-13482.341569335013,-34989.07181399183,-3.918930524556716
big_s2,518.9314418237947,-35.20876909474312,687.2502018241635,259.94073115250865,-34.618890275162705,-195.10257497814405,-757.9941559307798,4697816.579671311,-9024.861247203115,-29039.49080207577,-4.713682661307352
big_s3,1924.4864134706165,21.371769283333283,-203.37452915811943,960.9746812810525,94.48912671939183,-165.45086513787015,-938.7463094986863,6218023.734789761,-11922.678440881116,-34932.76284467643,-5.165236068705436
big_s4,1515.5580581218633,489.6418850218294,1352.997668021506,539.4048012175307,447.4797444858325,-1189.0141743688312,-891.2866502096158,4518455.696345893,-8470.41816122748,-23034.25640462292,-7.235310031494
small_s0,70.85263715470705,-143.74911636764313,0.0,54.40216558732917,-119.97035329620667,-54.40216558732917,47.645478092794164,1331614.6323292549,-1268.2624630460764,-24578.02993057996,-7.248267000369071
small_s1,94.37002724542069,-200.7214524170945,0.0,73.45845386940844,-165.38470851703553,-58.74220704273601,-69.23220623693997,1279555.8070917674,-1244.074483608063,-27339.372226108244,-6.930629522270567
small_s2,50.67435494497284,-102.91868689573411,0.0,38.8751096407883,-77.5546006137941,-38.8751096407883,28.901067669290935,1269252.4559668999,-1263.4118645365982,-30897.930955112013,-7.873673605354889
small_s3,73.62632929796834,-155.7499715767386,0.0,57.756037700595826,-140.48432418860386,-57.756037700595826,-42.56205691492135,1124073.000757895,-1117.808005002537,-26599.6429926941,-9.3690455416548
small_s4,89.39927962027666,-187.4702500526651,0.0,69.66813067943158,-164.28777685865526,-69.66813067943158,-31.002228989530042,1047972.1261147682,-1025.907936655935,-25155.577600143028,-9.738928410221693
rand_s0,1118.8116062212464,-1389.2267538916387,1561.425228278408,262.21444330184266,-1172.0830810260804,376.82557935261883,-7816.567520733583,10504727.707274307,-11667.201640632033,-18629.327956839363,-9.40792197884204
rand_s1,-1489.1665273501526,4807.626021527371,2730.8839070634403,-1868.6231065001914,4148.958769887502,315.9869718377786,-7337.497824532597,11689440.633360771,-12665.681700417312,-33662.77712446375,-7.32154781468856
rand_s2,660.9260625055927,706.7349688691828,331.38689915312636,-25.223545302863172,1158.036287420957,666.801594832757,-4238.469487975985,10469166.446883414,-12632.679159863164,-46852.87185057108,-6.523940025599185
rand_s3,712.6553517025249,-1494.768549606674,1662.592283200171,-22.323262393670234,-950.6017561903226,1257.3794478757586,-7472.156901144734,9644293.204964168,-10091.238208207442,-30020.732604132198,-9.756687172297706
rand_s4,2262.5089836941893,698.3465759064342,689.7367960378351,333.58161303612235,2761.1144904952557,526.1659987335828,-5160.8957065425575,8902798.999554189,-10591.4870291827,-15974.492178772238,-11.002063956645337
none_s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eco_s0,-1872.3677672995868,13570.011466534956,409.6469824570448,-2169.8916052343907,13196.765245809205,2049.6028922497494,-9334.946189122425,13394411.983396618,-10904.46830009158,-6487.250314103,-8.940040935379624
eco_s1,-1913.0603998809597,13330.125049399145,453.9024736366148,-2192.913054977905,12608.673264474826,1982.199162895658,-9354.087946379745,13354327.218441008,-10907.649012068721,-9675.768899277418,-9.51800179183363
eco_s2,-2252.0787917250577,16573.232799586458,431.20734995478404,-2615.685572341409,15657.441629927482,2361.99080124872,-12493.437688227888,16368508.932768108,-13274.343166754377,-9002.097200188553,-6.872117423736128
eco_s3,-2391.5529660725306,16557.866867265886,629.649793039167,-2700.4986115474426,15154.993206197185,1932.346589935037,-10677.13596689513,16127886.542776136,-13237.885030130152,-17026.05650095178,-7.579002944404906
eco_s4,-1793.8708670333262,13788.135607121225,243.7704272378085,-2101.136888760408,13181.020999820907,1515.389354650871,-9019.870055519787,13637981.451047108,-10968.870241024186,-6879.456163926067,-10.46194542313874
gdp_s0,8667.657510415034,-1057.2895882903483,-4396.435048043536,4409.348537745214,-785.1431588062271,598.4792875845512,-3008.0392666908424,7700997.608138474,-13481.770012605148,-40461.694388941614,-5.317331438799079
gdp_s1,6283.598644845083,-441.0465159043614,-2322.077011726347,3038.711100124184,240.05052506268362,-2000.551350375832,-2679.015029834165,5979461.494370391,-10192.699195980305,-22409.890810862795,-6.15735134808001
gdp_s2,9084.755762060391,-588.0142364430072,-4523.701018436298,4474.075477870698,172.58237181885562,486.700718422671,-2883.1205628129746,8164408.41873536,-14187.28549499987,-40593.01719836538,-4.854922558747861
gdp_s3,8254.850543784984,-658.1936038574206,-4696.713935096524,4153.189563331767,149.42620718031642,229.96567019864779,-2469.9879340870325,7048883.478742462,-12572.56266469863,-33175.75723648269,-5.156221818177902
gdp_s4,7225.544198577274,30.441888203313766,-3549.4340869267285,3416.1239700678125,750.3607463514645,1.218808353755776,-2168.856614446703,6535659.126014099,-11303.386445187252,-30994.347904510603,-6.919933925779392
res_s0,-3302.066248880085,156.67521789684264,5891.612759904992,-2926.521212027699,-1096.8804569703825,-365.35839846467036,-2873.1925708948033,9643360.109814294,-12706.800717855014,-24323.889079189343,-6.411366283500838
res_s1,-2031.3846895295956,-3399.5039850817748,6387.104093771084,-1972.6008265661403,-3971.2584197658825,-453.84763639451324,-5074.37702987807,10532411.655937068,-12809.638975888864,-17592.32371689097,-3.773398508737045
res_s2,-3720.2125237356354,-1339.0545154311103,7945.335925384972,-3363.410808035879,-2616.457256437117,-966.471361738359,-3977.633494598238,12886815.321028844,-16641.23582104864,-25669.616924677943,-5.2404101571733355
