,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
big_s0,1929.652179627116,-1418.4600268513163,600.3347651929212,572.9103284964901,-959.3428133483916,571.4207380443745,-2331.1156426053944,7298193.260841533,-8774.535959911607,-24439.652592548144,-7.665944595792119
big_s1,5894.757152268141,-213.89378663114087,-1326.792754922065,2021.9557814411842,484.45457501579057,461.1457496647463,-2963.326261840578,11569999.860004202,-13562.107027068501,-34702.70962756925,-5.29206541296131
big_s2,3955.2301168607337,-1219.5119453784775,674.4190289015119,1141.995561459083,-123.58211114018572,242.78919876301796,-3379.423073027441,11503196.883720329,-13751.958036437705,-32770.868519493095,-4.881854314451449
big_s3,4018.2435516467413,-360.28592773185113,110.6237285042298,1227.4980984634742,760.094599448094,282.75844041140414,-2507.1266674210046,10323131.116777094,-12241.029245350252,-31399.735016103907,-5.429068839316573
big_s4,4384.102430817749,1672.6527888817707,-1745.3480288420412,1425.7102949774053,3305.1374165566053,882.3316576646318,-1914.7756495422368,7611666.844864329,-8764.409564571928,-31934.3456208564,-7.091048699089259
small_s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677173.0309863603,-441.85279176032043,-15213.515639808935,-6.071461546299698
small_s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733887.3654593752,-477.916973115262,-15558.781255342146,-5.192460303371552
small_s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,790213.4066097599,-518.4921777903896,-18719.019318335773,-3.9938456339824775
small_s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765328.9793225334,-504.34844880665673,-15485.770298001931,-4.2863458612096155
small_s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651291.1644109113,-420.16168179523237,-16473.502585883412,-6.283852254230335
rand_s0,1642.3147122951898,-1959.3694931032712,759.5733018410776,635.2360210859432,-1028.9644485661147,-55.37960037047593,-5812.459890402053,7794952.667348944,-8466.998954830868,-15206.183636553375,-6.06236955610199
rand_s1,-35.53574249308096,943.9787958396973,1233.7273437541867,-458.1098828225914,933.2401849441723,500.4180034288029,-3979.4834478537887,6003383.506197782,-6626.609799733796,-19800.707091268803,-6.683664659910467
rand_s2,1503.6415499128932,-109.04172603753506,-157.22172150393112,731.5147383221665,129.56661812643188,-578.6803975989368,-4150.799438501703,6515017.37874519,-6700.199592756229,-16438.083530484422,-3.6311833077602556
rand_s3,31.52117611742426,336.2493605933371,862.4704099011784,-204.3198872429086,628.0056842564697,434.11356114205404,-2860.0260839998405,5287325.183894819,-5605.8771233562475,-28789.36533447662,-5.751287518414596
rand_s4,391.07148752741756,875.3547590227843,1205.724287344577,-385.52801957301557,1276.2406832766558,264.1995257830853,-5031.175382258997,6187948.940722894,-7353.179475391485,-12843.044754309138,-6.246751279858956
none_s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eco_s0,-1532.2275184375324,10263.427082983522,409.6469824570448,-1722.683745839378,10004.779958295685,1650.4603727048886,-8092.130992764143,10186821.992149454,-11791.756051923661,-1151.4971748484058,-5.979220114675521
eco_s1,-1285.8630593446585,11359.011864130622,0.0,-1572.9217208626949,10821.227032725968,1404.674501606341,-9031.655667008183,10978993.611621613,-12583.373766901559,-7904.454048860743,-5.091204436583853
