,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
big_s0,7042.471868487202,151.92877129462022,-361.9563880648311,2168.3645868834064,2459.628519282539,164.60542635151788,-4232.93720399007,44346561.44442298,-19340.39527845846,-50100.86769021427,-4.701282646248634
big_s1,8378.425103541536,1641.0962512420417,-1970.2251084369302,2619.42167010312,4400.508674636123,820.2291513268231,-3966.355071976387,44026616.12875045,-18306.682470176893,-57319.85761464812,-6.141164796470961
big_s2,6275.832923114444,107.43413265100992,-228.8191635394158,1626.7463862556417,3248.374979315702,746.7714926437416,-4740.253033400746,45022949.26263802,-19732.484251325197,-51471.646969318674,-4.736842492965001
big_s3,8200.263256501208,1099.9826601449065,-1298.8765713585108,2442.494517658367,4591.626806100344,1163.9078774951445,-4655.681977046128,43997347.350633174,-19415.005843437975,-54247.19266717737,-5.57089407585966
big_s4,5323.962445042936,956.5554331362175,-569.1295222682747,1440.600958528667,3170.134351260252,826.1841790877344,-3738.7260836304863,36157176.81143978,-16011.130242988584,-48028.97024353508,-7.858489252032645
small_s0,12.507997113730601,-29.04494399370522,0.0,10.216848788643444,-29.16037653855229,-10.216848788643444,-46.507095685844696,6141247.014988068,-1377.2495619548179,-45745.06215768376,-8.469030936218914
small_s1,11.882597258044068,-27.592696794019954,0.0,9.70600634921127,-27.702357711624668,-9.70600634921127,-44.18174090155245,6300766.824969106,-1437.1326648665906,-44821.535287775725,-6.203297419985766
small_s2,10.724044025384773,-24.90240885660301,0.0,8.759670730163172,-25.001377834741263,-8.759670730163172,-39.874021163651086,6422053.620253354,-1425.0863818165649,-47007.222891406505,-7.15886043136954
small_s3,10.724044025384773,-24.90240885660301,0.0,8.759670730163172,-25.001377834741263,-8.759670730163172,-39.874021163651086,5977367.174415786,-1342.9710272408006,-42942.388382326986,-9.05115605652596
small_s4,10.187841824115534,-23.657288413772857,0.0,8.321687193655013,-23.7513089430042,-8.321687193655013,-37.880320105468535,5656255.823536568,-1231.8885782394389,-36125.50020716007,-11.388838799990735
rand_s0,729.0532525484464,-2669.283445345469,3339.1680443000655,-409.08755101331536,-2530.980173519382,1539.0702300434748,-11293.696128010162,40672538.705231465,-17425.967894260415,-36386.763053000075,-8.911408853816154
rand_s1,-66.95383237974102,3530.4090524320827,2717.637013553247,-1446.3656366308946,3877.632017761759,801.6363874060319,-8629.383042963465,46622216.305386804,-18381.33989454593,-56713.7076718297,-6.021536823303514
rand_s2,2174.6216560109033,-514.3730984632053,-323.1268494125623,752.7587191472944,-182.54923430769998,887.7171076061265,-6077.12153796541,43766743.5599228,-17219.296793889487,-67543.69770057574,-7.791031279670969
rand_s3,1163.9752921976642,349.97642309410384,2373.6854030277477,-462.99731889311226,1146.669282651036,2352.7415753675946,-9755.779827636354,43830937.94319236,-17746.029155497337,-58762.73750185984,-6.174529179049529
rand_s4,3261.4638130352378,-700.8546560860173,1140.3740608664016,1074.8520383126947,252.04692271478734,-1000.7853445352644,-8355.568560357122,38380742.2273015,-15819.625201088966,-50444.81291754091,-8.333067523529266
