,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
big_s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6606251.419598152,-1732.6392597710696,-5372.077840165908,-1.7548123674857388
big_s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3942355.360138462,-1047.337564107016,-6393.353722264868,-2.5762983956900776
big_s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6661661.7008371,-1713.4550129877193,-9895.896762038963,-1.2289863489629878
big_s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5040965.362018861,-1460.8046519310287,-5222.335579068912,-1.7498323496429704
big_s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5453167.4474968705,-1338.0020468148132,-2895.4736680647693,-3.0852368030306607
small_s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1879573.5849773325,-422.4776809255218,-17716.590814666473,-5.618235521669328
small_s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1869641.4006689473,-418.51696662063347,-12925.837652925164,-5.350618353346056
small_s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2099862.657173055,-436.41518064510916,-16932.64705592123,-5.805066726496128
small_s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1454279.8245207928,-346.7079452320243,-15970.633730458647,-6.852673433901725
small_s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1243227.038740532,-278.32423554619425,-13030.687369978754,-7.351435903384529
rand_s0,464.1609789408003,156.47095417511548,-437.90060697881484,224.29000868574525,119.20772154552157,132.4850269573974,-274.06812740623036,4009517.342501217,-1434.66246118462,-25735.580897129235,-3.6187791431239664
rand_s1,49.97581689991943,438.6448434302903,-51.33420832795048,-6.746390126319222,629.8912809828712,-9.391618478510331,-776.384436600556,5746358.635371625,-1636.2257214385052,-14753.980422133704,-3.04280073674473
rand_s2,87.55715581038119,22.284492486545812,-21.614403506505468,33.652208696022456,28.12034327466956,-54.205139512461564,-78.83193272158246,4969376.140306578,-1266.348302606228,-14801.682795957575,-3.144397034054626
rand_s3,196.57957007010353,123.55677919154893,21.614403506505468,34.12800553658758,-452.6101531919633,21.841923543425157,159.77321568011007,3599247.7145847557,-1169.7003369443667,-28976.46507071345,-5.379853746396064
rand_s4,165.6269211945251,409.96734458231333,-191.17371101411808,15.111596451554838,533.7780896442748,148.75055245180945,-624.697437914207,2767185.1923769396,-972.808342107113,-14077.09671025083,-5.1876044463490185
none_s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eco_s0,-180.55321386420047,1636.7133587194412,0.0,-218.98076277995898,1647.024378162203,218.98076277995898,-1821.2287320682333,4289856.046647414,-1751.8461022396718,0.0,-1.7263723628719159
eco_s1,-132.98059548493848,1219.967208954383,0.0,-163.25674914151224,1227.63484858933,163.25674914151224,-1471.3635032552666,3343253.6713791178,-1306.053993132098,0.0,-2.390303901255368
eco_s2,-172.5093833986149,1581.6266974811601,0.0,-211.60917982243973,1591.5884345390543,211.60917982243973,-2002.081597595687,4199237.7260850025,-1692.8734385795178,0.0,-1.0864119183539083
eco_s3,-138.54835835038122,1321.7117125181953,0.0,-176.41457878433712,1329.998269555802,176.41457878433712,-1805.0750244709234,3117947.2117298385,-1411.316630274697,0.0,-1.7754994538069457
eco_s4,-98.3951789448047,946.7768238720499,0.0,-126.4687870627423,952.7049990343831,126.4687870627423,-1187.869848214096,2493476.674568731,-1011.7502965019384,0.0,-3.1795298010315545
gdp_s0,2380.6553501027274,0.0,-2048.198792567162,1197.982890912447,1127.6310274800114,1211.9367941648372,-327.7262478607612,5119650.564566281,-2028.8408991140022,-30793.01703872725,-2.9053709976542326
gdp_s1,1861.038640116815,0.0,-1578.62414382441,936.9191352782448,739.8468506653485,677.8689809725956,-305.5216801182753,4370075.756881938,-1578.2098178624574,-27135.643277399824,-3.1510628960443428
gdp_s2,1743.0533643720223,0.0,-1679.2205025570495,877.4252158620012,862.9082497416757,1104.7849466790983,-213.7574974060914,3590774.083790702,-1469.3090871432937,-25370.331550910512,-3.43876394815249
gdp_s3,1240.8907606498246,0.0,-1136.2634758351787,624.6622250566802,61.068389423623856,952.6464484298452,-211.03853970816664,2813480.2516158735,-1105.4194774158432,-24550.09580942245,-3.7082188462023233
gdp_s4,1232.7651930905777,0.0,-1013.8551910414036,620.4032139298555,806.6276955231685,94.03928388641064,-168.1478335034016,2472345.5001209574,-1030.4703484241534,-11205.480500885571,-6.243135388085306
res_s0,-926.1651224568799,710.4074009950768,979.8658130088626,-769.4205594485809,-155.8017930495426,1268.7378919370847,-681.63386962732,4741970.938938762,-1985.7607780953706,-3982.766192608958,-2.7530565294309257
res_s1,-610.4280279495105,471.1717464434912,504.7048882932217,-504.7048882932217,-17.372396428970788,271.1771017146063,-184.69322028631694,2229912.2305068625,-1072.4978876230962,-6484.3656744974305,-3.143046133835469
res_s2,-221.67238443419834,-7.5467926591037156,524.6930687844833,-193.40127437549575,-1314.930975245856,419.6857656080903,-596.3196983467823,2339127.2681857273,-1027.1380397384878,-2345.917744418625,-4.160561231017294
res_s3,-578.7777489071286,439.56538350376616,702.1864913991235,-480.6651718619848,125.46270592996075,439.6772096671947,-280.5653554074401,3014833.243514838,-1390.615689435282,-3613.954237793701,-1.7498323496429704
res_s4,-352.0889456680337,264.86188462169537,523.9166566585261,-295.03660786379965,105.92332012589213,641.4089616982635,-315.44872232661254,2315177.1482875496,-1008.419539701785,-1188.8446887066211,-2.5845245971233415
emp_s0,2380.6553501027274,0.0,-2048.198792567162,1197.982890912447,1127.6310274800114,1211.9367941648372,-327.7262478607612,5119650.564566281,-2028.8408991140022,-30793.01703872725,-2.9053709976542326
emp_s1,1861.038640116815,0.0,-1578.62414382441,936.9191352782448,739.8468506653485,677.8689809725956,-305.5216801182753,4370075.756881938,-1578.2098178624574,-27135.643277399824,-3.1510628960443428
emp_s2,1743.0533643720223,0.0,-1679.2205025570495,877.4252158620012,862.9082497416757,1104.7849466790983,-213.7574974060914,3590774.083790702,-1469.3090871432937,-25370.331550910512,-3.43876394815249
emp_s3,1240.8907606498246,0.0,-1136.2634758351787,624.6622250566802,61.068389423623856,952.6464484298452,-211.03853970816664,2813480.2516158735,-1105.4194774158432,-24550.09580942245,-3.7082188462023233
emp_s4,1232.7651930905777,0.0,-1013.8551910414036,620.4032139298555,806.6276955231685,94.03928388641064,-168.1478335034016,2472345.5001209574,-1030.4703484241534,-11205.480500885571,-5.7554604089697765
cpt_s0,271.09820402629305,411.8856622715067,-146.23708172404707,-8.213555430750436,221.4789020098975,-29.44132793389116,888.9210375413581,3541274.7913193638,-1473.7248019240963,-25841.634800746833,-2.6656497102842716
cpt_s1,79.5950324681846,437.9167431040456,-211.80693436144665,-113.62698068301665,74.71042611368468,-164.71659803854257,684.2547000778449,3976519.0889479592,-1470.3358339719855,-17874.242217461517,-5.2563937866300705
