,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
big_s0,2199.128650977539,1565.3225984808723,0.0,432.7722824377305,3835.406190405358,-312.2289754550144,-1878.648452063797,14613204.48601278,-4311.912649083352,-20357.69131611955,-2.636223932864669
big_s1,1476.3832555691838,1020.576480191553,0.0,290.3604504320214,3100.3076124448507,-262.2220941836076,-1320.8708699562721,13151107.911622878,-3366.8509422871775,-11858.718608899944,-3.8317597180192378
big_s2,2156.4870874070484,1532.3811194683692,0.0,424.44793251198365,4503.541873712895,-373.5026028557985,-2070.59368030548,17458202.715087213,-4592.453696091701,-15012.567994969442,-2.132404247774506
big_s3,2012.445577570867,1426.7923799639616,0.0,395.9275139764843,4044.3358394407196,-334.98114740860524,-1858.947124222484,13136186.122849345,-3939.655927485617,-13145.9246885294,-3.0713705836736658
big_s4,1833.5163755996175,1302.3287240812601,0.0,361.37614303150093,3646.442834981951,-266.0337153621049,-1919.911375318247,14069966.35469642,-3609.878173895905,-17831.913995900773,-3.462590405565968
small_s0,11.288467395141867,-26.21306195431896,0.0,9.220706031750707,-26.317239826043437,-9.220706031750707,-41.972653856474835,4789925.904647678,-713.0543445536072,-26808.2509499139,-8.13686617416943
small_s1,10.724044025384773,-24.90240885660301,0.0,8.759670730163172,-25.001377834741263,-8.759670730163172,-39.874021163651086,4758664.264678648,-712.2928268947702,-18707.907947876043,-7.890155022607119
small_s2,10.724044025384773,-24.90240885660301,0.0,8.759670730163172,-25.001377834741263,-8.759670730163172,-39.874021163651086,5624965.058397964,-772.1955103100186,-27174.338985519727,-7.0836926103332765
small_s3,11.882597258044068,-27.592696794019954,0.0,9.70600634921127,-27.702357711624668,-9.70600634921127,-44.18174090155245,4685901.834675952,-685.5528396575486,-22115.89272210697,-8.948779588925944
small_s4,12.507997113730601,-29.04494399370522,0.0,10.216848788643444,-29.16037653855229,-10.216848788643444,-46.507095685844696,4019353.5834709606,-585.5115466418973,-19164.622153063312,-10.703003380737911
rand_s0,222.1851321131804,-562.0699611453578,306.9904462386467,134.41909163912376,-384.3847381373137,-157.77649550691282,-1573.4719352823663,19721517.710493833,-4020.328842836455,-29494.987979986643,-6.689261010678478
rand_s1,-124.02187553097431,-521.9825327853187,685.8200520261627,-170.860368194486,-420.82398045254286,719.7787997416123,-2123.2506031319667,20387782.06374117,-4367.897961541678,-23845.155501349036,-7.986624668776501
rand_s2,1435.6471468758884,193.110825981579,-835.2295769862938,622.2561498259403,511.53799753367883,-205.01170666036472,-528.6332736342675,23023672.39963545,-4281.785515799663,-51113.45831722693,-5.888740364272166
rand_s3,247.39772759968076,-76.67643154897281,583.033977431642,25.312951937909205,257.0122339860802,-64.55678830878199,-1613.8818809358404,16618713.801176686,-3498.141595923141,-23069.325071574352,-7.0745139514878215
rand_s4,821.7689311298624,795.6204816191633,-200.63570054913697,226.86567098062585,1247.1792348151776,209.072809301949,-1391.5865096014402,17735499.31436175,-3537.257070932309,-22222.436260842715,-6.875672963140851
none_s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eco_s0,-385.4488878168646,3934.6208282478833,0.0,-527.0115459990765,3959.867822644249,527.0115459990765,-4437.247180788844,15262912.0012475,-4216.092367992612,0.0,-2.636223932864669
eco_s1,-326.26131079420713,3070.274629121717,0.0,-411.50400405732177,3074.13957441665,408.33509204302396,-3428.887309499364,12206845.4925145,-3292.032032458574,0.0,-3.8317597180192378
eco_s2,-435.2054433551624,4190.3676280265,0.0,-561.2998961889857,4199.891398502894,557.7886363393482,-4673.261798760952,17114216.0356906,-4490.399169511886,0.0,-2.132404247774506
eco_s3,-364.20896320475697,3592.87161056572,0.0,-481.5135022482422,3599.2977052742644,478.1778053910866,-4114.751111963464,13490682.5149685,-3852.1080179859377,0.0,-3.0713705836736658
eco_s4,-335.15556928707684,3293.1852412475614,0.0,-441.20733236505504,3314.264654660063,441.20733236505504,-3860.875862211323,14483522.898642983,-3529.6586589204403,0.0,-3.462590405565968
gdp_s0,5848.555580417915,0.0,-4398.050113373266,2949.8848841969993,282.99475328595935,1864.5080266211512,-902.5209740060882,18021113.149867,-4970.1024238853215,-40260.30794485645,-4.168523140071283
gdp_s1,4783.232541290428,0.0,-3012.817870215245,2415.6252445212926,312.58587178063794,53.96714142475611,-958.5939358873718,16590580.914361475,-4168.072494371959,-21429.950013918453,-3.243922335485353
gdp_s2,4719.083312026571,0.0,-3507.7560543783393,2381.506433345164,238.9817067480034,2034.3001600129796,-794.0371416917671,16317396.458778853,-4019.6197620709277,-39839.88732587241,-4.294756498303497
gdp_s3,5049.228633684067,0.0,-2981.218239482208,2547.452203665334,340.438576057805,-248.1121250337295,-870.6760402413557,15603116.074060155,-4428.204553839278,-25793.25576301332,-4.201294845889927
gdp_s4,4237.463891892126,0.0,-2945.074706644647,2135.80502375224,256.989347380821,1057.8593040894714,-595.6571731434225,16674835.219526988,-3638.3772614802224,-29230.120998766175,-5.135049180117025
res_s0,-209.66548452293424,159.05522283925757,2231.340669714166,-173.58265716624135,130.4018555017937,-200.8361626839379,-814.9831749050365,11135154.15713445,-3830.983581395503,-18666.815226108254,-5.185413733589654
res_s1,-504.11464329204045,366.27831924558836,2649.232207360024,-417.2596893874223,339.7430033652055,53.60920149228858,-1008.3018317436611,16029135.209439412,-4636.677192474052,-19845.62787412262,-4.624996895369557
