,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
big_s0,833.1493923826125,587.1813675670332,0.0,163.69333547949006,1498.23005033259,-122.11970770948025,-723.7317338503856,3059828.947089785,-1473.2400193154106,-11209.343260936745,-1.0208754206396102
big_s1,508.1214795081097,347.85061577432,0.0,99.84643889229002,1145.7096167229627,-91.50911897537387,-396.8607318908784,1838401.9086895844,-898.6179500306101,-5922.241842990258,-1.6171973425710005
big_s2,811.674165802863,569.1170643988431,0.0,159.59748302306107,1776.3833932819155,-150.90091273573546,-908.0305353688364,3053595.0399146997,-1436.3773472075495,-5482.399986009037,-0.7360989291000002
big_s3,739.8223279598631,517.0477750355099,0.0,145.45965322800004,1686.1343801500843,-135.16666567625168,-819.1982814834837,2473698.5212374637,-1309.1368790520005,-4673.136202789817,-1.0079135746496104
big_s4,618.9751055114061,440.0735293469162,0.0,121.90534364825102,1098.589819466484,-77.29051462941716,-661.4736499214449,2430761.3199335905,-1097.1480928342594,-6843.213946626824,-2.1460938024725102
small_s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1006558.1283946962,-234.48506957390705,-8990.652622673788,-3.702414519444511
small_s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,997156.1600057181,-228.75141852359107,-8530.392434335588,-2.960481850884901
small_s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1088058.9128261835,-233.68162165831808,-9893.374731911239,-3.2358444561900006
small_s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800621.3517345516,-197.56449962630106,-8769.082715430342,-3.693177602472511
small_s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662781.5993754332,-151.44443406566106,-5501.591437447201,-4.6002352022774105
rand_s0,-36.94867694129499,-178.62473347148105,145.6234584371244,-43.61679159598441,-884.2764932154346,16.84500991663422,-372.62212905539866,2886696.961652485,-970.374928641909,-12634.212871612805,-3.2132698457525106
