,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
big_s0,1121.9168898849784,792.1947135003046,0.0,220.42948404887034,1970.926064580115,-161.58748116917798,-942.5525793808993,4163610.071074293,-1983.8653564398328,-15196.743711483872,-1.3539202116494036
big_s1,680.8683505303748,467.31461919354285,0.0,133.79556947991574,1515.496905627562,-121.722528616701,-518.9549129810464,2492232.32427711,-1204.1601253192416,-5876.231873213139,-2.082529559236332
big_s2,1101.6416647660901,773.3095099643158,0.0,216.60753259906988,2381.9288007483997,-203.9300434303902,-1209.6656009724443,4178615.188257489,-1949.4677933916291,-7790.319967959661,-0.9641734379700131
big_s3,969.3688949182128,677.1337069480826,0.0,190.59022591321718,2198.3821557435076,-176.5104838991961,-1045.288987802294,3266453.250873202,-1715.3120332189546,-6459.586748781194,-1.3450214858005372
big_s4,849.4616365604513,604.4592942035658,0.0,167.30965081700083,1462.0218762173731,-101.96917580760967,-867.9506564958584,3374426.4317000317,-1505.7868573530072,-10817.836761922246,-2.44179916722751
small_s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1395875.1327690617,-319.0724978147739,-13576.287555475665,-4.465965642228883
small_s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1386826.4221335426,-314.0049437950453,-9933.187812211081,-4.159272579427501
small_s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1535901.9790261183,-324.12405527062674,-12850.441808971453,-4.704574938670544
small_s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094256.9731361368,-265.15411618390925,-12184.985756605232,-5.4582490306623725
small_s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922139.3077964757,-208.43346339988818,-9860.705469417366,-5.818508569186467
rand_s0,-52.81125577440554,-231.63718215219407,193.75223047817502,-61.018170076114686,-1170.8351050792642,23.617503516288508,-488.33656989241445,3864435.7362968964,-1285.1546137874548,-16721.510240317682,-3.8743301227380753
rand_s1,65.3785849416133,-290.12750687168113,365.6450047213383,-37.640511690686,-2181.657236948883,222.25234720396347,-917.9898076056337,4664769.101312995,-1733.4352930301254,-14363.695648090172,-2.922276928788931
rand_s2,322.80405565097766,0.0,-129.79796936493508,162.24746170616888,-22.134230121133353,-282.7741475450372,-144.8916189452898,4259810.784557208,-1285.5345849161358,-35474.040193358334,-4.011368273351916
rand_s3,334.13073791926826,-101.21552219384363,-128.27588427383358,117.59957214430769,-380.0499255232096,-67.064070789173,-334.3688921519222,4817351.005012836,-1440.2406327950785,-19176.274806707916,-4.082792603674514
rand_s4,256.1615510303932,-259.20798917212045,-395.269945958998,178.53307950327707,-719.8585324445842,328.8703465325618,-386.18644157581525,2610019.900413893,-887.8157261709748,-10418.229385418119,-5.722932407988807
none_s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eco_s0,-149.69179168690223,1485.8052978667167,0.0,-197.6293839930741,1495.1259012509927,197.6293839930741,-1861.8306331565802,3985356.4081707327,-1640.149790635673,-1333.1867446939316,-2.2826031476336035
