,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
big_s0,1172.5529873658252,111.2853194544623,53.68878041623384,347.0272184940148,1682.6550693487452,-627.7280866375525,-784.5549873566893,3360836.247053679,-1428.1659502029115,-4903.793689667136,-1.0821421755559646
big_s1,776.0455762347281,-344.74559922286033,568.7387608149161,219.00336839182285,-705.1701143280529,-657.7426628265782,-897.0392763311418,2820243.6440066937,-1200.1068632417864,-3936.206102924264,-1.807497476032846
big_s2,979.0921626000109,-47.491954361065666,323.3179471887245,335.2019021249999,1672.0296856714492,-797.049996412049,-846.5392527285554,2649449.75749584,-1079.5028861260203,-2788.8099919503898,-2.1955720982930047
small_s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,779980.6589143283,0.0,-10921.654753664,-5.5309709376938345
small_s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765498.100214232,0.0,-11348.099655688427,-6.5807569536804955
small_s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781245.4230747215,0.0,-13415.517196217821,-4.80477194813388
rand_s0,286.00885722901774,-245.84925452933192,277.5951769193901,16.522001726721825,-980.4796460607032,-72.5428781787379,-1522.3821403209142,2636045.395247645,-641.2810144504035,-13470.874131702292,-4.915328917355074
rand_s1,100.268350414003,-366.8312665681195,177.9638241449016,-53.99623359693961,-2963.563384401148,615.5222577894732,-1299.9275415741783,2888008.723011618,-1065.0869462547716,-9369.734785178784,-3.2270189895636516
rand_s2,421.2584790941855,-198.43761085404745,-225.79840325673877,188.30640283077412,-1104.1365496005064,-35.9528446666597,-618.5736245198411,3940653.258385852,-469.12255073122407,-31967.20008941397,-4.971782932879691
none_s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
