,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
big_s0,822.1873277565066,-72.58489519628506,326.42886242150286,266.862941674873,1233.7145383661727,-651.7701845397855,-810.2073265150257,2303007.734234174,-2598.9588896566042,-7777.960463943316,-1.0821421755559646
big_s1,735.6596076432885,-113.1826989337302,337.2360641747556,241.66320683879664,627.0837148451617,-600.6547798994152,-430.9000032075405,2238061.4739971086,-2495.0220960636325,-6243.259277197585,-1.807497476032846
big_s2,883.6306767465098,-42.86148881086177,291.7944473378238,302.5197166678124,1509.0067913184828,-719.3376217618742,-764.0016755875213,2391128.406139995,-2670.1382835921436,-4423.361836071163,-2.1955720982930047
big_s3,832.481342974148,-100.2434466316571,51.814881526916025,274.4400104526927,1238.7443043237133,-454.38344472008316,-814.6332515080827,2017793.087258556,-2191.206977896543,-3792.4798542015133,-1.1390970269010152
big_s4,321.3338659596514,232.2705549105848,-15.400262498385132,63.02494097246091,819.7448555222566,-154.4819665295259,-272.1929967654681,1210007.3956003748,-1468.1398249076792,-6027.1464560638215,-4.340847353323935
small_s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632578.7458571268,-392.54083396360284,-15899.13324546948,-5.5309709376938345
small_s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547941.323851362,-340.02610888705874,-16946.365245029847,-6.5807569536804955
small_s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636638.9302618883,-389.5985021278916,-19924.65389843395,-4.80477194813388
small_s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528423.2542762049,-322.32419627624785,-17804.525217786377,-6.163789791632968
small_s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425233.43392953253,-268.99946903343704,-8368.576785838244,-8.80626245146931
rand_s0,-72.55301394473011,-292.61766619875766,250.52964716974964,-82.3800517751817,-1507.0701834136078,31.821210777237205,-623.2105343096713,1902860.242852805,-1657.8215206747716,-19741.39285153829,-4.915328917355074
rand_s1,90.4921862486377,-331.0652180777279,466.3845631962107,-48.73160082123801,-2766.378898077982,280.4991634321674,-1186.171586034591,2127713.6773062143,-2290.271223752087,-13847.892555620001,-3.2270189895636516
rand_s2,416.93194197070494,0.0,-167.64634298674602,209.55792873343253,-28.58844982545265,-365.229532935411,-187.14121772824168,2178384.434495348,-1639.63320925479,-45863.078100914994,-4.971782932879691
rand_s3,442.0883663240408,-156.43407903421706,-163.67507055301266,155.13652982385418,-585.5128910397376,-86.27472684143378,-487.02185636344905,2192262.8802983444,-1923.217186372391,-20325.371330208698,-6.70362214310178
rand_s4,353.0321462079789,-352.1725090191409,-541.8730959080921,244.5712416768014,-1013.8181233475927,455.3182739463118,-526.6568220378548,1128121.656128989,-1209.0670943301159,-14321.064630125089,-8.251577821154624
none_s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
