,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
big_s0,1469.7636522734942,1039.5439638676792,0.0,288.77320996184494,2527.649988461662,-208.36762891764775,-1196.593020619013,1969433.2919397824,-2598.9588896566042,-19828.148708534485,-1.7548123674857388
big_s1,888.2720422926375,611.0937238453286,0.0,174.55626068450266,1953.350197957052,-157.7186403529409,-661.3689107742381,1190473.697868308,-1571.0063461605241,-11302.05391334046,-2.546361548728158
big_s2,1452.4416239807497,1020.6691403269472,0.0,285.5758354979532,3104.551110012493,-267.77745493052987,-1567.3512580052227,1947627.198096041,-2570.182519481579,-10697.473477261503,-1.2289863489629878
big_s3,1238.3178286101015,864.6496609354843,0.0,243.4674419885048,2795.9324978075174,-224.81079896184355,-1304.0478590854727,1660447.9543616027,-2191.206977896543,-8679.588748735809,-1.7498323496429704
big_s4,1132.1455808546964,806.2613044400774,0.0,223.00034113580222,1893.035678891107,-130.92730507878468,-1108.3377670147001,1520862.3265461712,-2007.00307022222,-11919.22239891904,-3.5985788863101655
small_s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631918.9362167993,-422.4776809255218,-15333.332648030413,-6.105910500784857
small_s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621608.2027238904,-418.51696662063347,-15087.250985571329,-4.889961378613658
small_s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664848.6092928826,-436.41518064510916,-17641.066240848097,-4.777031659717962
small_s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513254.5504059738,-346.7079452320243,-15352.019548100847,-5.769034415997664
small_s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412626.001562524,-278.32423554619425,-9587.2981693576,-7.429788116095611
rand_s0,-72.55301394469849,-292.61766619875766,250.52964716974964,-82.3800517751817,-1507.070183413595,31.821210777237205,-623.2105343098474,1902860.242852805,-1657.8215206747716,-19739.52860923586,-5.4030038964706035
rand_s1,90.49218624864275,-331.065218077734,466.3845631962107,-48.73160082123801,-2766.37889807804,280.4991634321476,-1186.1715860348877,2127713.6773062143,-2290.271223752087,-19408.67347932464,-3.656317117103439
rand_s2,416.93194197070494,0.0,-167.64634298674602,209.55792873343253,-28.588449825522353,-365.229532935411,-187.1412177283811,2178384.434495348,-1639.63320925479,-45728.582475095754,-4.536793062311268
rand_s3,442.0883663240595,-156.43407903427385,-163.67507055301266,155.13652982385418,-585.5128910397376,-86.27472684143756,-487.02185636345564,2192262.8802983444,-1923.217186372391,-23871.08078195559,-5.075428136854544
rand_s4,353.0321462079963,-352.172509019147,-541.8730959080921,244.5712416768014,-1013.8181233475991,455.3182739462976,-526.6568220377479,1128121.656128989,-1209.0670943301159,-13186.323189930681,-6.020223509577447
none_s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eco_s0,-194.13798773898702,1936.611362797537,0.0,-257.551877385508,1948.7612508568236,257.551877385508,-2432.8515065625106,1907213.9810454224,-2140.694987481848,-1896.1182430130102,-2.42622004768052
eco_s1,-145.9493615983849,1489.4199202692726,0.0,-198.27692040090852,1498.7437123360162,198.27692040090852,-1908.2725439526878,1420825.4623769333,-1613.2333675904001,-1561.7468848291396,-3.7702095313209125
eco_s2,-179.51366023434318,1743.22873834572,0.0,-232.58916836452818,1736.7371127668257,229.0779085148907,-2237.06672106058,1705247.5712208794,-1920.665822016279,-1933.052056510093,-4.184278598756754
eco_s3,-159.2363080120369,1598.3152219669405,0.0,-212.0056009562411,1608.2856740447041,212.0056009562411,-2006.1875016148936,1551850.6945434967,-1748.8685612195284,-1643.944089293831,-4.121170730230382
eco_s4,-168.97863861674372,1773.062264090626,0.0,-235.41254982256547,1784.1673551117074,235.41254982256547,-2277.53383412325,1686162.6075047252,-1914.8128690667543,-554.7810266155808,-3.017780410530129
gdp_s0,3582.234828045438,0.0,-2804.703457019099,1805.7516327926116,1187.7281393610467,1471.6884390261644,-557.8787131899148,2690569.9328609915,-3023.6692472291998,-27900.65645882997,-2.442989009802475
gdp_s1,2852.4060392401047,0.0,-1740.37687800637,1440.3354615494768,1451.1172531970908,-99.28551888671063,-553.4257841611601,2146099.83770872,-2494.5857459945937,-19123.76896143898,-3.1718799415021373
gdp_s2,2339.4120948776226,0.0,-1924.271713574291,1181.113111731574,497.5313795334853,2020.1308231101343,-350.9284851470979,1759858.5364800452,-1962.7733970853278,-27415.926896157333,-3.114308301513093
gdp_s3,3027.0125225063784,0.0,-1971.6958569648446,1527.5272231443962,1401.983869799913,289.43108822380145,-601.865703355455,2276015.5624851505,-2624.603321918359,-24120.05124110983,-3.399116066397172
gdp_s4,884.8353936354977,0.0,-750.0663990829204,444.8689372906549,233.87844530855412,835.5965824230962,-138.31395931398106,662854.7165630758,-735.0688789147794,-12810.547574759636,-4.895653121642293
res_s0,0.0,0.0,1534.6234541884367,0.0,-120.80753462539505,-488.27026714756863,-394.4642742497339,1905490.7889506423,-2557.7057569807275,-15500.984925173809,-3.5525988087251865
res_s1,0.0,0.0,1496.5031337659484,0.0,-214.31844917340803,-636.7712030181469,-296.6773611135745,1858158.0577593863,-2494.171889609914,-17223.038513337226,-3.7435853299906263
res_s2,0.0,0.0,766.0957072975849,0.0,16.59719960848129,94.8403266568697,-264.1850769586318,951235.5032278345,-1276.826178829308,-11258.985139388624,-3.8434357840602873
res_s3,0.0,0.0,1362.3640699790112,0.0,-102.85375305893243,-714.0377469219582,-229.8430242807509,1691602.053557272,-2270.6067832983517,-19306.50619304835,-3.4892419393066763
res_s4,0.0,0.0,857.8768096221395,0.0,-41.75430723250928,-262.786100823051,-239.8304613354051,1065197.0386141564,-1429.7946827035657,-8489.240343816278,-5.558899835213269
emp_s0,3582.234828045438,0.0,-2804.703457019099,1805.7516327926116,1187.7281393610467,1471.6884390261644,-557.8787131899148,2690569.9328609915,-3023.6692472291998,-27900.65645882997,-2.442989009802475
emp_s1,2852.4060392401047,0.0,-1740.37687800637,1440.3354615494768,1451.1172531970908,-99.28551888671063,-553.4257841611601,2146099.83770872,-2494.5857459945937,-19123.76896143898,-3.1718799415021373
emp_s2,2339.4120948776226,0.0,-1924.271713574291,1181.113111731574,497.5313795334853,2020.1308231101343,-350.9284851470979,1759858.5364800452,-1962.7733970853278,-27415.926896157333,-3.114308301513093
emp_s3,3027.0125225063784,0.0,-1971.6958569648446,1527.5272231443962,1401.983869799913,289.43108822380145,-601.865703355455,2276015.5624851505,-2624.603321918359,-24120.05124110983,-3.399116066397172
