,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
big_s0,822.1873277565066,-72.58489519628506,326.42886242150286,266.862941674873,1233.7145383661727,-651.7701845397855,-810.2073265150257,2303007.734234174,-2598.9588896566042,-7777.960463943316,-1.0821421755559646
big_s1,735.6596076432885,-113.1826989337302,337.2360641747556,241.66320683879664,627.0837148451617,-600.6547798994152,-430.9000032075405,2238061.4739971086,-2495.0220960636325,-6243.259277197585,-1.807497476032846
big_s2,883.6306767465098,-42.86148881086177,291.7944473378238,302.5197166678124,1509.0067913184828,-719.3376217618742,-764.0016755875213,2391128.406139995,-2670.1382835921436,-4423.361836071163,-2.1955720982930047
big_s3,832.481342974148,-100.2434466316571,51.814881526916025,274.4400104526927,1238.7443043237133,-454.38344472008316,-814.6332515080827,2017793.087258556,-2191.206977896543,-3792.4798542015133,-1.1390970269010152
big_s4,321.3338659596514,232.2705549105848,-15.400262498385132,63.02494097246091,819.7448555222566,-154.4819665295259,-272.1929967654681,1210007.3956003748,-1468.1398249076792,-6027.1464560638215,-4.340847353323935
small_s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632578.7458571268,-392.54083396360284,-15899.13324546948,-5.5309709376938345
small_s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547941.323851362,-340.02610888705874,-16946.365245029847,-6.5807569536804955
small_s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636638.9302618883,-389.5985021278916,-19924.65389843395,-4.80477194813388
small_s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528423.2542762049,-322.32419627624785,-17804.525217786377,-6.163789791632968
small_s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425233.43392953253,-268.99946903343704,-8368.576785838244,-8.80626245146931
rand_s0,-72.55301394473011,-292.61766619875766,250.52964716974964,-82.3800517751817,-1507.0701834136078,31.821210777237205,-623.2105343096713,1902860.242852805,-1657.8215206747716,-19741.39285153829,-4.915328917355074
rand_s1,90.4921862486377,-331.0652180777279,466.3845631962107,-48.73160082123801,-2766.378898077982,280.4991634321674,-1186.171586034591,2127713.6773062143,-2290.271223752087,-13847.892555620001,-3.2270189895636516
rand_s2,416.93194197070494,0.0,-167.64634298674602,209.55792873343253,-28.58844982545265,-365.229532935411,-187.14121772824168,2178384.434495348,-1639.63320925479,-45863.078100914994,-4.971782932879691
rand_s3,442.0883663240408,-156.43407903421706,-163.67507055301266,155.13652982385418,-585.5128910397376,-86.27472684143378,-487.02185636344905,2192262.8802983444,-1923.217186372391,-20325.371330208698,-6.70362214310178
rand_s4,353.0321462079789,-352.1725090191409,-541.8730959080921,244.5712416768014,-1013.8181233475927,455.3182739463118,-526.6568220378548,1128121.656128989,-1209.0670943301159,-14321.064630125089,-8.251577821154624
none_s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eco_s0,-215.90875037694946,1850.802145146486,0.0,-257.551877385508,1862.9520332057655,257.551877385508,-2223.107215599587,1921815.8668714063,-2140.694987481848,-2164.445725162278,-2.3706160965546257
eco_s1,-250.62022713645496,2168.6259710662216,0.0,-299.77005386614326,2182.805176408852,299.77005386614326,-2458.5191603385983,2132651.802516546,-2425.178435312278,-1645.7093812254645,-3.608827928571342
eco_s2,-133.44994756123097,1378.2934785171085,0.0,-188.18975579318885,1387.1439926432854,188.18975579318885,-1841.9836819324141,1402893.6833355378,-1565.4705214455644,-1023.6341009517892,-3.5436064290528804
eco_s3,-207.23522811237507,1926.787491767919,0.0,-268.47323011698666,1939.4491803414535,268.47323011698666,-2331.29830033871,1916318.7530911632,-2176.225845549716,-1402.9836752292208,-2.924936313133315
eco_s4,-45.40910180556796,446.6882578351211,0.0,-59.439609642890034,449.46632900192736,59.439609642890034,-555.7495429592585,500086.0415361789,-532.6964517933259,-2042.8798733024323,-4.5785276746852865
gdp_s0,2987.8016477220744,0.0,-2231.930090023117,1503.4919872998087,1219.000142330924,824.0439685428565,-542.5500371859965,2240203.061076715,-2534.7628271091107,-21462.923245028174,-2.799264777787168
gdp_s1,2396.2563065803643,0.0,-1908.668628937739,1205.2852446003885,1522.8583109530477,1784.7175443253568,-180.80765788900686,1795875.0144545787,-2012.1067014044613,-25717.1524691993,-3.744557711237702
gdp_s2,2023.5561139720146,0.0,-1784.9169058552231,1017.5221127180787,302.63777046277687,2067.169432276648,-223.27206803217106,1516107.9479499375,-1669.7232669457485,-33600.78437326547,-3.046220415143952
gdp_s3,3092.8892691896417,0.0,-2508.3610129255594,1555.2562276428737,786.8191574894821,1633.4699553753276,-421.7894136462714,2317331.779187882,-2588.7685379552963,-28833.695123335023,-3.43876394815249
gdp_s4,1161.244590697101,0.0,-753.0647729176479,584.0306601212765,295.4716574568171,7.471765890270831,-220.4585367264989,870205.6835807019,-1003.6151474148598,-11075.656853475097,-4.356316593187105
res_s0,0.0,0.0,1014.5467778163786,0.0,-125.80128780394286,-121.52740706048164,-336.95301887281306,1259728.91578867,-1690.911296360631,-15180.200274625051,-3.722662789144039
res_s1,0.0,0.0,1212.8098217423722,0.0,-180.59497554287745,-111.69535161611292,-374.19475101840635,1505905.5286634457,-2021.3497029039536,-15869.617091732953,-3.9333251061222594
res_s2,0.0,0.0,1204.557172811476,0.0,-266.65214984753857,-423.81639306820637,-244.32454576579423,1495658.4895742494,-2007.5952880191264,-11623.549049711208,-3.0417259490408535
res_s3,0.0,0.0,1054.5992759173535,0.0,-92.62044872380122,-406.60637874750296,-277.01503478524387,1309460.7675973806,-1757.6654598622558,-16370.060844482932,-4.311450251543801
res_s4,0.0,0.0,393.5545170319592,0.0,-69.37396905960937,-274.25687516304765,-19.716524635286042,488663.5253146827,-655.9241950532653,-7817.954130504359,-5.488698317852037
emp_s0,3892.8551456554965,0.0,-2260.436625340254,1964.7120504892075,2337.071128752726,444.2227262217191,-766.9293237636506,2927420.9552289187,-3421.7038600557585,-28306.33706934288,-2.0547192333371758
emp_s1,1840.8318045429996,0.0,-1134.3431012136173,931.6194291509416,617.6019568097724,993.9155394229995,-396.13195819899073,1388112.9494349032,-1612.0737128228843,-20654.065296888668,-1.9737892743813863
emp_s2,2402.0542229851226,0.0,-1332.3157396873373,1213.9785348939204,645.1616086909158,395.762595838958,-592.4487190296592,1808828.0169919417,-2124.9725441803566,-18044.733642192143,-3.8949264567817887
emp_s3,2962.2884846575,0.0,-1609.8996076889084,1496.091564304976,2063.2932979293023,435.0923625851057,-617.0421652244554,2229176.4308144143,-2624.127089708136,-23739.615007672146,-2.854722786784123
emp_s4,1176.307239608278,0.0,-544.0190596966751,596.1794954578335,461.95405607028374,-297.1496391511805,-346.0686985078838,888307.4482321718,-1061.9438479356988,-15192.246345370995,-3.2746356917838275
cpt_s0,64.27802563170232,948.9551142284538,-131.09782748203065,-126.05450558160167,769.5154859082854,23.071418191154933,923.8369220566879,1619187.2146391284,-1908.6109661796947,-23982.35196709934,-4.261999317599227
cpt_s1,262.7698317770356,1069.862157264089,-11.045916595303549,-181.33612974457628,783.1863105142068,-217.48657285460683,903.0789956335643,1855473.5738625755,-2291.6566833037195,-29406.099135535165,-5.773304158795608
cpt_s2,349.82332130519416,1306.7398681848842,-98.67622222227246,-58.2969655971894,1162.8728884158093,-5.377673398575645,883.4349404259431,1840817.1354861138,-2243.2416416103406,-28704.89020695515,-4.3533734730213345
cpt_s3,832.9695722353648,834.461308907487,-86.61100885423122,150.65055034112697,617.9748798437445,-10.77283866445697,841.2480247792796,1505854.394582492,-1928.979133369429,-31707.94620742744,-4.479838210966218
cpt_s4,-342.53160605861103,284.6815297761671,219.08252732774102,-288.8282945895304,53.41609121722709,-234.02165499172256,361.93241558981845,822009.5189908785,-987.050996697332,-23550.273914714326,-8.471004347033887
