,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
big_s0,833.1493923826125,587.1813675670332,0.0,163.69333547949006,1498.23005033259,-122.11970770948025,-723.7317338503856,1116388.5479701222,-1473.2400193154106,-11264.24756282865,-1.0208754206396102
big_s1,508.1214795081097,347.85061577432,0.0,99.84643889229002,1145.7096167229627,-91.50911897537387,-396.8607318908784,680952.7132454179,-898.6179500306101,-4179.908927591281,-1.6520651865810003
big_s2,811.674165802863,569.1170643988431,0.0,159.59748302306107,1776.3833932819155,-150.90091273573546,-908.0305353688364,1088454.8342172764,-1436.3773472075495,-5482.399986009037,-0.7360989291000002
big_s3,739.8223279598631,517.0477750355099,0.0,145.45965322800004,1686.1343801500843,-135.16666567625168,-819.1982814834837,992034.8350149603,-1309.1368790520005,-4673.136202789817,-1.0079135746496104
big_s4,618.9751055114061,440.0735293469162,0.0,121.90534364825102,1098.589819466484,-77.29051462941716,-661.4736499214449,831394.4436810721,-1097.1480928342594,-7973.327493901898,-1.8919072196396103
small_s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348334.0707992931,-234.48506957390705,-10152.00287668366,-3.473646594894901
small_s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337773.94373417244,-228.75141852359107,-7460.605836052855,-3.1610068217864113
small_s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352948.9697793324,-233.68162165831808,-9508.046700972329,-3.747041917220611
small_s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290648.32293740765,-197.56449962630106,-9079.071098459966,-4.264661565796411
small_s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223469.5990483196,-151.44443406566106,-7264.083545539001,-4.521154932062731
rand_s0,-36.94867694129499,-178.62473347148105,145.6234584371244,-43.61679159598441,-884.2764932154346,16.84500991663422,-372.62212905539866,1112643.7674184425,-970.374928641909,-13160.379098076908,-2.9845019212029005
rand_s1,45.95366929717154,-245.41540076812768,278.9427520800001,-27.989629434577814,-1674.08849390092,171.3646427852336,-691.7342573522923,1172800.6234723486,-1275.2086665207387,-10746.719212184285,-2.2824551922759007
rand_s2,242.80309035071923,0.0,-97.62996322800002,122.03745403500004,-16.648673961382666,-212.69384846100007,-108.98293323759434,1303973.2208265928,-981.9383222637903,-27929.294186686642,-3.138275661230611
