,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
big_s0,2622.336302159251,1838.784027610365,0.0,516.1647038664861,4021.685514953947,-334.2894204281978,-1682.65125003926,3520243.280369435,-6451.518392743989,-20357.69131611955,-2.636223932864669
big_s1,2634.547715964288,1410.4110404732396,-232.9441523810705,696.6169986855123,3987.9411953597405,-797.8367250830438,-1983.8135304692314,3198937.515796311,-6324.301562581908,-6646.039476715588,-3.9334151372608
big_s2,2569.046286538672,1416.4050053328222,-232.9441523810705,683.2747684909509,4086.5183547797833,-781.413696358647,-2050.3223625116207,4161527.527821372,-6614.617020938688,-15542.254020344064,-2.1103979143419176
big_s3,2141.3009841121575,1515.4304082565977,0.0,421.81019757438105,4454.129979508127,-361.8991383504216,-2001.9696572478213,3390030.07097234,-6008.43809495283,-13145.9246885294,-3.0284582334801184
big_s4,2176.481381995106,1494.2130160860204,0.0,429.35227861427717,3587.5400125963433,-275.73247817244777,-2011.1780263831215,2928182.5401493707,-5902.574026554194,-18081.520212897864,-3.880710740785145
small_s0,11.288467395141867,-26.21306195431896,0.0,9.220706031750707,-26.317239826043437,-9.220706031750707,-41.972653856474835,1098636.5487716857,-996.9170631993509,-26808.2509499139,-8.13686617416943
small_s1,10.724044025384773,-24.90240885660301,0.0,8.759670730163172,-25.001377834741263,-8.759670730163172,-39.874021163651086,1094666.6565821932,-996.2046349550845,-18707.907947876043,-7.890155022607119
small_s2,10.724044025384773,-24.90240885660301,0.0,8.759670730163172,-25.001377834741263,-8.759670730163172,-39.874021163651086,1199170.8851568368,-1052.2458351519836,-27174.338985519727,-7.0836926103332765
small_s3,11.882597258044068,-27.592696794019954,0.0,9.70600634921127,-27.702357711624668,-9.70600634921127,-44.18174090155245,1059735.9327705873,-971.1883770416334,-22115.89272210697,-8.948779588925944
small_s4,12.507997113730601,-29.04494399370522,0.0,10.216848788643444,-29.16037653855229,-10.216848788643444,-46.507095685844696,900758.469541667,-877.596006713535,-19164.622153063312,-10.703003380737911
rand_s0,251.60807796006378,-533.3604502458054,610.1805932061973,-96.32351098159897,-77.38945487876927,494.0352739092606,-2493.299528184671,5076688.218508341,-6787.105561791269,-34187.76394500385,-7.616588716535269
rand_s1,303.50622132665626,-777.0847628802411,124.88185557389131,72.47364329007985,-739.9303087661104,857.6989960067963,-2420.424305247763,5479076.880728849,-7088.339365497231,-26733.57695551167,-6.443565116293431
rand_s2,806.6563622853588,27.49012884666979,-314.59880872200245,391.3544684212313,105.42237844232295,-419.26648846782734,-1856.2448495931615,5626113.5142865125,-6743.625435996282,-43064.31360531102,-6.40133115630416
rand_s3,946.1097369794932,780.2193506887922,-332.3135250825913,295.2636066085369,772.3191196787839,16.431603702216073,-1434.7173046336122,3851076.474932864,-5992.873942622424,-26772.76918727041,-8.307915288983896
rand_s4,388.363423063617,109.93864873094856,-23.8033147810078,56.69468820108274,486.5369213106014,512.31286799311,-2296.9418223229654,4103873.3771392535,-6517.080499923572,-17541.325458456955,-11.084906189490388
none_s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none_s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eco_s0,-506.0339543280153,4615.273183805173,0.0,-626.6053058662822,4604.564181432496,626.6053058662822,-4998.089714185324,4474396.218173809,-6865.347198233722,-2361.0939218528756,-2.755284756209436
eco_s1,-512.2928803280545,4790.290822941534,0.0,-641.1269126744711,4776.8141332926425,637.7912158173154,-5195.211886953386,4532880.1468252465,-7099.89359208678,-2100.36396284524,-3.9645691143138295
eco_s2,-443.72466287561787,4033.0247047361327,0.0,-550.4721694364465,3997.5676619557053,547.1364725792909,-4691.165158093864,3968200.8942372827,-6416.0707405979865,-2694.8939595054985,-3.5354908063986237
eco_s3,-373.78606867201995,3467.7913707550074,0.0,-472.38542238031636,3478.1576749484566,472.38542238031636,-4033.2249848080114,3359268.7174207126,-5897.5698901725345,-2246.752849824851,-4.883243419893126
eco_s4,-429.48628644398406,3985.1571019364937,0.0,-532.4814470832363,3965.615230946782,529.3125350689384,-4226.012373750745,3782929.8132970566,-6149.6535306709275,-493.94102916792593,-4.341310568007936
gdp_s0,6462.1512480177325,0.0,-5117.326684344691,3257.9345022036755,294.4076258872312,2519.1296026235564,-818.9134597266874,4854322.408283477,-7203.393593119157,-40597.81550835643,-2.906280239962228
gdp_s1,5599.818740365361,0.0,-3896.3746193326333,2822.874357044061,330.2185384495784,491.79955153033666,-844.2951737356148,4234598.5988576,-6746.518160063775,-30727.334249924425,-3.6038392874376872
gdp_s2,6323.246858375631,0.0,-4437.772225431339,3189.3355527211534,299.6505313504518,2302.6089753304173,-829.510740465517,4752109.973554519,-7400.837476614385,-43993.53878916315,-4.138073625493315
gdp_s3,5960.044817251893,0.0,-4267.605658542102,3005.5304677746785,310.2181064249648,1355.8707945917001,-939.3453693821772,4502689.136892533,-6879.511505434404,-36604.05785164053,-3.635958155155416
gdp_s4,4773.984827533318,0.0,-3552.4993321336888,2404.5928743498207,243.74807980289148,1619.7741385122108,-574.5917449613106,3582843.3827812327,-6208.1944671712645,-33254.729582832035,-5.065815291268484
res_s0,-389.54859059026,288.2346225224155,3098.0847346643313,-323.7693909752936,191.0578131928745,-583.2976535307527,-1251.9680115604233,3996801.6966934307,-7148.093950528844,-20036.34702118218,-3.505050498261422
res_s1,-172.7590704387521,132.01869085549168,3169.587387532403,-144.36374344738857,113.03129679116788,-951.9226763369832,-1058.2859576147478,4053470.470684419,-7157.634485315872,-22974.66031390701,-4.103328813634062
res_s2,0.0,0.0,2243.5047231568988,0.0,0.0,-750.160614017942,-762.8413281346757,2858185.526059109,-5945.446810572136,-15438.017893193948,-5.068749276410158
res_s3,0.0,0.0,3254.783961981441,0.0,0.0,-1714.5943722712473,-939.2941243360696,4118674.9546351996,-7412.141793811576,-28117.269754925732,-3.9330293786898283
res_s4,0.0,0.0,2476.1462685247234,0.0,0.0,-690.7186904315922,-979.6231040341444,3227331.0942730643,-6434.273708157028,-15936.503344672366,-5.3987139411023435
emp_s0,6462.1512480177325,0.0,-5117.326684344691,3257.9345022036755,294.4076258872312,2519.1296026235564,-818.9134597266874,4854322.408283477,-7203.393593119157,-40597.81550835643,-2.906280239962228
emp_s1,5599.818740365361,0.0,-3896.3746193326333,2822.874357044061,330.2185384495784,491.79955153033666,-844.2951737356148,4234598.5988576,-6746.518160063775,-30727.334249924425,-3.6038392874376872
emp_s2,6323.246858375631,0.0,-4437.772225431339,3189.3355527211534,299.6505313504518,2302.6089753304173,-829.510740465517,4752109.973554519,-7400.837476614385,-43993.53878916315,-4.138073625493315
emp_s3,5960.044817251893,0.0,-4267.605658542102,3005.5304677746785,310.2181064249648,1355.8707945917001,-939.3453693821772,4502689.136892533,-6879.511505434404,-36604.05785164053,-3.635958155155416
