,Gdp,Eco,Res,Emp,Aec,E2r,Cpt,Floor,Cost,Disrupt,Expire
rl1_a0_s0,-141.58627112193832,2099.729434196956,0.0,-282.9297816357928,2113.1225211347387,282.9297816357927,-2120.3275412775006,2211661.4724712,-2404.9027672161906,-2544.500780823773,-3.625855664529051
rl1_a0.15_s3,-89.12627295164152,2057.225393631762,-74.36943034750388,-242.91701494535195,2565.440378979681,205.07585719640977,-2005.461617781726,2171441.845102197,-2396.442326247537,-1896.5454641671524,-4.728689454843092
rl1_a0_s1,-134.00374173722895,1396.5901335096037,0.0,-190.63355389382596,1327.9560455405067,180.02277958230417,-1273.216009674898,1330622.206178905,-1525.0684311506077,-1222.9490919504146,-2.8913221261358912
rl1_a0.15_s1,-187.35915100521296,2113.6947919748263,-36.9930516013841,-287.51303500177255,2138.0195271461725,264.0193489209225,-1970.6848786487703,2081839.4521393764,-2368.9353479806473,-3239.076005867747,-5.405148859370492
rl1_a0.15_s0,-232.92837971576128,1888.8023953902805,0.0,-256.1723948373232,1690.5342529676498,208.56398481711932,-1153.2749934065018,1822921.6992451572,-2072.7606239876063,-2809.0406401906976,-2.719614781225298
rl1_a0_s2,-188.2059208527097,2353.562043948953,0.0,-320.57311324433465,2310.825570734148,311.9398881957722,-2157.061760530688,2237600.330445456,-2564.584905954677,-1423.5370422783658,-3.3681618072584305
rl1_a0_s3,-244.4540948854786,1929.3704455082548,0.0,-267.1896332491666,1659.639295951488,201.61728450899585,-1193.4688301590973,1922640.1213064797,-2171.95940842302,-6029.868566805784,-2.4102932574385747
rl1_a0.15_s2,-159.06887180394756,2113.213282499481,0.0,-287.0685168523722,2126.7927041141775,287.0685168523722,-2635.165527866309,2003738.2476295584,-2296.548134818978,0.0,-1.5411392420358554
rl1_a0_s4,-78.36648945676875,2006.424180216344,-28.757963865405525,-237.05795021437203,2102.0823160226037,264.9083252765466,-1976.5249387537333,2026445.5529916184,-2288.9554201595756,-1466.939638557864,-3.4121526163543123
rl1_a0.15_s4,26.90659999803892,1905.386897156361,0.0,-208.5650033167444,2157.512760708149,208.5650033167444,-2327.8913980658185,1887735.5812344416,-2201.417741385971,-648.3780605204684,-1.5624843930926091
rl1_a0.3_s0,1139.6767333867858,820.3473891865048,0.0,224.97590913908044,2717.9603869011826,-215.23976476294305,-966.2353420560185,1534335.7003285284,-2024.7831822517237,-2113.3020495272494,-1.9713957080525175
rl1_a0.3_s4,2188.135185097031,575.7244272832859,-1729.4975871450065,993.1558559724068,6455.466088227559,91.99430500201107,-722.3290314193964,2219784.3689616895,-2532.419243120885,-9089.66480991014,-3.0060957321432347
