名称,街道N,面积ha,批次,时间,申报主体,类型,拆除用地面积,开发建设用地,计容建筑面积,FAR
公明商业中心,公明街道,17.69,历年计划结转为2010年规划制定计划,2010-04-19 00:00:00,,计划公告,,,,
圳美牛场,光明街道,12.77,历年计划结转为2010年规划制定计划,2010-04-19 00:00:00,,计划公告,,,,
薯田埔第一工业区地块更新单元,公明街道,3.96,2010年第一批计划,2010-04-19 00:00:00,深圳市公明薯田埔股份合作公司,计划公告,,,,
塘尾沙头面工业区地块更新单元,公明街道,6.1,2010年第一批计划,2010-04-19 00:00:00,深圳市公明塘尾股份合作公司,计划公告,,,,
薯田埔旧屋村地块更新单元,公明街道,6.67,2010年第一批计划,2010-04-19 00:00:00,深圳市公明薯田埔股份合作公司,计划公告,,,,
塘尾旧村更新单元,公明街道,8.11,2010年第一批计划,2010-04-19 00:00:00,深圳市公明塘尾股份合作公司,计划公告,,,,
公明中心地区华发片区更新单元,公明街道,11.62,2010年第一批计划,2010-04-19 00:00:00,深圳中恒华发股份有限公司,计划公告,,,,
公明陶瓷厂片区改造,公明街道,4.63,2010年实施计划,2010-05-01 00:00:00,,计划公告,,,,
光明商业中心改造,光明街道,3.28,2010年实施计划,2010-05-01 00:00:00,,计划公告,,,,
光明新区公明街道新创维电器片区更新单元,公明街道,13.0326,2011年第二批计划,2011-07-18 00:00:00,新创维电器（深圳）有限公司,计划公告,,,,
光明新区公明街道秋硕片区更新单元,公明街道,7.0311,2011年第三批计划,2011-12-08 00:00:00,深圳市秋硕投资发展有限公司,计划公告,,,,
帝闻工业区城市更新单元,公明街道,3.908,2011年第四批计划,2012-02-03 00:00:00,帝闻电子（深圳）有限公司,计划公告,,,,
达叁片区更新单元,公明街道,5.2193,2012年第二批计划,2012-05-31 00:00:00,深圳市达叁电线有限公司,计划公告,,,,
万丈坡片区更新单元,光明街道,5.3229,2012年第四批计划,2012-12-12 00:00:00,深圳市宏发光明房地产开发有限公司,计划公告,,,,
东周片区城市更新单元（范围调整）,光明街道,7.2993,2013年第二批计划,2013-11-21 00:00:00,深圳市光明新区城市建设局,计划公告,,,,
三井银包厂片区城市更新单元,光明街道,3.8813,2014年第一批计划,2014-05-05 00:00:00,深圳市光明房地产开发公司,计划公告,,,,
龙豪榕康片区城市更新单元,公明街道,2.9109,2014年第二批计划,2014-07-04 00:00:00,深圳市沧然实业发展有限公司,计划公告,,,,
光明集团办公大楼片区城市更新单元,光明街道,6.5315,2015年第二批计划,2015-07-14 00:00:00,光明新区城建局、深圳市金晖企业（集团）有限公司,计划公告,,,,
大丰安片区城市更新单元,光明街道,10.3723,2015年第二批计划,2015-07-14 00:00:00,深圳市奥宸光明房地产开发有限公司,计划公告,,,,
信宏城片区城市更新单元,公明街道,8.768,2015年第二批计划,2015-07-14 00:00:00,深圳市深业信宏城投资有限公司,计划公告,,,,
竹园片区城市更新单元,光明街道,3.4024,2015年第三批计划,2015-10-22 00:00:00,深圳市汉乾房地产开发有限公司、深圳市光明新区城市建设局,计划公告,,,,
元昇厂片区城市更新单元,公明街道,20.5623,2015年第三批计划,2015-10-22 00:00:00,深圳元昇轻工实业有限公司,计划公告,,,,
大捷达工业区城市更新单元,光明街道,4.0516,2016年第二批计划,2016-03-16 00:00:00,大捷达实业（深圳）有限公司,计划公告,,,,
高博印刷厂城市更新单元,公明街道,1.0315,2016年第二批计划,2016-03-16 00:00:00,深圳市金德来投资有限公司,计划公告,,,,
光明大街光晟龙钻城市更新单元,光明街道,1.7255,2016年第六批计划,2016-12-22 00:00:00,深圳市老城更新投资发展有限公司,计划公告,,,,
荔园片区城市更新单元,光明街道,5.1953,光明新区2017年第一批,2017-08-15 00:00:00,深圳市汇银置业有限公司,计划公告,,,,
伶伦提可乐旧工业区城市更新单元,光明街道,3.7266,光明新区2017年第三批,2017-11-10 00:00:00,伶伦提可乐箱包实业(深圳)有限公司,计划公告,,,,
光晟三村片区城市更新单元,光明街道,1.0512,光明新区2017年第三批,2017-11-10 00:00:00,深圳市前海民轩投资发展有限公司,计划公告,,,,
