项目,区,计划名,街道,公告年,审批年,拆除面积,FAR,时滞年
光明新区公明办事处高博印刷厂城市更新单元规划,光明,高博印刷厂城市更新单元,公明办事处,2016.1666666666667,2018,10315.0,6.798359535201641,1.8333333333332575
光明区光明街道伶伦提可乐工业区城市更新单元规划,光明,伶伦提可乐旧工业区城市更新单元,光明办事处,2017.8333333333333,2018,37266.4,6.9068625476161705,0.16666666666674246
光明区公明街道上村宝滨工业园城市更新单元规划,光明,上村宝滨工业园城市更新单元,公明办事处,2018.0833333333333,2019,12996.8,5.798786577821504,0.9166666666667425
光明区马田街道薯田埔旧屋村地块更新单元规划,光明,华泰小区更新单元,莲花街道,2010.25,2020,75921.2,7.499722074153466,9.75
光明区光明街道光明大街光晟龙钻城市更新单元规划,光明,光明大街光晟龙钻城市更新单元,光明办事处,2016.9166666666667,2020,17254.8,6.599954514441665,3.0833333333332575
光明区玉塘街道长兴科技工业园更新单元规划,光明,华泰小区更新单元,莲花街道,2010.25,2021,57631.2,4.863998375847499,10.75
光明区公明街道鸿大新城城市更新单元规划,光明,鸿大新城城市更新单元,公明办事处,2018.0,2021,16959.0,6.0,3.0
光明区凤凰街道轨道13号线车辆段片区重点更新单元规划,光明,华泰小区更新单元,莲花街道,2010.25,2022,1284374.7,6.330151703339987,11.75
南山区沙河街道沙河五村城市更新单元规划,南山,沙河五村城市更新单元（范围调整）,沙河街道,2014.5,2018,459542.1,11.784312841247202,3.5
南山区招商街道赤湾西牛埔仓库区城市更新单元规划,南山,赤湾西牛埔仓库区城市更新单元,招商街道,2016.9166666666667,2018,48881.0,3.7316292422965147,1.0833333333332575
南山区沙河街道兆方投资大楼更新单元规划（02地块调整“2016已批）,南山,华泰小区更新单元,莲花街道,2010.25,2019,12712.4,7.319431017815219,8.75
南山区沙河街道晶发新能源地块城市更新单元规划,南山,晶发新能源地块城市更新单元,沙河街道,2018.75,2019,9961.9,5.621124889282551,0.25
南山区西丽街道南华数字科技城市更新单元规划,南山,南华数字科技城市更新单元,西丽街道,2018.75,2019,15006.1,5.999450279441284,0.25
南山区南山街道南山村旧村城市更新单元规划,南山,南山村旧村更新单元,南山街道,2010.25,2019,185639.0,10.265466714142756,8.75
南山区招商街道蛇口工业区沿山路片区城市更新单元规划,南山,蛇口工业区沿山路片区城市更新单元,招商街道,2015.5,2019,18190.7,5.579316197662401,3.5
南山区粤海街道莱英花园城市更新单元规划,南山,莱英花园城市更新单元,粤海街道,2018.6666666666667,2019,11488.0,8.6873232799246,0.33333333333325754
南山区桃源街道益力矿泉水厂城市更新单元规划,南山,益力矿泉水厂城市更新单元（范围调整）,桃源街道,2015.9166666666667,2019,55088.0,6.270672277130835,3.0833333333332575
南山区南山街道怡丰科技园城市更新单元规划,南山,怡丰科技园城市更新单元,南山街道,2018.0833333333333,2019,7646.2,5.457666377135294,0.9166666666667425
南山区南山街道荔林公园北地块城市更新单元规划,南山,荔林公园北地块城市更新单元,南山街道,2017.0833333333333,2019,6818.4,7.874980848781982,1.9166666666667425
南山区南山街道中兴工业城城市更新单元规划,南山,中兴工业城城市更新单元,南山街道,2018.0833333333333,2019,42842.0,10.566381952620292,0.9166666666667425
南山区粤海街道桂庙新村城市更新单元规划,南山,桂庙新村城市更新单元（范围调整）,粤海街道,2015.75,2021,70224.5,8.859796303897495,5.25
南山区粤海街道南油酒店大厦城市更新单元规划,南山,南油酒店大厦城市更新单元,粤海街道,2018.6666666666667,2021,4587.6,7.741343793210486,2.3333333333332575
南山区桃源街道珠光村城市更新单元规划,南山,珠光村城市更新单元（范围调整）,桃源街道,2014.3333333333333,2021,135356.8,5.258127820801915,6.6666666666667425
南山区粤海街道后海村城市更新单元规划,南山,后海村城市更新单元（范围调整）,粤海街道,2016.75,2022,70277.5,8.89346255565459,5.25
南山区桃源街道高发科技园城市更新单元规划,南山,高发科技园旧厂房区城市更新单元,桃源街道,2016.75,2022,45440.1,8.717794400022926,5.25
南山区南头街道南苑新村城市更新单元规划,南山,南苑新村更新单元,南头街道,2010.25,2022,79287.1,9.074153818114894,11.75
坪山区坪山街道坪山围城市更新单元规划,坪山,坪山围城市更新单元（范围调整）,坪山街道,2018.6666666666667,2019,112982.7,8.466452968485653,0.33333333333325754
大鹏新区葵涌街道办事处东一、东二、上塘城市更新单元（二次上会）,大鹏,东一、东二、上塘城市更新单元,葵涌办事处,2016.6666666666667,2021,58677.8,5.510540451576894,4.3333333333332575
宝安区西乡街道办南方盈信地块城市更新单元规划,宝安,南方盈信地块城市更新单元,西乡街道,2016.1666666666667,2018,14129.4,6.000138161076078,1.8333333333332575
宝安区西乡街道盐田旧工业园城市更新单元规划,宝安,盐田旧工业园城市更新单元,西乡街道,2016.6666666666667,2018,17830.1,5.999959541742807,1.3333333333332575
宝安区航城街道固戍维尔康地块城市更新单元,宝安,固戍维尔康地块城市更新单元,西乡街道,2016.0833333333333,2018,24395.0,3.9997722479130973,1.9166666666667425
宝安区西乡街道流塘榕树路68号地块城市更新单元规划,宝安,流塘榕树路68号地块城市更新单元,西乡街道,2014.75,2018,11166.7,7.727951197352197,3.25
宝安区燕罗街道正台阳涂料工业区城市更新单元规划,宝安,正台阳涂料工业区城市更新单元,燕罗街道,2018.3333333333333,2019,10430.5,5.999632877253921,0.6666666666667425
宝安区福海街道明辉工业园城市更新单元规划,宝安,明辉工业园城市更新单元,福永街道,2016.6666666666667,2019,20255.0,6.025722318597834,2.3333333333332575
宝安区新桥街道上寮农批市场城市更新单元规划,宝安,上寮农批市场城市更新单元,沙井街道,2013.8333333333333,2019,25564.0,6.252925165968644,5.1666666666667425
宝安区松岗街道溪头第一、二工业区城市更新单元,宝安,溪头第一、二工业区城市更新单元,松岗街道,2016.1666666666667,2019,153927.2,7.942417952314165,2.8333333333332575
宝安区沙井街道共和第三工业区城市更新单元规划（二次上会）,宝安,共和第三工业片区城市更新单元,沙井街道,2016.9166666666667,2020,63775.0,5.890769013317919,3.0833333333332575
宝安区石岩街道中航三鑫玻璃加工厂城市更新单元规划,宝安,宝安区石岩街道中航三鑫玻璃加工厂城市更新单元,石岩街道,2018.75,2020,32376.2,7.801990027798614,1.25
