区位,街道N,年,计划数,计划面积ha,批准数,拆除面积m2,中位FAR
光明区,光明街道,2010.0,2.0,16.05,,,
光明区,光明街道,2012.0,1.0,5.3229,,,
光明区,光明街道,2013.0,1.0,7.2993,,,
光明区,光明街道,2014.0,1.0,3.8813,,,
光明区,光明街道,2015.0,3.0,20.3062,,,
光明区,光明街道,2016.0,2.0,5.7771,,,
光明区,光明街道,2017.0,3.0,9.973099999999999,,,
光明区,光明街道,2018.0,1.0,5.153882,4.0,94474.2,6.840008395295003
光明区,公明街道,2010.0,7.0,58.78,,,
光明区,公明街道,2011.0,2.0,20.0637,,,
光明区,公明街道,2012.0,2.0,9.1273,,,
光明区,公明街道,2014.0,1.0,2.9109,,,
光明区,公明街道,2015.0,2.0,29.3303,,,
光明区,公明街道,2016.0,1.0,1.0315,,,
光明区,公明街道,2018.0,2.0,2.99558,4.0,94474.2,6.840008395295003
光明区,凤凰街道,2018.0,1.0,1.0375,4.0,94474.2,6.840008395295003
光明区,玉塘街道,2018.0,2.0,9.0296,4.0,94474.2,6.840008395295003
光明区,,2019.0,,,4.0,148645.5,6.051762649460819
光明区,,2020.0,,,2.0,93176.0,7.049838294297565
光明区,,2021.0,,,5.0,203538.4,6.0
光明区,,2022.0,,,3.0,1569009.2,6.330151703339987
南山区,南头街道,2010.0,5.0,32.3,,,
南山区,南头街道,2013.0,1.0,0.8608,,,
南山区,南头街道,2014.0,1.0,1.8996,,,
南山区,南头街道,2015.0,1.0,1.3942,,,
南山区,南头街道,2016.0,1.0,1.5951,,,
南山区,南头街道,2018.0,2.0,17.8934,4.0,559855.2,6.147518398005738
南山区,南山街道,2010.0,8.0,48.103055999999995,,,
南山区,南山街道,2011.0,2.0,5.96,,,
南山区,南山街道,2012.0,1.0,5.1122,,,
南山区,南山街道,2013.0,2.0,2.9316000000000004,,,
南山区,南山街道,2014.0,2.0,2.9375999999999998,,,
南山区,南山街道,2016.0,1.0,0.9583,,,
南山区,南山街道,2017.0,2.0,8.45704,,,
南山区,南山街道,2018.0,5.0,23.0413,4.0,559855.2,6.147518398005738
南山区,招商街道,2010.0,3.0,14.94,,,
南山区,招商街道,2013.0,3.0,22.1173,,,
南山区,招商街道,2015.0,1.0,1.8191,,,
南山区,招商街道,2016.0,1.0,4.8881,,,
南山区,招商街道,2018.0,1.0,1.7021,4.0,559855.2,6.147518398005738
南山区,桃源街道,2010.0,1.0,15.36,,,
南山区,桃源街道,2012.0,1.0,4.1645,,,
南山区,桃源街道,2014.0,1.0,13.552,,,
南山区,桃源街道,2015.0,1.0,5.5088,,,
南山区,桃源街道,2016.0,1.0,3.4848,,,
南山区,桃源街道,2018.0,1.0,17.9356,4.0,559855.2,6.147518398005738
南山区,沙河街道,2010.0,3.0,10.68,,,
南山区,沙河街道,2011.0,1.0,1.4758,,,
南山区,沙河街道,2012.0,1.0,9.827,,,
南山区,沙河街道,2013.0,1.0,1.2712,,,
南山区,沙河街道,2014.0,3.0,48.5457,,,
南山区,沙河街道,2018.0,2.0,12.5377,4.0,559855.2,6.147518398005738
南山区,粤海街道,2010.0,3.0,52.39,,,
南山区,粤海街道,2011.0,1.0,1.3448,,,
南山区,粤海街道,2012.0,1.0,1.3414,,,
